"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - MAIO DE 2023",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.08,0.08,0.48,0.41,0.24,0.19,0.01,0.56,0.35,0.25,0.15,0.01,0.3,0.29,-0.38,0.35,0.23
 ALIMENTAÇÃO E BEBIDAS,-0.22,-0.23,-0.12,0.18,0.41,-0.11,-0.33,0.49,1.0,0.45,-0.4,0.56,-0.09,-0.24,-0.84,0.4,0.16
 ALIMENTAÇÃO NO DOMICÍLIO,-0.41,-0.44,-0.33,0.25,0.23,-0.87,-0.48,0.56,1.17,0.42,-0.75,0.59,-0.23,-0.33,-1.05,0.35,0.0
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-1.49,-0.18,-0.62,0.75,1.61,0.33,0.24,-0.07,0.83,-0.72,-1.4,-0.65,0.49,-0.01,0.58,0.78,0.23
 ARROZ,-1.24,-0.7,-0.49,1.19,1.47,0.83,0.61,0.62,2.78,-0.64,-0.62,-0.2,1.42,0.24,0.0,0.6,0.42
 FEIJÃO-MULATINHO,0.0,0.0,0.0,3.13,0.0,0.0,0.0,0.0,-0.15,0.0,0.0,0.0,0.0,0.0,7.3,0.0,2.17
 FEIJÃO-PRETO,-2.01,0.81,0.0,0.0,0.0,-2.27,1.72,0.0,0.0,-1.03,0.0,-2.11,0.0,0.0,0.0,0.0,-1.07
 FEIJÃO-MACÁÇAR (FRADINHO),0.0,0.0,0.0,-0.33,0.0,0.0,0.0,-1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.54
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,-0.96,-0.7,1.96,-0.36,-1.34,0.0,-3.14,0.0,-3.4,0.0,-3.61,-1.02,2.21,1.01,-0.03
 MILHO (EM GRÃO),0.0,1.4,0.0,0.0,0.0,0.04,0.0,0.0,0.0,-0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.1
" FARINHAS, FÉCULAS E MASSAS",0.26,-0.4,-1.01,-0.37,0.98,-0.08,2.44,-0.27,1.37,1.07,1.24,0.79,0.51,0.02,-2.96,-0.7,0.47
 FARINHA DE ARROZ,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27
 MACARRÃO,1.23,-1.19,-0.75,-1.98,0.19,0.1,1.0,-2.18,0.99,-0.14,0.15,-0.43,1.01,0.09,-1.29,2.51,-0.15
 FUBÁ DE MILHO,0.0,0.0,0.0,-0.67,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,-0.43,1.32,1.02
 FLOCOS DE MILHO,0.0,0.0,0.0,-1.14,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.2,-1.71,-1.07
 FARINHA DE TRIGO,0.0,0.45,-1.45,0.0,-1.31,0.0,0.0,0.0,-0.14,0.46,-1.01,0.66,1.33,0.0,0.0,0.0,-0.37
 FARINHA DE MANDIOCA,-2.83,0.0,-1.17,1.95,0.77,-1.1,2.59,-0.02,2.09,0.0,5.27,-1.13,0.0,0.19,-3.51,-2.57,0.75
