"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - JUNHO DE 2023",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,-0.2,-0.02,0.31,0.28,-0.01,-0.4,-0.09,-0.4,-0.23,0.03,-0.97,0.06,-0.14,-0.5,-0.62,0.26,-0.08
 ALIMENTAÇÃO E BEBIDAS,-0.41,-0.54,-0.92,0.13,-0.62,-0.45,-0.67,-0.25,-0.94,-0.86,-1.42,-0.71,-1.05,-0.77,-1.25,0.02,-0.66
 ALIMENTAÇÃO NO DOMICÍLIO,-0.78,-1.14,-1.4,0.03,-1.1,-1.03,-0.94,-0.54,-1.23,-1.01,-2.15,-1.06,-1.54,-1.05,-1.45,-0.17,-1.07
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-0.59,-1.11,-2.3,-1.88,-2.07,-1.22,-4.43,-0.87,-2.44,-0.48,-1.57,-1.95,-2.42,-1.14,-2.86,-1.19,-1.82
 ARROZ,0.78,-0.4,-0.15,0.43,-0.63,0.48,-1.78,-1.08,-0.84,1.14,0.14,-0.73,0.12,0.07,-2.62,-0.31,-0.4
 FEIJÃO-MULATINHO,       -,       -,       -,-4.41,       -,       -,       -,       -,-0.87,       -,       -,       -,       -,       -,-3.62,       -,-2.54
 FEIJÃO-PRETO,-3.59,-2.9,       -,       -,       -,-4.78,-6.74,       -,       -,-5.45,       -,-6.07,       -,       -,       -,       -,-4.06
 FEIJÃO-MACÁÇAR (FRADINHO),       -,       -,       -,-0.37,       -,       -,       -,-0.33,       -,       -,       -,       -,       -,       -,       -,       -,-0.34
 FEIJÃO-CARIOCA (RAJADO),       -,       -,-7.82,-5.14,-5.58,-3.72,-11.05,       -,-7.13,       -,-6.07,       -,-14.12,-6.03,-5.12,-2.3,-6.44
 MILHO (EM GRÃO),       -,-2.35,       -,       -,       -,-5.22,       -,       -,       -,-4.47,       -,       -,       -,       -,       -,       -,-3.76
" FARINHAS, FÉCULAS E MASSAS",-0.8,0.86,-0.97,-0.99,1.37,-0.05,-2.07,0.01,-0.75,-1,-0.16,-1.59,-0.55,0.3,0.56,-1.13,-0.18
 FARINHA DE ARROZ,       -,       -,       -,-0.79,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.79
 MACARRÃO,-3.4,1.66,-1.25,-1.17,2.08,-0.82,1.02,1.1,1.54,-1.77,0.35,-0.79,-2.09,-0.43,0.83,-0.83,0.1
 FUBÁ DE MILHO,       -,       -,       -,-1.74,       -,       -,       -,1.08,       -,       -,       -,       -,       -,       -,-4.14,-3.1,-1.45
 FLOCOS DE MILHO,       -,       -,       -,2.59,       -,-1.64,       -,       -,       -,       -,       -,       -,       -,       -,5.22,2.81,1.89
 FARINHA DE TRIGO,       -,-0.35,-1.29,       -,1.81,       -,       -,       -,-0.8,-0.49,-3.4,0.17,0.07,       -,       -,       -,0.03
 FARINHA DE MANDIOCA,-3.57,       -,-2.74,-2.65,0.14,1.52,-2.54,-1.19,-2.43,       -,-1.15,-6.25,       -,0.08,0.63,-1.77,-1.82
 MASSA SEMIPREPARADA,1.09,1.08,0.75,       -,0.03,-0.63,-2.51,-0.35,1.04,-1.11,2.18,-1.77,-0.08,       -,       -,       -,0.21
 MACARRÃO INSTANTÂNEO,6.36,       -,       -,       -,3.5,0.87,       -,       -,       -,0.67,       -,-0.45,0.95,2.59,       -,       -,3.22
" TUBÉRCULOS, RAÍZES E LEGUMES",1.08,-3.56,3.02,7.8,-1.59,-7.13,0.18,-1.79,-0.07,-0.49,-11.13,-1.79,-0.53,-1.04,1.92,7.14,-0.76
 BATATA-DOCE,-5.89,       -,       -,5.59,-6.84,       -,       -,       -,-1.9,       -,-6.09,       -,       -,-4.69,       -,       -,-4.36
 BATATA-INGLESA,9.67,7.91,12.2,4.03,5.1,5.06,-0.07,-1.82,-2.22,8.49,1.52,8.94,12.61,1.78,-3.56,5.04,6.43
 INHAME,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-5.5,       -,       -,       -,-0.55,-1.72
 MANDIOCA (AIPIM),       -,       -,1.16,2.47,       -,-3.37,       -,       -,-3.06,       -,       -,       -,0.15,-2.38,       -,       -,0.07
 ABOBRINHA,       -,       -,       -,       -,-14.3,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-14.3
 PEPINO,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.48,       -,       -,       -,       -,       -,       -,-2.48
 PIMENTÃO,       -,       -,       -,       -,-0.79,-13.93,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.08
 TOMATE,-2.88,-12.21,3.56,30.26,-2.44,-9.95,5.91,-0.26,6.03,-2.54,-18.75,-6.27,-5.84,-2.11,6.89,18.05,-1.92
 CEBOLA,0.11,-3.48,-8.61,1.15,-1.78,-5.44,-1.1,1.49,-3.47,-3.54,-6.75,2.61,-0.04,1.03,-3.52,2.85,-2.62
 CENOURA,-4.6,-10.45,-7.33,-4.82,-5.67,-11.3,-10.58,-9.42,-1.35,-17.06,-7.76,-7.28,       -,       -,       -,-2.86,-7.15
 AÇÚCARES E DERIVADOS,0.63,-0.06,0.81,3.45,0.85,0.7,1.19,1.2,0.91,0.5,1.58,1.12,1.56,-0.82,3.38,1.94,0.89
 AÇÚCAR REFINADO,2.47,2.47,       -,0.68,2.13,-2.48,-1.24,0.29,0.76,-1.39,       -,       -,       -,-8.02,2.18,       -,1.46
 AÇÚCAR CRISTAL,       -,-2.57,1.15,6.06,       -,1.39,3.06,3.66,1.98,0.07,1.73,3.13,2.74,0.39,4.49,3.5,2.03
 BALAS,       -,2.05,       -,       -,       -,1.28,       -,       -,       -,-0.12,1.67,       -,-0.31,       -,       -,       -,1.02
 CHOCOLATE EM BARRA E BOMBOM,0.66,-1.67,1.51,-0.42,-0.7,1.42,-0.68,-0.47,-1.89,-0.43,2.02,-1.15,0.31,1.16,3.75,-1.74,-0.4
 SORVETE,0.91,-0.04,-0.06,1.17,2.05,0.83,2.16,-1.31,2.15,1.04,1.14,-0.73,-0.37,       -,       -,-0.45,1.2
 CHOCOLATE E ACHOCOLATADO EM PÓ,-2.61,3.05,0.3,2.1,0.82,-1.03,1.37,-0.49,-0.82,3.78,1.52,0.12,3.62,1.54,3.34,2.61,0.77
 DOCE DE FRUTAS EM PASTA,       -,       -,       -,0.22,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.22
 AÇÚCAR DEMERARA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.9,1.9
 HORTALIÇAS E VERDURAS,-0.98,-11.83,-5.75,-9.1,-4.49,-1.63,-0.48,1.47,1,-0.85,0.29,1.23,2.96,0.44,-0.89,11.92,-3.81
 ALFACE,4.11,-12.25,-6.65,-4.71,-5.34,1.43,3.26,3.75,4.03,-0.54,-1.32,2.23,0.57,-4.58,-5.5,11.75,-4.51
 COENTRO,       -,       -,       -,-13.41,       -,       -,       -,       -,0,       -,       -,       -,       -,       -,       -,13.81,-3.25
 COUVE,-2.51,       -,-2.75,       -,-0.61,       -,       -,       -,       -,       -,       -,1.51,       -,1.72,       -,7.11,-1.16
 COUVE-FLOR,-9.3,       -,       -,       -,       -,0.41,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-7.72
 REPOLHO,       -,-5.43,       -,       -,-0.6,       -,       -,       -,-6.09,-4.29,7.44,       -,22.27,       -,4.4,       -,-0.98
 CHEIRO-VERDE,3.06,1.14,-5.12,-5.88,-5.49,-7.59,-0.28,0.79,2.41,0.97,0.45,0.97,-3.47,3.69,-2.18,       -,-1.72
 BRÓCOLIS,-4.53,-21.54,-5.94,       -,-5.14,-1.34,-4.45,       -,       -,-0.22,       -,-1.31,       -,       -,       -,       -,-6.87
 FRUTAS,-5.29,-5.91,-4.51,-0.53,-3.04,-2.61,-0.84,-2.82,-2.43,-5.41,-0.27,-1.41,-1.82,-1.61,-1.78,-1.06,-3.38
 BANANA-DA-TERRA,       -,       -,       -,4.46,       -,       -,       -,       -,1.31,       -,       -,4.36,       -,0.01,       -,       -,2.26
