"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - AGOSTO DE 2023",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,-0.04,0.24,-0.08,0.36,0.22,0.68,0.63,0.74,0.17,0.29,0.12,0.31,0.27,0.44,0.43,0.34,0.23
 ALIMENTAÇÃO E BEBIDAS,-0.87,-1.11,-0.91,-0.82,-0.75,-0.5,-0.74,-0.59,-0.67,-1.38,-0.66,-1.31,-1.5,-0.15,-0.68,-0.75,-0.85
 ALIMENTAÇÃO NO DOMICÍLIO,-1.22,-1.78,-1.39,-1.36,-1.03,-1.49,-1.16,-0.78,-0.88,-1.86,-1.12,-1.83,-2.01,-0.22,-0.89,-1.28,-1.26
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-0.41,0.59,0.33,-0.85,-0.5,-1.4,-1.57,-1.85,-1.64,-0.48,-1.82,1.39,-1.25,0.07,-0.61,-4.73,-0.68
 ARROZ,-0.09,-0.44,3.17,1.18,2.08,1.5,1.2,-0.65,1.63,0.04,0.23,2.01,0.16,2.72,0.09,-0.42,1.14
 FEIJÃO-MULATINHO,0.0,0.0,0.0,-1.7,0.0,0.0,0.0,0.0,-4.07,0.0,0.0,0.0,0.0,0.0,-1.01,0.0,-2.78
 FEIJÃO-PRETO,-1.14,3.14,0.0,0.0,0.0,-0.88,-2.47,0.0,0.0,-2.34,0.0,-0.83,0.0,0.0,0.0,0.0,-0.46
 FEIJÃO-MACÁÇAR (FRADINHO),0.0,0.0,0.0,-0.83,0.0,0.0,0.0,-4.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.15
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,-8.08,-3.91,-7.93,-11.27,-10.86,0.0,-9.74,0.0,-8.28,0.0,-9.9,-11.75,-9.67,-10.81,-8.27
 MILHO (EM GRÃO),0.0,2.2,0.0,0.0,0.0,1.56,0.0,0.0,0.0,-1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.19
" FARINHAS, FÉCULAS E MASSAS",-1.71,0.38,-0.67,-2.09,-0.67,0.02,-0.76,-0.21,-1.03,-3.18,0.51,-0.68,-1.45,0.84,-2.03,-2.13,-1.0
 FARINHA DE ARROZ,0.0,0.0,0.0,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.77
 MACARRÃO,-3.64,1.83,0.66,-4.21,0.23,-1.21,-1.5,-1.03,-3.59,-3.62,-2.45,-0.9,-2.86,-1.16,-3.23,-1.57,-1.28
 FUBÁ DE MILHO,0.0,0.0,0.0,-2.46,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-1.49,-2.41,-1.28
 FLOCOS DE MILHO,0.0,0.0,0.0,-0.52,0.0,-1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.59,0.78,-0.81
 FARINHA DE TRIGO,0.0,-2.26,-2.84,0.0,-1.24,0.0,0.0,0.0,-3.1,-1.48,0.72,-0.74,-2.24,0.0,0.0,0.0,-1.79
 FARINHA DE MANDIOCA,0.0,0.0,-2.74,-2.05,-0.83,1.02,-0.71,-0.17,0.77,0.0,1.29,-0.33,0.0,1.65,-1.92,-3.18,-0.61
 MASSA SEMIPREPARADA,-1.92,1.1,-0.1,0.0,-1.49,0.44,0.1,0.82,0.17,-4.92,2.3,-0.26,1.2,0.0,0.0,0.0,-1.04
 MACARRÃO INSTANTÂNEO,1.45,0.0,0.0,0.0,-0.11,0.61,0.0,0.0,0.0,0.17,0.0,-1.13,-2.02,1.32,0.0,0.0,0.19
" TUBÉRCULOS, RAÍZES E LEGUMES",-13.64,-5.67,-10.45,-5.17,-6.93,-5.08,-7.08,-5.93,0.88,-10.74,-6.44,-7.78,-10.8,-2.56,-6.04,-6.32,-7.34
 BATATA-DOCE,-6.85,0.0,0.0,-2.83,3.68,0.0,0.0,0.0,-0.56,0.0,2.82,0.0,0.0,-0.6,0.0,0.0,0.3
 BATATA-INGLESA,-20.0,-8.95,-11.68,-7.41,-14.45,-17.96,-11.58,-10.07,4.34,-17.49,-12.56,-19.22,-22.52,-0.68,-6.23,-10.67,-12.92
 INHAME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.01,0.0,0.0,0.0,-8.5,-6.72
 MANDIOCA (AIPIM),0.0,0.0,-3.29,-6.04,0.0,-0.35,0.0,0.0,-0.04,0.0,0.0,0.0,-5.43,-0.35,0.0,0.0,-3.28
 ABOBRINHA,0.0,0.0,0.0,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09
 PEPINO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.28,0.0,0.0,0.0,0.0,0.0,0.0,-9.28
 PIMENTÃO,0.0,0.0,0.0,0.0,-4.74,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.28
 TOMATE,-12.28,-8.19,-11.86,-4.36,-8.89,-1.63,-5.99,-8.14,0.94,-8.91,-5.78,-5.45,-7.44,-2.71,-8.84,-9.28,-7.91
 CEBOLA,-7.14,1.6,-3.85,-3.58,-1.49,-5.16,-8.46,-0.34,-1.24,-2.22,-4.18,1.05,-9.88,-4.74,-1.23,2.16,-2.23
