"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - DEZEMBRO DE 2023",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.65,0.43,0.8,0.21,0.54,0.78,0.73,0.83,0.84,0.26,0.44,0.58,0.43,0.9,0.43,-0.29,0.56
 ALIMENTAÇÃO E BEBIDAS,1.38,0.58,1.89,0.69,0.98,1.36,0.63,1.2,1.11,0.92,1.83,1.16,1.44,0.93,1.27,0.8,1.11
 ALIMENTAÇÃO NO DOMICÍLIO,1.68,0.65,2.46,0.73,1.13,2,0.59,1.24,1.44,1.05,2.37,1.22,1.71,1.05,1.49,1.04,1.34
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",5.18,6.41,7.33,4.9,7.13,11.85,8.64,6.47,6.04,6.11,9.46,6.33,6.9,5.53,5.35,7.39,6.84
 ARROZ,4.39,6.16,4.89,5.1,5.97,11.06,4.81,6.58,4.67,6.56,8.57,3.97,5.62,5.71,4.63,7.34,5.81
 FEIJÃO-MULATINHO,       -,       -,       -,-2.85,       -,       -,       -,       -,1.02,       -,       -,       -,       -,       -,5.79,       -,0.38
 FEIJÃO-PRETO,7.13,9.79,       -,       -,       -,17.1,14.91,       -,       -,7.95,       -,16.06,       -,       -,       -,       -,8.9
 FEIJÃO-MACÁÇAR (FRADINHO),       -,       -,       -,7.92,       -,       -,       -,6.13,       -,       -,       -,       -,       -,       -,       -,       -,6.49
 FEIJÃO-CARIOCA (RAJADO),       -,       -,17.69,7.8,11.69,19.1,23.88,       -,14.8,       -,13.61,       -,17.37,4.3,19.67,7.48,13.79
 MILHO (EM GRÃO),       -,1.52,       -,       -,       -,-0.29,       -,       -,       -,1.47,       -,       -,       -,       -,       -,       -,1.27
" FARINHAS, FÉCULAS E MASSAS",0.63,0.38,-1.19,0.74,1.37,0.02,-0.15,1.77,-0.14,-0.31,-1.54,0.05,0.4,-0.2,1.02,-0.28,0.38
 FARINHA DE ARROZ,       -,       -,       -,-0.26,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.26
 MACARRÃO,2.61,-0.28,-0.82,5.53,0.4,-0.35,-0.03,-1.39,-1.12,-1.77,0.31,-0.04,1.2,1.05,-1.49,-1.96,0.26
 FUBÁ DE MILHO,       -,       -,       -,-1.86,       -,       -,       -,2.24,       -,       -,       -,       -,       -,       -,0.32,-3.94,-0.45
 FLOCOS DE MILHO,       -,       -,       -,-5.1,       -,-1.42,       -,       -,       -,       -,       -,       -,       -,       -,0.83,1.69,-2.93
