"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - SETEMBRO DE 2023",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.18,0.18,0.25,0.05,0.38,0.29,0.44,0.13,0.05,0.22,-0.11,0.42,0.46,0.46,0.5,0.08,0.26
 ALIMENTAÇÃO E BEBIDAS,-0.75,-0.83,-0.36,-0.56,-0.7,-0.53,-0.82,-0.68,-1.16,-0.6,-0.94,-0.49,-0.81,-0.1,-0.55,-1.25,-0.71
 ALIMENTAÇÃO NO DOMICÍLIO,-0.99,-1.09,-0.55,-0.9,-1.2,-0.25,-1.03,-0.72,-1.59,-0.99,-1.1,-0.83,-1.34,-0.01,-0.63,-1.6,-1.02
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",4.34,2.61,2.0,-2.93,0.55,-0.4,-1.79,1.48,-2.33,2.3,2.72,4.77,1.22,3.77,2.95,-5.07,1.22
 ARROZ,5.06,4.47,4.04,2.46,2.75,1.11,0.44,2.74,-1.17,3.2,5.89,5.81,2.93,5.9,4.09,1.11,3.2
 FEIJÃO-MULATINHO,0.0,0.0,0.0,3.86,0.0,0.0,0.0,0.0,-3.69,0.0,0.0,0.0,0.0,0.0,-1.6,0.0,-0.82
 FEIJÃO-PRETO,2.65,-0.47,0.0,0.0,0.0,1.0,-2.05,0.0,0.0,-0.71,0.0,0.93,0.0,0.0,0.0,0.0,1.1
 FEIJÃO-MACÁÇAR (FRADINHO),0.0,0.0,0.0,-1.51,0.0,0.0,0.0,-1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,-4.78,-15.95,-6.46,-6.0,-10.5,0.0,-5.26,0.0,-8.23,0.0,-10.42,-7.31,-9.51,-14.82,-7.55
 MILHO (EM GRÃO),0.0,-3.0,0.0,0.0,0.0,-0.19,0.0,0.0,0.0,-0.07,0.0,0.0,0.0,0.0,0.0,0.0,-1.24
" FARINHAS, FÉCULAS E MASSAS",0.57,-1.99,0.72,0.95,0.68,-0.33,-1.0,-0.29,-0.66,-0.51,-0.51,-0.25,-1.48,2.76,-1.79,0.45,-0.14
 FARINHA DE ARROZ,0.0,0.0,0.0,-2.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.53
 MACARRÃO,-1.73,-2.28,1.54,0.67,-0.47,-1.06,-1.85,-1.11,0.42,0.94,-0.01,-0.31,0.63,0.75,-1.67,-1.67,-0.39
 FUBÁ DE MILHO,0.0,0.0,0.0,2.36,0.0,0.0,0.0,-1.42,0.0,0.0,0.0,0.0,0.0,0.0,-2.58,1.21,0.22
 FLOCOS DE MILHO,0.0,0.0,0.0,0.59,0.0,-0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.54,0.81,-0.39
 FARINHA DE TRIGO,0.0,-5.26,-2.72,0.0,-1.47,0.0,0.0,0.0,-3.04,-4.59,-1.48,-0.62,-4.95,0.0,0.0,0.0,-3.25
 FARINHA DE MANDIOCA,2.5,0.0,-0.37,2.04,2.18,-1.45,-0.74,1.21,-0.99,0.0,-0.06,0.01,0.0,3.86,-1.33,1.16,0.14
 MASSA SEMIPREPARADA,2.33,0.5,2.12,0.0,2.08,1.12,-2.33,-1.07,0.92,0.86,-0.85,-0.23,0.21,0.0,0.0,0.0,1.26
 MACARRÃO INSTANTÂNEO,-0.16,0.0,0.0,0.0,1.36,1.11,0.0,0.0,0.0,-0.3,0.0,0.15,-4.18,2.02,0.0,0.0,0.5
" TUBÉRCULOS, RAÍZES E LEGUMES",-4.13,-6.3,-2.11,-4.44,-1.1,-1.67,-4.85,-7.19,-10.42,-3.36,-3.3,-2.55,-2.49,-3.34,-7.51,-5.18,-3.78
 BATATA-DOCE,0.5,0.0,0.0,-0.31,1.4,0.0,0.0,0.0,-5.92,0.0,2.9,0.0,0.0,3.61,0.0,0.0,-0.05
 BATATA-INGLESA,-15.76,-11.76,-19.74,-4.4,-2.49,-13.35,-13.05,-6.73,-17.83,-8.03,-9.24,-15.35,-10.05,-9.88,-10.15,-8.06,-10.41
 INHAME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,-2.06,-1.43
 MANDIOCA (AIPIM),0.0,0.0,0.14,5.24,0.0,0.5,0.0,0.0,0.35,0.0,0.0,0.0,6.35,-0.85,0.0,0.0,2.07
