"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - JANEIRO DE 2023",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.43,0.23,0.82,0.03,0.68,0.33,0.41,0.86,1.09,-0.05,0.24,0.92,0.6,0.67,-0.01,0.63,0.53
 ALIMENTAÇÃO E BEBIDAS,0.35,-0.02,0.91,0.52,0.76,0.49,1.11,0.56,0.87,-0.18,0.75,1.05,0.08,0.38,1,1.36,0.59
 ALIMENTAÇÃO NO DOMICÍLIO,0.47,-0.23,1.13,0.5,0.71,0.46,1.33,0.47,0.86,-0.24,0.9,1,-0.03,0.12,0.98,1.48,0.6
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",3.02,3.13,4.32,5.7,2.74,3,3.63,3.84,3.36,1.16,5.26,6.58,1.32,4.85,8.03,1.27,3.54
 ARROZ,3.45,4.33,2.69,4.11,2.44,2.91,1.68,4.01,2.21,1,3.85,5.92,0.92,4.96,8.29,1.59,3.13
 FEIJÃO-MULATINHO,       -,       -,       -,4.65,       -,       -,       -,       -,5.12,       -,       -,       -,       -,       -,7.99,       -,5.4
 FEIJÃO-PRETO,2.12,0.03,       -,       -,       -,3.28,5.65,       -,       -,3.19,       -,9,       -,       -,       -,       -,2.4
 FEIJÃO-MACÁÇAR (FRADINHO),       -,       -,       -,3.14,       -,       -,       -,3.38,       -,       -,       -,       -,       -,       -,       -,       -,3.34
 FEIJÃO-CARIOCA (RAJADO),       -,       -,8.77,9.87,3.48,4.31,8.87,       -,5.23,       -,9.33,       -,3.43,4.35,4.79,0.85,5.69
 MILHO (EM GRÃO),       -,1.52,       -,       -,       -,0.53,       -,       -,       -,0.01,       -,       -,       -,       -,       -,       -,0.64
