"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - MARÇO DE 2023",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.64,1.25,0.39,0.62,0.58,1.11,0.84,0.35,0.44,1.03,1.02,0.84,0.68,0.54,0.73,0.7,0.71
 ALIMENTAÇÃO E BEBIDAS,0.17,0.6,-0.97,-0.01,0.1,-0.21,0.59,0.16,0.16,0.39,-0.37,-0.46,-0.05,-0.09,0.27,0.21,0.05
 ALIMENTAÇÃO NO DOMICÍLIO,-0.03,0.51,-1.65,-0.38,0.02,-0.7,0.53,-0.1,-0.02,0.41,-0.78,-0.92,-0.13,-0.34,0.26,0.12,-0.14
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",0.46,0.83,-0.2,1.29,0.87,0.97,4.46,1.44,-1.38,-0.34,0.93,-0.53,2.27,2.12,-0.08,3.59,0.71
 ARROZ,1,1.01,0.28,1.51,1.2,0.19,5.45,1.35,-1,-0.34,0.61,-1,1.77,2.05,-0.31,1.53,0.9
 FEIJÃO-MULATINHO,       -,       -,       -,-0.18,       -,       -,       -,       -,-3.7,       -,       -,       -,       -,       -,0.81,       -,-1.8
 FEIJÃO-PRETO,-0.7,1.64,       -,       -,       -,-0.78,7.59,       -,       -,1.81,       -,1.06,       -,       -,       -,       -,0.73
 FEIJÃO-MACÁÇAR (FRADINHO),       -,       -,       -,3.78,       -,       -,       -,1.68,       -,       -,       -,       -,       -,       -,       -,       -,2.06
 FEIJÃO-CARIOCA (RAJADO),       -,       -,-1.42,0.82,0.02,3.4,0.49,       -,-1.07,       -,1.85,       -,4.74,2.43,2.15,6.47,0.28
 MILHO (EM GRÃO),       -,-1.98,       -,       -,       -,2.01,       -,       -,       -,-2.5,       -,       -,       -,       -,       -,       -,-1.73
" FARINHAS, FÉCULAS E MASSAS",-1.12,-0.72,-0.24,-0.01,-1.74,0.75,0.32,1.35,1.52,-0.56,1.18,0.69,0.55,0.12,2.89,1.71,-0.29
 FARINHA DE ARROZ,       -,       -,       -,-0.54,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.54
 MACARRÃO,-0.42,0.39,-0.53,-0.08,-0.69,-0.91,1.4,-1.11,0.79,0.71,1.22,-0.94,0.71,0.46,2.23,-0.8,-0.08
 FUBÁ DE MILHO,       -,       -,       -,-0.86,       -,       -,       -,2.24,       -,       -,       -,       -,       -,       -,1.51,-0.39,0.51
 FLOCOS DE MILHO,       -,       -,       -,-0.84,       -,0.52,       -,       -,       -,       -,       -,       -,       -,       -,1.67,-1.39,-0.17
 FARINHA DE TRIGO,       -,-0.82,-0.68,       -,-0.43,       -,       -,       -,-0.31,-3.16,-1.55,-3.19,-1.63,       -,       -,       -,-1.2
 FARINHA DE MANDIOCA,0.19,       -,1.37,1.17,1.22,1.24,0.39,3.23,2.69,       -,3.97,3.97,       -,0.08,3.38,4.55,1.59
 MASSA SEMIPREPARADA,-0.83,-1.57,-0.58,       -,-4.01,1.55,-2.39,2.16,0.73,-0.85,0.4,4.67,0.97,       -,       -,       -,-1.66
 MACARRÃO INSTANTÂNEO,-5.58,       -,       -,       -,-2.65,0.51,       -,       -,       -,2.21,       -,1.24,2.27,-0.35,       -,       -,-1.96
" TUBÉRCULOS, RAÍZES E LEGUMES",0.11,1.23,-10.64,-5.14,-1.99,-8,-2.75,-4.72,-3.51,-8.28,-5.15,-5.62,-7.07,-4.8,-0.32,-2,-3.92
 BATATA-DOCE,5.14,       -,       -,-2.15,5.14,       -,       -,       -,-0.19,       -,11.43,       -,       -,1.14,       -,       -,3.61
 BATATA-INGLESA,-11.42,-11.44,-18.88,-3.61,-12.73,-23.5,-8.89,-2.52,-7.7,-15.66,-14.33,-16.5,-18.76,-6.76,2.46,2.51,-12.8
 INHAME,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-15.05,       -,       -,       -,3.98,-1.45
 MANDIOCA (AIPIM),       -,       -,-7.91,-5.91,       -,1.93,       -,       -,-3.04,       -,       -,       -,3.52,0.98,       -,       -,-4.33
 ABOBRINHA,       -,       -,       -,       -,13.25,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,13.25
 PEPINO,       -,       -,       -,       -,       -,       -,       -,       -,       -,-8.46,       -,       -,       -,       -,       -,       -,-8.46
 PIMENTÃO,       -,       -,       -,       -,1.76,-3.43,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.18
 TOMATE,3.94,17.05,-10.17,-20.13,0.48,-9.7,-9.76,-17.94,-9.67,-4.42,-9.62,-0.57,-2.24,-0.27,-2.84,-12.09,-4.02
 CEBOLA,-7.37,-2.03,-13.97,-11.33,-6.36,-15.05,-10.24,-6.93,-5.17,-13.81,-5.88,-5.1,-12.93,-12.24,2.23,-5.7,-7.23
 CENOURA,35.3,44.08,21.01,39.35,20.13,34.25,39.69,30.48,27.77,24.09,37.74,11.38,       -,       -,       -,29.08,28.58
 AÇÚCARES E DERIVADOS,-1.14,-0.32,0.06,-0.34,-0.48,-0.06,-1.89,-1.04,-1.36,-0.53,0,-1.56,1.81,1.57,-0.43,0.32,-0.53
 AÇÚCAR REFINADO,-1.56,-1.77,       -,0.75,0.19,-2.24,-2.91,-2.46,0.82,0.76,       -,       -,       -,0.09,0.4,       -,-0.59
 AÇÚCAR CRISTAL,       -,1.53,-0.07,-0.76,       -,-1.2,-4.02,-1.46,-1.62,-0.57,0.28,-1.29,4.21,1.25,-1.85,0.02,-0.61
 BALAS,       -,1.43,       -,       -,       -,0.68,       -,       -,       -,2.01,0.33,       -,0.24,       -,       -,       -,1.37
 CHOCOLATE EM BARRA E BOMBOM,-0.83,-1.05,0.87,0.28,-2.49,-0.05,0.35,-0.53,-1.12,-2.68,0.04,-4.71,-1.17,2.62,0.08,-1.39,-1.7
 SORVETE,-0.44,-0.48,-0.83,0.82,1.33,0.24,0.97,-0.37,-3.12,0.97,-0.39,1.56,1.61,       -,       -,1.39,0.43
 CHOCOLATE E ACHOCOLATADO EM PÓ,-1.25,-0.2,0.52,1.39,0.35,1.58,-0.81,1.98,-0.93,-0.19,-0.18,-0.11,-0.6,3.48,0.87,-0.86,0.04
 DOCE DE FRUTAS EM PASTA,       -,       -,       -,-4.11,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-4.11
 AÇÚCAR DEMERARA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.87,2.87
 HORTALIÇAS E VERDURAS,1.54,13.09,-0.88,-4.51,8.3,-1.98,1.1,3.23,-1.77,12.91,3.02,-0.27,-2.22,4.5,4.78,-1.89,5.63
 ALFACE,0.11,15.59,-0.52,-1.99,7.24,-1.52,-2.02,6.6,-2.49,15.76,3.92,0.88,-2.43,4.28,2.79,-2.08,6.24
