"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - FEVEREIRO DE 2022",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,1.32,0.43,1.07,0.97,1.05,0.93,0.97,0.77,0.83,1.28,0.91,0.86,1.06,0.93,1.33,1.26,1.01
 ALIMENTAÇÃO E BEBIDAS,1.44,1.43,1.56,0.8,1.07,1.32,1.19,0.37,1.54,1.43,1.84,1.07,1.62,0.55,1.98,1.8,1.28
 ALIMENTAÇÃO NO DOMICÍLIO,1.63,1.72,2.17,1.09,1.63,1.68,1.4,0.41,1.63,2.04,1.65,1.24,1.79,0.42,2.24,2.22,1.65
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",1.11,1.64,2.64,0.58,1.07,1.72,1.24,0.87,1.84,-0.34,0.6,-0.3,-0.91,-2.6,6.34,-0.8,1.32
 ARROZ,0.47,1.81,0.67,-2.65,0.4,0.65,-0.54,-0.87,-0.87,-1.78,-1.11,-1.98,-1.89,-3.62,5.72,-3.11,0.14
 FEIJÃO-MULATINHO,0.0,0.0,0.0,9.34,0.0,0.0,0.0,0.0,8.25,0.0,0.0,0.0,0.0,0.0,11.91,0.0,9.35
 FEIJÃO-PRETO,2.31,1.18,0.0,0.0,0.0,4.89,6.35,0.0,0.0,6.09,0.0,4.87,0.0,0.0,0.0,0.0,3.05
 FEIJÃO-MACÁÇAR (FRADINHO),0.0,0.0,0.0,-0.01,0.0,0.0,0.0,5.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.16
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,9.07,2.37,3.08,4.05,4.82,0.0,5.97,0.0,6.84,0.0,4.89,2.76,8.35,2.85,4.77
 MILHO (EM GRÃO),0.0,1.61,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,1.11
" FARINHAS, FÉCULAS E MASSAS",-0.16,1.31,1.97,3.4,0.78,1.19,0.55,0.88,1.52,1.48,0.29,2.19,2.83,-1.27,3.81,5.18,1.27
 FARINHA DE ARROZ,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3
 MACARRÃO,0.7,-2.82,1.68,3.66,0.97,6.87,1.03,0.48,1.66,2.72,-1.9,2.07,3.67,0.6,3.8,3.25,1.14
 FUBÁ DE MILHO,0.0,0.0,0.0,-0.99,0.0,0.0,0.0,-0.43,0.0,0.0,0.0,0.0,0.0,0.0,-0.48,0.48,-0.6
 FLOCOS DE MILHO,0.0,0.0,0.0,0.27,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,2.78,0.42
