"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - ABRIL DE 2022",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,1.39,1.13,1.06,1.12,1.06,1.21,1.21,0.98,0.67,0.85,0.81,0.83,1.21,0.9,1.03,1.36,1.06
 ALIMENTAÇÃO E BEBIDAS,1.7,2.36,1.52,2.05,2.35,1.08,2.6,1.25,2.22,2.09,1.82,1.64,2.02,2.33,2.61,2.02,2.06
 ALIMENTAÇÃO NO DOMICÍLIO,2.48,2.85,1.6,2.36,3.14,1.79,3.02,1.72,2.64,2.66,1.93,1.81,2.19,2.59,2.88,2.21,2.59
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",2,3.68,1.73,4.64,3,5.04,4.43,2.15,2.46,3.15,2.45,1.2,4.47,4.8,2.99,3.72,2.9
 ARROZ,3.1,3.49,0.68,2.62,1.38,4.91,2.6,2.21,2.17,4.6,1.14,1.54,3.93,4.66,2.76,2.21,2.22
 FEIJÃO-MULATINHO,       -,       -,       -,7.41,       -,       -,       -,       -,0.23,       -,       -,       -,       -,       -,0.18,       -,2.65
 FEIJÃO-PRETO,-0.04,4.39,       -,       -,       -,4.01,1.11,       -,       -,-1.91,       -,0.24,       -,       -,       -,       -,0.76
 FEIJÃO-MACÁÇAR (FRADINHO),       -,       -,       -,-1.69,       -,       -,       -,2.01,       -,       -,       -,       -,       -,       -,       -,       -,1.29
 FEIJÃO-CARIOCA (RAJADO),       -,       -,4.87,9.59,7.45,6.7,11.94,       -,4.46,       -,6.85,       -,7.19,5.49,9.43,5.98,7.1
 MILHO (EM GRÃO),       -,3.17,       -,       -,       -,2.42,       -,       -,       -,1.24,       -,       -,       -,       -,       -,       -,2.08
" FARINHAS, FÉCULAS E MASSAS",3.25,5.19,4.38,2.77,4.68,2.4,0.34,2.16,1.45,3.78,4.83,3.75,3.37,2,1.94,0.34,3.45
 FARINHA DE ARROZ,       -,       -,       -,5.19,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,5.19
 MACARRÃO,1.79,4.12,3.32,0.65,4.66,5.68,3.59,1.23,4.59,2.46,8.94,2.58,2.35,1.68,8.14,2.97,3.47
 FUBÁ DE MILHO,       -,       -,       -,2.49,       -,       -,       -,0.88,       -,       -,       -,       -,       -,       -,-0.81,2.16,1.39
 FLOCOS DE MILHO,       -,       -,       -,4.54,       -,3.41,       -,       -,       -,       -,       -,       -,       -,       -,2.45,2.97,3.83
 FARINHA DE TRIGO,       -,7.91,9.76,       -,7.11,       -,       -,       -,5.03,6.89,6.12,5.57,7.82,       -,       -,       -,7.34
 FARINHA DE MANDIOCA,3.49,       -,6.15,3.78,0.84,0.21,-0.27,2.34,-1.32,       -,2.18,7.28,       -,1.92,0.89,-2.4,1.04
 MASSA SEMIPREPARADA,4.21,4.14,1.81,       -,4.23,2.56,-0.63,5.94,-0.49,2.82,2.9,2.86,1.96,       -,       -,       -,3.42
 MACARRÃO INSTANTÂNEO,4.85,       -,       -,       -,6.16,0.94,       -,       -,       -,4.16,       -,2.24,2.05,2.86,       -,       -,4.93
" TUBÉRCULOS, RAÍZES E LEGUMES",8.02,8.82,2.22,3.49,11.95,1.3,12.68,-0.02,8,12.14,5.94,7.95,14.88,10.19,5.63,5.33,8.09
 BATATA-DOCE,-16.63,       -,       -,0.47,-1.41,       -,       -,       -,6.55,       -,4.01,       -,       -,-7.55,       -,       -,-1.92
 BATATA-INGLESA,22.52,12.58,20.57,5.51,23.63,7.86,12.04,1.45,10.2,26.14,16.56,14.5,40.2,16.28,2.09,5.32,18.28
 INHAME,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-4.06,       -,       -,       -,-0.45,-1.36
 MANDIOCA (AIPIM),       -,       -,-1.1,-7.26,       -,-2.98,       -,       -,1.63,       -,       -,       -,4.96,1.43,       -,       -,-1.51
 ABOBRINHA,       -,       -,       -,       -,9.31,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,9.31
 PEPINO,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.31,       -,       -,       -,       -,       -,       -,2.31
 PIMENTÃO,       -,       -,       -,       -,1.62,-9.66,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.45
 TOMATE,8.78,13.95,-1.15,10.96,14.51,8.96,17.92,0.34,10.59,11.73,7.93,10.63,14.05,17.12,7.1,11.95,10.18
 CEBOLA,2.05,-1.43,1.17,5.14,2.32,-4.37,4.47,2.14,8.36,1.64,4.94,5.92,-2.18,2.56,4.59,-2.27,2.39
 CENOURA,-4.79,1.44,-18.03,-4.39,5.88,-14,7.94,-5.01,1.95,-2.96,-14.05,-19.17,       -,       -,       -,4.35,-4.01
 AÇÚCARES E DERIVADOS,1.42,1.08,1.58,2.19,1.77,2.76,2.04,0.08,0.37,1.07,1.79,-0.51,2.64,0.53,1.01,1.38,1.47
 AÇÚCAR REFINADO,0.8,-1.74,       -,-1.17,-0.49,3.44,1.35,-0.36,3.64,1.49,       -,       -,       -,0.52,-3.31,       -,0.1
 AÇÚCAR CRISTAL,       -,3.67,1.77,2.57,       -,2.35,2.26,-0.21,-0.18,2.88,0.25,-1.78,2.02,0.03,3.89,0.85,1.43
 BALAS,       -,2.32,       -,       -,       -,4.29,       -,       -,       -,0.41,2.9,       -,0.7,       -,       -,       -,1.85
 CHOCOLATE EM BARRA E BOMBOM,-0.5,-3.15,-1.64,-6.29,-0.32,-0.17,-1.72,-1.85,-4.4,-2.85,-1.68,-2.55,-0.35,0.66,3.39,0.99,-1.31
 SORVETE,5.67,4.75,2.41,9.25,6.02,6.53,3.73,4.14,2.33,5.09,5.71,5.66,6.6,       -,       -,3.14,5.23
 CHOCOLATE E ACHOCOLATADO EM PÓ,0.76,4.15,3.84,1.72,3.35,1.61,4.92,0.34,2.12,2.51,2.73,2.54,1.89,2.31,4.03,2.55,2.82
 DOCE DE FRUTAS EM PASTA,       -,       -,       -,5.91,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,5.91
 AÇÚCAR DEMERARA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.13,1.13
 HORTALIÇAS E VERDURAS,-1.93,2,-1.86,0.11,7.7,-0.78,1.71,-0.29,1.73,-0.14,-1.15,-2.05,-1.15,1.24,13,-1.17,3.16
 ALFACE,-6.76,3.69,-1.44,6.73,8.91,-1.63,6.02,3.06,0.39,-2.28,1.66,-3.76,-1.58,0.38,-1.5,1.29,3.92
 COENTRO,       -,       -,       -,-1.64,       -,       -,       -,       -,0.18,       -,       -,       -,       -,       -,       -,-2.48,-0.69
 COUVE,-6.38,       -,-4.8,       -,6.16,       -,       -,       -,       -,       -,       -,1.14,       -,0.84,       -,-2.15,1.19
 COUVE-FLOR,14.77,       -,       -,       -,       -,5.86,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,13.25
 REPOLHO,       -,-0.42,       -,       -,2.87,       -,       -,       -,3.85,6.42,-7.32,       -,-3.85,       -,13.59,       -,2.23
 CHEIRO-VERDE,-5.63,-2.07,-4.55,-9.81,6.32,2.21,-1.54,-1.25,4.16,-0.13,-1.48,-3.56,5.16,1.92,17.87,       -,1.34
 BRÓCOLIS,1.3,1.01,3.81,       -,8.57,-5.8,10.95,       -,       -,-0.98,       -,2.66,       -,       -,       -,       -,4.4
 FRUTAS,-3.19,-2.77,-6.92,0.23,-3.72,-1.64,1.88,1.02,1.03,-0.44,-4.11,-5.82,-7.34,-1.75,2.3,0.36,-2.72
 BANANA-DA-TERRA,       -,       -,       -,1.96,       -,       -,       -,       -,3.94,       -,       -,9.29,       -,-2.14,       -,       -,3.96
 ABACAXI,-1.45,-3.19,       -,-0.28,       -,       -,2.14,       -,       -,       -,4.43,3.61,-3.7,       -,       -,2.28,-0.29
 ABACATE,       -,       -,       -,       -,       -,       -,-2.72,       -,       -,       -,       -,       -,       -,-8.29,       -,       -,-3.85
 BANANA-D'ÁGUA,-9.27,-1.08,-16.37,       -,1.94,-4.65,       -,       -,       -,-4.61,       -,       -,-7.01,       -,-2.37,       -,-2.37
 BANANA-MAÇÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-8.46,       -,-8.43,       -,       -,       -,-8.46
 BANANA-PRATA,-6.04,-2.3,-2.29,-2.09,-2.9,-4.34,0.34,-3.68,-5.52,5.51,-6.73,-9.79,       -,-6,-2.86,0.13,-3.18
 LARANJA-BAÍA,       -,-4.36,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-4.36
 LARANJA-LIMA,       -,       -,-3.32,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-3.32
 LIMÃO,-3.55,       -,       -,       -,-9.52,-8.92,       -,       -,       -,       -,3.24,-8.27,       -,-1.81,       -,       -,-7.85
 MAÇÃ,3.72,1.11,1.35,2.25,-2.22,6.42,5.66,-0.31,3.97,3.11,2.53,0.01,5.32,4.82,3.4,1.86,1.34
 MAMÃO,-10.52,-18.77,-22.82,-0.79,-13.91,-8.29,       -,2.67,4.06,-10.57,-14.59,-18.18,-23.01,-17.72,       -,9.42,-13.39
 MANGA,-1.98,-2.53,5.29,       -,-2.37,1.54,       -,-11.46,1.8,5.89,       -,-6.57,       -,       -,       -,9.39,-0.28
 MARACUJÁ,       -,       -,       -,       -,       -,       -,       -,33.94,9.54,       -,       -,       -,       -,       -,       -,7.99,15.99
 MELANCIA,       -,       -,-21.87,2.39,       -,-8.62,4.55,       -,1.49,-9.42,-17.92,       -,-12.26,8.38,5.23,       -,-8.38
 MELÃO,8.05,       -,       -,-4.27,       -,12.02,12.49,       -,       -,7.11,       -,       -,       -,       -,12,       -,7.32
 PERA,       -,       -,       -,       -,-3.96,       -,       -,       -,       -,       -,4.75,-2.82,       -,       -,       -,       -,-3.03
 TANGERINA,       -,       -,       -,       -,-10.36,       -,       -,       -,       -,-0.44,       -,       -,       -,       -,       -,       -,-8.3
 UVA,-3.13,-0.71,-9.49,1.75,6.76,-2.95,2.35,3.98,0.81,4.6,4.67,-5.79,-2.16,0.68,1.16,-8.83,1.16
 LARANJA-PERA,2.2,       -,-0.99,5.26,1.8,1.91,-4.64,2.84,-1.09,3.6,8.32,-0.3,-1,0.59,8.85,-4.01,1.46
 MORANGO,       -,17.66,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,17.66
 GOIABA,       -,       -,       -,       -,       -,       -,-2.15,-5.08,       -,       -,       -,       -,       -,       -,       -,-0.91,-3.46
 CARNES,1.85,1.59,-0.46,1.53,1.66,0.44,2.09,-0.13,0.55,0.15,-0.12,0.59,0.37,1.37,1.55,0.78,1.02
 FÍGADO,       -,       -,       -,1.82,       -,       -,0.95,2.75,-0.52,       -,       -,       -,       -,       -,0.84,       -,0.79
 CARNE DE PORCO,0.85,1.85,-1.39,-1.19,-0.64,-1.19,3.61,-3.21,-3.62,2.52,0.48,1.14,1.48,-0.42,0.85,2.09,-0.23
 CARNE DE CARNEIRO,       -,       -,       -,       -,       -,       -,       -,-0.16,       -,       -,       -,       -,       -,       -,       -,       -,-0.16
 CUPIM,       -,       -,       -,2.18,       -,       -,       -,       -,       -,       -,2.73,       -,       -,       -,       -,       -,2.46
 CONTRAFILÉ,2.74,3.23,0.33,-2.31,2.8,2.67,2.67,0.31,0.83,-1.86,-0.79,1.12,0.03,2.42,4.84,-1.04,1.4
 FILÉ-MIGNON,-4.44,       -,       -,       -,       -,       -,1.19,       -,       -,-3.21,       -,       -,       -,2.4,       -,       -,-2.78
 CHÃ DE DENTRO,-0.08,3.82,0.56,3.45,2.24,2.66,2.83,-0.08,0.13,1.76,1.09,-3.87,-1.35,4.47,-1.81,-0.16,1.61
 ALCATRA,3.48,2.69,-0.43,2.59,-0.98,0.95,2.69,-2.24,0.79,-2.01,-0.07,-0.36,-0.04,-1.43,1.13,-0.06,0.78
 PATINHO,4.59,       -,-0.26,-2.47,3.8,       -,2.46,-0.17,       -,-0.21,-0.18,3.69,-1.64,2.65,-4.78,2.5,1.85
 LAGARTO REDONDO,       -,       -,       -,       -,       -,       -,-0.56,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.56
 LAGARTO COMUM,       -,0.68,       -,       -,2.73,       -,       -,       -,0.26,       -,-0.36,       -,-0.96,1.78,       -,       -,1.45
 MÚSCULO,0.49,0.32,0.37,-0.09,0.19,       -,2.44,       -,2.44,3.13,1.09,       -,-1.87,-0.9,1.91,-1.02,0.89
 PÁ,       -,2.99,-0.06,2.85,-0.85,       -,2.27,       -,       -,       -,       -,0.53,-0.57,0.5,-0.63,1.29,0.75
 ACÉM,2.41,2.6,-0.78,2.51,2.16,1.88,2.65,2.49,-1.25,0.49,-0.41,1.35,1.35,-0.51,2.7,3.53,1.51
 PEITO,       -,       -,       -,       -,       -,       -,2.21,       -,       -,       -,       -,       -,0.33,-0.23,-0.11,0.08,1.38
