"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - NOVEMBRO DE 2022",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.34,0.42,0.54,0.39,0.4,1.03,0.1,0.28,0.26,0.23,0.95,0.09,0.27,0.12,0.36,0.12,0.41
 ALIMENTAÇÃO E BEBIDAS,0.66,0.57,1.7,0.5,0.15,0.83,0.7,0.36,0.48,-0.01,0.63,0.7,1.34,0.16,1.09,-0.23,0.53
 ALIMENTAÇÃO NO DOMICÍLIO,0.79,0.74,2.11,0.4,-0.01,1.28,0.75,0.39,0.55,-0.11,0.91,0.49,1.5,0.07,1.29,-0.32,0.58
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",2.41,2.17,1.63,-1.06,0.42,0.68,0.34,1.08,1.16,2.14,-0.5,3.59,-0.51,-1.31,0.86,0,0.97
 ARROZ,2.08,2.5,2.37,0.72,0.69,0.38,0.98,1.05,3.73,2.54,0.1,5.09,-0.03,-0.14,1.03,1.44,1.46
 FEIJÃO-MULATINHO,       -,       -,       -,-1.44,       -,       -,       -,       -,0.24,       -,       -,       -,       -,       -,-0.53,       -,-0.45
 FEIJÃO-PRETO,3.12,-0.96,       -,       -,       -,1.1,2.13,       -,       -,-1.97,       -,-1.78,       -,       -,       -,       -,1.19
 FEIJÃO-MACÁÇAR (FRADINHO),       -,       -,       -,-5.97,       -,       -,       -,1.15,       -,       -,       -,       -,       -,       -,       -,       -,-0.25
 FEIJÃO-CARIOCA (RAJADO),       -,       -,-0.45,-2.35,-0.27,1.31,-2.24,       -,-4.51,       -,-2.31,       -,-3.08,-6.29,0.01,-1.89,-1.18
 MILHO (EM GRÃO),       -,6.64,       -,       -,       -,1.1,       -,       -,       -,4.14,       -,       -,       -,       -,       -,       -,4.63
" FARINHAS, FÉCULAS E MASSAS",0.17,0.57,1.07,1.47,-0.68,2.08,11.35,2.01,-0.62,-0.62,0.62,0.62,1.01,0.1,2.65,-0.2,1.14
 FARINHA DE ARROZ,       -,       -,       -,1.47,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.47
 MACARRÃO,-3.23,3.01,1.86,2.46,0.75,3.07,-1.39,0.88,-0.27,0.08,-0.11,-0.1,2.92,1.08,-2.11,1.53,0.53
 FUBÁ DE MILHO,       -,       -,       -,-0.83,       -,       -,       -,0.34,       -,       -,       -,       -,       -,       -,1.32,0.01,-0.04
 FLOCOS DE MILHO,       -,       -,       -,0.95,       -,2.95,       -,       -,       -,       -,       -,       -,       -,       -,5.59,2.59,2.19
 FARINHA DE TRIGO,       -,-1.91,-0.62,       -,-0.41,       -,       -,       -,-1.59,1.25,0.13,-0.76,0.01,       -,       -,       -,-0.56
 FARINHA DE MANDIOCA,8.41,       -,2.7,1.83,1.86,4.69,15.3,4.45,0.18,       -,0.52,4.67,       -,-0.59,3.62,-2.08,6.16
 MASSA SEMIPREPARADA,-0.6,0.53,0,       -,-3.41,0.36,2.1,0.65,-3.75,-3.36,1.64,1.11,0.37,       -,       -,       -,-1.46
 MACARRÃO INSTANTÂNEO,1.54,       -,       -,       -,0.38,-3.22,       -,       -,       -,0.93,       -,0.11,-0.35,0.65,       -,       -,0.52
" TUBÉRCULOS, RAÍZES E LEGUMES",5.86,17.37,16.43,7.76,4.79,12.53,14.3,9.96,5.9,10.63,16.89,15.42,17.9,14.25,13.84,2.93,10.12
 BATATA-DOCE,-9.43,       -,       -,-10.28,-8.19,       -,       -,       -,3.08,       -,-11.77,       -,       -,0.15,       -,       -,-7.11
