"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - SETEMBRO DE 2022",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,-0.11,-0.46,-0.35,-0.43,-0.32,-0.26,-0.01,-0.65,-0.32,-0.16,-0.31,0.17,-0.22,-0.09,-0.15,-0.12,-0.29
 ALIMENTAÇÃO E BEBIDAS,-0.36,-0.61,-0.11,0.21,-1.27,-0.23,0.27,-0.42,0.06,-0.25,-0.09,-0.19,-0.05,0.5,0.02,-0.23,-0.51
 ALIMENTAÇÃO NO DOMICÍLIO,-0.7,-1.02,-0.4,0.06,-1.91,-0.67,0.19,-0.55,-0.07,-0.44,-0.64,-0.38,-0.21,0.38,0.01,-0.49,-0.86
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-2.09,-0.67,-1.2,-3.19,-2.27,-2.12,-1.51,-0.42,-1.33,0.02,-2.34,0.46,-0.68,-0.89,-0.82,-1.86,-1.59
 ARROZ,-0.92,-1.01,0.36,-1.05,-1.31,-2.54,-0.14,-0.35,0.34,0.2,-0.84,0.89,-0.79,-0.06,-0.31,0.58,-0.64
 FEIJÃO-MULATINHO,0.0,0.0,0.0,-4.9,0.0,0.0,0.0,0.0,-0.63,0.0,0.0,0.0,0.0,0.0,-5.2,0.0,-2.94
 FEIJÃO-PRETO,-4.52,-1.12,0.0,0.0,0.0,-2.32,-5.08,0.0,0.0,-3.08,0.0,-0.95,0.0,0.0,0.0,0.0,-3.41
 FEIJÃO-MACÁÇAR (FRADINHO),0.0,0.0,0.0,-5.68,0.0,0.0,0.0,-0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.67
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,-5.18,-4.97,-4.58,-3.64,-4.22,0.0,-5.4,0.0,-6.41,0.0,-0.1,-4.19,-2.85,-4.91,-4.78
 MILHO (EM GRÃO),0.0,2.73,0.0,0.0,0.0,5.43,0.0,0.0,0.0,2.44,0.0,0.0,0.0,0.0,0.0,0.0,2.93
" FARINHAS, FÉCULAS E MASSAS",-0.14,1.07,0.62,1.22,0.83,2.06,5.2,0.89,0.43,1.19,-0.17,1.59,1.26,1.48,4.97,1.49,1.24
 FARINHA DE ARROZ,0.0,0.0,0.0,3.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24
 MACARRÃO,-2.4,1.14,-0.36,-0.66,0.95,1.89,-0.05,0.34,-0.29,0.9,-2.0,1.11,0.53,1.19,-0.22,1.16,0.09
 FUBÁ DE MILHO,0.0,0.0,0.0,1.39,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,-0.12,0.57,0.83
 FLOCOS DE MILHO,0.0,0.0,0.0,3.73,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.45,1.35,1.9
 FARINHA DE TRIGO,0.0,2.11,0.83,0.0,2.57,0.0,0.0,0.0,3.04,1.34,1.01,2.29,0.95,0.0,0.0,0.0,1.95
 FARINHA DE MANDIOCA,2.39,0.0,0.25,1.38,5.8,2.95,7.29,2.09,0.44,0.0,1.68,1.95,0.0,1.91,8.84,2.04,3.98
 MASSA SEMIPREPARADA,0.92,0.23,2.21,0.0,-1.46,2.04,0.12,-0.2,-0.81,1.17,-0.73,2.17,3.18,0.0,0.0,0.0,0.12
 MACARRÃO INSTANTÂNEO,0.92,0.0,0.0,0.0,0.76,1.77,0.0,0.0,0.0,1.8,0.0,0.48,0.16,0.52,0.0,0.0,0.97
" TUBÉRCULOS, RAÍZES E LEGUMES",7.75,9.37,6.93,0.2,-1.63,5.71,-1.26,-0.1,0.92,1.29,3.42,2.89,6.79,1.34,1.92,-6.6,2.37
