"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - DEZEMBRO DE 2022",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.33,0.56,0.71,0.88,0.62,0.5,1.05,0.61,0.39,0.75,0.55,0.65,0.38,1.32,1.0,0.66,0.62
 ALIMENTAÇÃO E BEBIDAS,0.49,-0.46,1.25,0.72,0.77,0.41,0.61,0.75,0.84,0.47,1.21,0.77,-0.12,0.7,1.35,0.8,0.66
 ALIMENTAÇÃO NO DOMICÍLIO,0.34,-0.73,1.27,0.86,0.97,0.86,0.71,0.91,0.65,0.58,1.34,0.7,-0.42,0.94,1.5,0.84,0.71
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",4.79,3.19,5.43,3.86,5.04,2.39,2.33,5.05,3.72,3.97,5.32,6.94,2.81,2.14,3.9,2.86,4.45
 ARROZ,4.07,3.43,4.08,3.06,4.09,2.75,1.5,5.58,1.43,4.29,3.63,6.1,1.98,2.13,4.36,2.48,3.77
 FEIJÃO-MULATINHO,0.0,0.0,0.0,5.38,0.0,0.0,0.0,0.0,6.23,0.0,0.0,0.0,0.0,0.0,1.13,0.0,5.13
 FEIJÃO-PRETO,6.35,2.16,0.0,0.0,0.0,5.36,1.04,0.0,0.0,4.31,0.0,10.16,0.0,0.0,0.0,0.0,5.0
 FEIJÃO-MACÁÇAR (FRADINHO),0.0,0.0,0.0,1.06,0.0,0.0,0.0,3.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,9.29,5.57,7.52,1.05,5.43,0.0,8.31,0.0,10.5,0.0,7.38,2.2,0.52,3.38,7.37
 MILHO (EM GRÃO),0.0,3.65,0.0,0.0,0.0,1.18,0.0,0.0,0.0,1.97,0.0,0.0,0.0,0.0,0.0,0.0,2.49
" FARINHAS, FÉCULAS E MASSAS",-0.15,-0.62,2.01,1.2,2.24,2.67,3.73,0.07,1.0,-0.88,0.43,2.23,0.81,3.46,6.39,3.01,1.38
 FARINHA DE ARROZ,0.0,0.0,0.0,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19
