"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - AGOSTO DE 2022",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.01,-0.9,-1.25,-1.4,-0.01,-0.22,0.18,-0.74,-0.17,-0.46,-0.32,0.46,-0.39,-0.34,-1.07,-0.5,-0.36
 ALIMENTAÇÃO E BEBIDAS,0.35,-0.61,-0.71,0.85,0.43,0.02,0.39,1.08,0.9,0.39,-0.06,0.7,0.44,0.82,-0.47,0.85,0.24
 ALIMENTAÇÃO NO DOMICÍLIO,0.25,-1.1,-1.23,0.61,0.13,-0.37,0.28,1.18,1.06,0.33,-0.4,0.74,0.47,0.93,-0.69,0.95,0.01
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-0.14,-1.73,-2.58,-1.77,-1.91,-0.77,-1.63,-1.06,-1.37,-1.16,-2.41,-1.13,-0.86,-0.84,-1.48,0.65,-1.57
 ARROZ,0.66,-0.53,-1.49,0.25,-0.14,-1.04,-0.2,0.04,-1.17,-1.76,-0.15,0.34,0.51,-0.6,-1.17,1.56,-0.42
 FEIJÃO-MULATINHO,       -,       -,       -,-4.83,       -,       -,       -,       -,2.19,       -,       -,       -,       -,       -,-1.92,       -,-1.11
 FEIJÃO-PRETO,-1.76,-6.12,       -,       -,       -,-0.29,-5.69,       -,       -,-1.33,       -,-5.73,       -,       -,       -,       -,-3.07
 FEIJÃO-MACÁÇAR (FRADINHO),       -,       -,       -,5,       -,       -,       -,-3.77,       -,       -,       -,       -,       -,       -,       -,       -,-2.07
 FEIJÃO-CARIOCA (RAJADO),       -,       -,-5.26,-5.5,-5.92,-2.36,-4.15,       -,-3.47,       -,-8.04,       -,-7.45,-1.75,-4.64,-0.47,-5.39
 MILHO (EM GRÃO),       -,0.7,       -,       -,       -,5.84,       -,       -,       -,2.45,       -,       -,       -,       -,       -,       -,2.23
" FARINHAS, FÉCULAS E MASSAS",2.33,0.7,1.33,0.94,0.05,2.52,0.78,2.48,1.64,3.64,0.89,1.76,2.09,3.66,0.68,1.3,1.3
 FARINHA DE ARROZ,       -,       -,       -,4.93,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.93
 MACARRÃO,3.28,2.26,0.49,1.38,-0.52,-0.12,3.8,1.61,0.93,6.75,1.04,2.6,1.56,-0.7,-0.35,1.95,1.68
 FUBÁ DE MILHO,       -,       -,       -,-1.56,       -,       -,       -,-1.64,       -,       -,       -,       -,       -,       -,-0.06,1.65,-1.04
 FLOCOS DE MILHO,       -,       -,       -,1.56,       -,1.79,       -,       -,       -,       -,       -,       -,       -,       -,0.9,0.45,1.43
 FARINHA DE TRIGO,       -,0.52,1.12,       -,2.09,       -,       -,       -,4.96,1.8,0.06,2.74,-1.04,       -,       -,       -,1.63
 FARINHA DE MANDIOCA,2.96,       -,0.24,0.01,1.57,6.85,0.04,4.69,1.37,       -,0.82,1.78,       -,6.93,1.09,1.09,1.43
 MASSA SEMIPREPARADA,0.08,-0.37,3.46,       -,-1.73,-0.25,0.28,3.93,0.76,3.01,1.28,-0.3,4.25,       -,       -,       -,0.28
 MACARRÃO INSTANTÂNEO,3.96,       -,       -,       -,2.9,3.88,       -,       -,       -,0.53,       -,1.12,4.12,1.4,       -,       -,2.76
" TUBÉRCULOS, RAÍZES E LEGUMES",-6.88,-6.32,-9.73,-1.76,-3.69,-11.12,-5.99,-5.18,-6.14,-4.15,-8.57,-6.91,-4.38,-1.1,-10.17,-8.71,-5.89
 BATATA-DOCE,14.28,       -,       -,5.69,10.28,       -,       -,       -,7.96,       -,19.97,       -,       -,16.93,       -,       -,10.47
 BATATA-INGLESA,-13.81,-13.93,-11.55,-2.83,-8.71,-12.45,-7.29,-13.76,-10.94,-3.39,-8.91,-13.94,-11.78,-3.54,-15.29,-5.41,-10.07
 INHAME,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,11.19,       -,       -,       -,-5.77,-1.44
 MANDIOCA (AIPIM),       -,       -,-7.72,5.64,       -,-7.02,       -,       -,3.21,       -,       -,       -,0.23,27.69,       -,       -,-2.1
 ABOBRINHA,       -,       -,       -,       -,-8.41,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-8.41
 PEPINO,       -,       -,       -,       -,       -,       -,       -,       -,       -,-21.14,       -,       -,       -,       -,       -,       -,-21.14
 PIMENTÃO,       -,       -,       -,       -,-5.93,-1.28,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-5.51
 TOMATE,-13.97,-8.63,-14.81,-19.83,-5.06,-18.97,-7.54,-15.63,-20.34,-3.67,-19.72,-8.15,-10.72,-10.21,-15.03,-18.2,-11.25
 CEBOLA,8.64,4.84,3.08,10.75,4.1,1.77,6.47,11.23,7.16,3,5.48,3.34,9.06,-0.53,-1.99,-0.63,5.12
 CENOURA,-8.44,-14.78,-13.36,-5.2,-4.5,-20.17,-14.85,-5.99,-9.98,-5.88,-9.86,-1.81,       -,       -,       -,-4.83,-8.79
 AÇÚCARES E DERIVADOS,0.12,1.34,-0.73,-0.52,0.84,0.08,-0.26,-1.18,0.13,0.18,0.53,1.78,0.36,0.39,-0.53,-0.13,0.35
 AÇÚCAR REFINADO,-1.35,-1.47,       -,-2.53,-0.57,-3.28,0.5,-3.94,0.21,-2.6,       -,       -,       -,0.06,-0.71,       -,-1.1
 AÇÚCAR CRISTAL,       -,0.41,-3.19,-1.71,       -,-0.87,-4.38,-0.98,-1.07,-2.4,-1.53,0.79,0.21,-0.74,-0.7,-0.58,-1.72
 BALAS,       -,1.94,       -,       -,       -,1.87,       -,       -,       -,-1.86,-1.82,       -,-0.1,       -,       -,       -,0.12
 CHOCOLATE EM BARRA E BOMBOM,1.42,1.95,0.77,2.31,1.09,-0.07,3.66,0.81,1.42,1.24,1.13,1.88,1.29,1.28,2.68,-1.1,1.25
 SORVETE,1.08,2.28,1.74,-0.29,-1.05,-0.21,0.25,0.16,1.36,2.03,3.41,3.45,0.32,       -,       -,0.35,0.46
 CHOCOLATE E ACHOCOLATADO EM PÓ,1.08,1.18,0.74,-0.63,4.77,3.16,7.61,0.87,1.92,1.63,1.94,3.32,0.25,4.04,-2.67,2.63,2.69
 DOCE DE FRUTAS EM PASTA,       -,       -,       -,6.78,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,6.78
 AÇÚCAR DEMERARA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.05,0.05
 HORTALIÇAS E VERDURAS,-1.05,-9.02,-4.11,-6.24,-6.08,-1.3,2.19,-0.29,-1.69,-2.89,0.64,-1.99,-4.36,3.48,-2.18,-6.04,-4.41
 ALFACE,-0.72,-6.85,-6.04,-6.9,-8.06,-0.42,-2.66,2.96,3.94,-4.68,2.16,-2.77,-3.6,1.43,2.88,-4.55,-5.7
 COENTRO,       -,       -,       -,-7.54,       -,       -,       -,       -,-1.9,       -,       -,       -,       -,       -,       -,-7.39,-4.34
 COUVE,-3.78,       -,-0.44,       -,-7.97,       -,       -,       -,       -,       -,       -,1.12,       -,0.68,       -,-5.31,-5.35
 COUVE-FLOR,0.76,       -,       -,       -,       -,-2.52,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.16
 REPOLHO,       -,-13.59,       -,       -,-8.33,       -,       -,       -,-7.49,-7.9,-5.64,       -,-9.1,       -,-7.69,       -,-9.06
 CHEIRO-VERDE,2.97,-13.07,0.36,-1.02,-2.88,-6.59,5.03,-1.26,-4.02,0.49,0.09,-4.74,-2.8,5.71,-0.38,       -,-1.38
 BRÓCOLIS,-3.97,-9.19,-3.61,       -,3.28,5.26,-3.73,       -,       -,4.17,       -,0.68,       -,       -,       -,       -,-0.25
 FRUTAS,2.6,-6.13,0.33,1.67,3.12,-1.15,0.92,0.79,2.77,3.48,-0.04,-0.45,3.8,6.41,0.41,3.68,1.35
 BANANA-DA-TERRA,       -,       -,       -,2.48,       -,       -,       -,       -,3.01,       -,       -,-5.66,       -,-2.75,       -,       -,1.5
 ABACAXI,-4.29,-9.35,       -,-2.29,       -,       -,-1.26,       -,       -,       -,-5.69,-2.54,4.86,       -,       -,-5.03,-4.57
 ABACATE,       -,       -,       -,       -,       -,       -,-2.6,       -,       -,       -,       -,       -,       -,3.01,       -,       -,-1.61
 BANANA-D'ÁGUA,9.97,-2.52,0.7,       -,0.39,12.41,       -,       -,       -,0.98,       -,       -,8.04,       -,1.48,       -,1.48
 BANANA-MAÇÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.48,       -,1.09,       -,       -,       -,1.38
 BANANA-PRATA,3.16,-0.95,5.03,-7.54,4.75,-1.17,0.81,-4.3,3.35,-5.43,2.32,1.04,       -,-4.84,-2.76,3.04,1.42
 LARANJA-BAÍA,       -,-8.06,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-8.06
 LARANJA-LIMA,       -,       -,-0.71,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.71
 LIMÃO,59.12,       -,       -,       -,50.37,24.5,       -,       -,       -,       -,49.68,51.57,       -,29.04,       -,       -,48.46
 MAÇÃ,4.99,1.19,8.29,2.01,4.75,3.35,2.74,5.54,5.15,4.33,3.28,4.22,6.37,19.48,-5.56,2.93,4.67
 MAMÃO,-9.17,-10.07,-11.53,9.77,-10.72,-7.26,       -,15.51,7.16,-4.03,-6.79,-8.82,-8.28,17.96,       -,12,-7.34
 MANGA,-1.32,-2.82,-9.27,       -,-1.6,-6.51,       -,7.48,-3.33,-4.93,       -,-10.58,       -,       -,       -,4.63,-2.93
 MARACUJÁ,       -,       -,       -,       -,       -,       -,       -,-4.62,-0.16,       -,       -,       -,       -,       -,       -,4.59,-0.84
 MELANCIA,       -,       -,-19.84,6.94,       -,-11.51,-3.27,       -,1.87,3.36,-12.17,       -,5.85,-4.38,5.01,       -,-4.15
 MELÃO,6.07,       -,       -,19.21,       -,4.01,1.26,       -,       -,24.28,       -,       -,       -,       -,6.09,       -,11.54
 PERA,       -,       -,       -,       -,6.27,       -,       -,       -,       -,       -,0.45,2.86,       -,       -,       -,       -,5.5
 TANGERINA,       -,       -,       -,       -,23.23,       -,       -,       -,       -,16.55,       -,       -,       -,       -,       -,       -,21.57
 UVA,1.96,4.11,6.56,1.33,5.67,2.45,4.94,-1.52,4.67,3.29,-2.04,6.52,3.55,11.63,4.04,5.14,4.04
 LARANJA-PERA,1.61,       -,5.33,-1.85,0.92,-13.99,3.12,-0.95,-3.31,4.86,6.21,1.6,1.09,-3.5,-1.71,-0.24,0.98
 MORANGO,       -,-23.27,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-23.27
 GOIABA,       -,       -,       -,       -,       -,       -,-4.22,-7.11,       -,       -,       -,       -,       -,       -,       -,-0.16,-5.02
 CARNES,-0.31,0.24,-0.94,0.21,-1.24,-1.29,0.44,0.34,-0.67,0.45,-1.17,-0.04,-0.77,-0.12,-1.13,0.67,-0.53
 FÍGADO,       -,       -,       -,-2.07,       -,       -,0.38,-1.1,-5.59,       -,       -,       -,       -,       -,-5.4,       -,-3.24
 CARNE DE PORCO,-0.19,4.38,0.94,0.52,-0.9,1.01,2.31,-0.01,-1.47,1.6,-1.62,0.39,-2.33,2.49,1.7,-4.48,0.35
 CARNE DE CARNEIRO,       -,       -,       -,       -,       -,       -,       -,-6.78,       -,       -,       -,       -,       -,       -,       -,       -,-6.78
 CUPIM,       -,       -,       -,0.1,       -,       -,       -,       -,       -,       -,-0.57,       -,       -,       -,       -,       -,-0.25
 CONTRAFILÉ,-2.37,1.4,-3.4,-3.14,-2.84,-2.49,1.12,4.46,-0.05,2.36,-1.89,-3.39,-3.38,1.44,-0.46,3.04,-1.29
 FILÉ-MIGNON,-4.88,       -,       -,       -,       -,       -,-2.42,       -,       -,-0.92,       -,       -,       -,-1.14,       -,       -,-2.9
 CHÃ DE DENTRO,-4.08,-4.71,-1.09,1.42,-1.49,-1.06,-0.32,2.51,-0.53,-2.09,-1.2,2.55,-1.41,-0.14,0.77,1.73,-1.17
 ALCATRA,1.98,-2.37,-1.63,-0.76,-2.69,-3.03,-0.07,-2.39,-1.86,0.68,-0.63,-0.23,-2.43,0.19,-1.67,3.32,-0.89
 PATINHO,0.66,       -,-1.47,-2.43,-0.36,       -,-0.11,1.21,       -,-0.99,-0.22,-1.49,0.15,-2.12,-3.47,3.55,-0.56
 LAGARTO REDONDO,       -,       -,       -,       -,       -,       -,0.14,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.14
 LAGARTO COMUM,       -,-0.7,       -,       -,-2.15,       -,       -,       -,1.74,       -,-0.24,       -,-1.45,0.17,       -,       -,-1.05
 MÚSCULO,-1.36,1.63,1.35,-0.4,-0.13,       -,-0.03,       -,-3.26,2.16,0.29,       -,-0.1,-2.86,2.23,0.13,0.26
 PÁ,       -,1.43,-3.59,1.6,-1.02,       -,-1.45,       -,       -,       -,       -,-1.25,-0.51,-1.55,-1.8,0.05,-0.71
 ACÉM,-0.47,-0.82,-2.27,1.01,0.16,-0.99,-0.4,0.51,-1.44,0.71,0.25,2.04,0.8,-0.51,-3.58,2.99,-0.32
 PEITO,       -,       -,       -,       -,       -,       -,0.79,       -,       -,       -,       -,       -,0.79,1.32,-4.66,-4.76,-0.46
 CAPA DE FILÉ,       -,       -,       -,       -,       -,       -,2.39,       -,-0.61,0.29,       -,3.15,-0.44,-0.12,       -,       -,0.86
 COSTELA,1.07,0.89,0.13,1.38,0.32,0.09,2.12,-1.01,1.4,-0.36,-0.34,-0.66,0.85,-0.92,-1.73,-1.98,0.48
