"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - JUNHO DE 2022",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.39,0.7,0.83,1.13,0.61,0.81,0.26,0.61,1.24,0.65,0.51,0.61,0.64,0.81,0.51,0.67,0.67
 ALIMENTAÇÃO E BEBIDAS,0.06,1.28,1.12,1.08,1.18,0.83,-0.61,0.94,0.39,0.74,0.68,0.8,0.35,0.99,0.06,-0.11,0.8
 ALIMENTAÇÃO NO DOMICÍLIO,0.02,1.24,0.95,1.18,0.94,0.8,-0.94,0.65,0.24,0.62,0.56,0.89,0.11,1.11,0.11,-0.49,0.63
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-5.14,0.05,2.03,3.89,3.34,0.66,0.93,-1.74,3.78,-2.53,4.44,-2.88,-0.12,-0.25,-0.6,3.8,1.0
 ARROZ,-5.18,0.68,-1.4,1.11,0.84,-1.31,1.11,-1.19,0.8,-3.14,0.01,-2.21,-1.14,-3.48,-1.39,-0.98,-0.76
 FEIJÃO-MULATINHO,       -,       -,       -,7.76,       -,       -,       -,       -,4.37,       -,       -,       -,       -,       -,-1.67,       -,4.41
 FEIJÃO-PRETO,-5.06,-0.96,       -,       -,       -,-8.7,1.8,       -,       -,-1.56,       -,-4.87,       -,       -,       -,       -,-3.33
 FEIJÃO-MACÁÇAR (FRADINHO),       -,       -,       -,-4.48,       -,       -,       -,-3.02,       -,       -,       -,       -,       -,       -,       -,       -,-3.3
 FEIJÃO-CARIOCA (RAJADO),       -,       -,11.12,9.58,9.34,9.11,0.08,       -,10.6,       -,16.95,       -,4.67,14.98,10.38,10.26,9.74
 MILHO (EM GRÃO),       -,-1.9,       -,       -,       -,0.61,       -,       -,       -,0.15,       -,       -,       -,       -,       -,       -,-0.55
" FARINHAS, FÉCULAS E MASSAS",2.86,1.05,1.89,1.94,1.22,1.48,-0.53,0.27,1.8,2.62,1.6,2.96,1.69,2.61,1.84,0.04,1.52
 FARINHA DE ARROZ,       -,       -,       -,1.46,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.46
 MACARRÃO,6.8,1.02,2.69,4.17,-0.07,0.61,0.32,3.03,0.58,0.91,2.75,3.11,1.86,6.66,2.7,3.31,1.94
 FUBÁ DE MILHO,       -,       -,       -,2.39,       -,       -,       -,-1.18,       -,       -,       -,       -,       -,       -,0.08,-1.63,0.53
 FLOCOS DE MILHO,       -,       -,       -,4.9,       -,-1.45,       -,       -,       -,       -,       -,       -,       -,       -,3.21,0.51,2.68
 FARINHA DE TRIGO,       -,2.38,0.3,       -,3.13,       -,       -,       -,5.06,4.07,3.76,4.62,3.05,       -,       -,       -,3.0
