"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - MAIO DE 2022",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.56,0.47,0.27,0.55,0.35,0.31,0.36,1.41,1.29,0.38,0.37,-0.08,0.27,0.21,0.28,0.74,0.47
 ALIMENTAÇÃO E BEBIDAS,-0.08,1.29,-0.18,0.02,0.58,0.29,0.92,1.14,0.94,0.77,-0.32,-0.74,-0.6,0.72,1.02,0.47,0.48
 ALIMENTAÇÃO NO DOMICÍLIO,-0.24,1.8,-0.46,-0.3,0.44,0.19,0.97,1.19,0.98,1.07,-0.59,-1.41,-0.86,0.89,1.11,0.3,0.43
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",0.06,1.39,1.66,3.24,1.18,-0.71,3.78,-0.07,2.65,3.71,1.85,-1.25,-0.46,1.85,1.26,3.22,1.45
 ARROZ,0.64,0.49,-0.52,2.19,-0.95,-1.95,4.55,-0.36,0.47,4.69,-1.06,-0.96,-1.14,1.59,1.09,0.29,0.27
 FEIJÃO-MULATINHO,       -,       -,       -,-1.07,       -,       -,       -,       -,0.63,       -,       -,       -,       -,       -,0.51,       -,0.01
 FEIJÃO-PRETO,-1.06,2.02,       -,       -,       -,-2.94,-7.68,       -,       -,-0.94,       -,-2.07,       -,       -,       -,       -,-0.97
 FEIJÃO-MACÁÇAR (FRADINHO),       -,       -,       -,0.38,       -,       -,       -,0.61,       -,       -,       -,       -,       -,       -,       -,       -,0.57
 FEIJÃO-CARIOCA (RAJADO),       -,       -,7.92,8.36,6.69,2.44,6.94,       -,9.39,       -,11.08,       -,2.82,3.06,4.29,7.46,7.31
 MILHO (EM GRÃO),       -,6.77,       -,       -,       -,3.15,       -,       -,       -,3.73,       -,       -,       -,       -,       -,       -,4.76
" FARINHAS, FÉCULAS E MASSAS",3.3,5.1,4.1,3.13,2.87,2.95,1.07,2.44,3.92,2.09,3.04,5.33,4.46,2.64,3.27,2.74,3.18
 FARINHA DE ARROZ,       -,       -,       -,0.26,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.26
 MACARRÃO,2.31,9.09,5.65,5.31,3.14,3.22,12.2,0.78,3.3,-1.14,1.74,4.49,4.39,6.54,0.69,4.49,3.86
 FUBÁ DE MILHO,       -,       -,       -,3.01,       -,       -,       -,3.54,       -,       -,       -,       -,       -,       -,4.5,0.43,3.18
 FLOCOS DE MILHO,       -,       -,       -,-0.73,       -,3.7,       -,       -,       -,       -,       -,       -,       -,       -,-5.31,2.98,0.03
 FARINHA DE TRIGO,       -,6.28,3.34,       -,4.44,       -,       -,       -,6.04,3.53,2.89,9.22,4.71,       -,       -,       -,4.79
 FARINHA DE MANDIOCA,3.73,       -,4.62,3.9,4.83,0.95,-1.49,4.42,3.56,       -,3.42,4.33,       -,0.4,5.14,2.64,2.47
 MASSA SEMIPREPARADA,4.65,1.41,1.96,       -,2.45,3.53,0.91,1.33,4.71,4.74,3.98,4.82,4.8,       -,       -,       -,2.92
 MACARRÃO INSTANTÂNEO,2.43,       -,       -,       -,-0.01,4.67,       -,       -,       -,0.62,       -,3.37,3.75,3.49,       -,       -,1.18
" TUBÉRCULOS, RAÍZES E LEGUMES",-17.55,1.49,-17.13,-14.37,-11.68,-11.05,-2.63,-7.4,-3.53,-0.26,-11.72,-25.98,-11.73,4.69,-3.56,-6.95,-10.09
 BATATA-DOCE,-7.32,       -,       -,-4.04,-7.32,       -,       -,       -,4.93,       -,-11.95,       -,       -,0.47,       -,       -,-4.94
 BATATA-INGLESA,-11.51,10.46,-10.48,-14.68,-3.68,-5.13,9.55,-8.64,-0.04,5.2,-9.2,-11.13,-10.15,13.62,-4.58,-3.77,-3.94
 INHAME,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.52,       -,       -,       -,0.04,-0.59
 MANDIOCA (AIPIM),       -,       -,10.02,0.99,       -,2.2,       -,       -,0.98,       -,       -,       -,0.75,7.1,       -,       -,5.22
 ABOBRINHA,       -,       -,       -,       -,-14.24,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-14.24
 PEPINO,       -,       -,       -,       -,       -,       -,       -,       -,       -,8.02,       -,       -,       -,       -,       -,       -,8.02
 PIMENTÃO,       -,       -,       -,       -,2.08,-1.49,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.75
 TOMATE,-32.62,-18.85,-35.4,-27.54,-25.19,-20.95,-11.3,-19.26,-12.94,-11.94,-17.77,-39.93,-28.4,-7.18,-15.48,-11.52,-23.72
 CEBOLA,29.81,28.65,31.39,6.08,13.67,27.12,22.24,26.88,12.11,39.82,22.84,28.16,41.5,24.1,18.15,7.23,21.36
 CENOURA,-33.32,-13.25,-31.79,-29.73,-17.54,-32.49,-8.64,-29.98,-15.63,-19.62,-35.66,-41.9,       -,       -,       -,-20.02,-24.07
 AÇÚCARES E DERIVADOS,2.3,2.27,2.08,0.03,2.35,1.41,1.05,0.18,1.4,2.67,1.36,0.34,1.53,0.36,0.26,0.7,1.92
 AÇÚCAR REFINADO,-0.51,-1.14,       -,0.14,-0.17,1.07,-6.53,1.16,-0.1,-1.24,       -,       -,       -,-1.72,-1.86,       -,-0.77
 AÇÚCAR CRISTAL,       -,1.13,0.27,-1.85,       -,0.07,3.85,-0.88,0.4,-2.01,0.03,-1.91,0.91,0.22,2.25,-0.16,0.16
 BALAS,       -,0.84,       -,       -,       -,2.37,       -,       -,       -,0.62,0.62,       -,2.08,       -,       -,       -,1.01
 CHOCOLATE EM BARRA E BOMBOM,7.75,4,2.1,7.85,3.37,1.13,3.61,1.34,4.76,6.67,2.5,3.24,3.91,1.75,1.4,2.97,3.95
 SORVETE,2.05,2.28,4.44,0.67,3.14,2.79,3.7,1.44,1.9,2.2,3.19,4.53,0.97,       -,       -,2.32,2.86
 CHOCOLATE E ACHOCOLATADO EM PÓ,3.96,3.4,4.16,2.13,2.33,1.15,3.4,-0.57,2.96,4.76,1.72,0.78,2.06,2.38,-0.83,0.83,2.89
 DOCE DE FRUTAS EM PASTA,       -,       -,       -,-1.17,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.17
 AÇÚCAR DEMERARA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.16,0.16
 HORTALIÇAS E VERDURAS,-2.47,-10.06,-3.82,-1.66,-3.24,0.1,5.86,2.33,-3.61,-0.13,-5.77,-4.69,-3.24,1.57,-0.45,2.99,-3.22
 ALFACE,-0.85,-12.04,-3.1,-3.17,-4.36,1.22,4.11,0.35,-3.75,1.1,-2.87,-6.46,2.92,3.32,-5.35,2.78,-4.1
 COENTRO,       -,       -,       -,-0.79,       -,       -,       -,       -,-5.85,       -,       -,       -,       -,       -,       -,1.5,-3.47
 COUVE,2.34,       -,-3.72,       -,5.53,       -,       -,       -,       -,       -,       -,0.18,       -,1.04,       -,7.49,2.86
 COUVE-FLOR,-12.1,       -,       -,       -,       -,0.68,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-10.07
 REPOLHO,       -,-12.7,       -,       -,-5.04,       -,       -,       -,1.42,2.31,-16.31,       -,-15.62,       -,6.28,       -,-5.55
 CHEIRO-VERDE,7.24,0.09,-2.55,-0.4,-1.75,0.41,8.26,2.92,-2.96,-3.1,1.4,-6.34,-3.75,0.59,-3.29,       -,0.49
 BRÓCOLIS,-8.35,-6.31,-9.72,       -,-4.52,-3.67,-1.28,       -,       -,-3.35,       -,-2.07,       -,       -,       -,       -,-5.33
 FRUTAS,-4.6,-0.9,-5.28,-3.29,-1.83,-2.94,-0.61,-0.7,1.39,-2.08,-2.26,-2.76,-9.97,-5.53,-0.88,-0.41,-2.3
 BANANA-DA-TERRA,       -,       -,       -,12.23,       -,       -,       -,       -,16.41,       -,       -,12.58,       -,-6.62,       -,       -,14.27
 ABACAXI,-1.65,2.89,       -,-4.18,       -,       -,-3.05,       -,       -,       -,2.77,-2.59,-2.32,       -,       -,2.18,-0.48
 ABACATE,       -,       -,       -,       -,       -,       -,0.13,       -,       -,       -,       -,       -,       -,1.37,       -,       -,0.37
 BANANA-D'ÁGUA,-6.82,1.02,-10.68,       -,-2.13,-5.33,       -,       -,       -,-1.95,       -,       -,-5.38,       -,-2.88,       -,-2.88
 BANANA-MAÇÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.34,       -,-3.42,       -,       -,       -,-1.19
 BANANA-PRATA,-6.17,-0.51,-13.37,-1.63,-5.72,-6.2,-2.45,-0.02,1.74,-3.66,4.52,-3.48,       -,-13.38,2.33,0.41,-4.24
 LARANJA-BAÍA,       -,-7.97,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-7.97
 LARANJA-LIMA,       -,       -,-1.42,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.42
 LIMÃO,-9.99,       -,       -,       -,-8.09,4.05,       -,       -,       -,       -,-3.82,-7.08,       -,14.86,       -,       -,-6.68
 MAÇÃ,1.94,-7.42,5.25,1.13,1.49,0.68,1.24,-0.22,-4.26,-3.83,1.56,-3.02,-4.21,-1.33,1.48,2.55,-0.01
