"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - JULHO DE 2022",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,-0.44,-0.59,-1.07,-0.42,-0.07,-0.98,-1.29,-0.65,-1.06,-1.41,-2.12,-1.31,-0.95,-0.92,-0.63,-1.21,-0.68
 ALIMENTAÇÃO E BEBIDAS,1.27,2.2,1.71,1.71,1.4,1.99,-0.71,0.41,0.7,1.26,1.67,1.61,0.63,1.3,0.62,0.57,1.3
 ALIMENTAÇÃO NO DOMICÍLIO,1.55,2.66,1.88,1.96,1.65,2.39,-0.95,0.39,0.74,1.51,1.79,1.69,0.6,1.19,0.49,0.65,1.47
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-0.16,-0.87,-1.47,1.19,0.06,0.08,-3.34,-0.03,0.42,-2.46,-0.48,-2.12,-2.3,0.06,-1.85,0.93,-0.61
 ARROZ,1.29,-1.21,-0.25,0.3,0.61,1.41,-2.74,0.62,0.77,-2.97,0.38,-1.37,-0.98,-0.36,-1.58,1.24,-0.11
 FEIJÃO-MULATINHO,0.0,0.0,0.0,2.85,0.0,0.0,0.0,0.0,-0.37,0.0,0.0,0.0,0.0,0.0,-6.53,0.0,-0.32
 FEIJÃO-PRETO,-2.98,-2.99,0.0,0.0,0.0,-3.43,-10.49,0.0,0.0,-6.15,0.0,-4.42,0.0,0.0,0.0,0.0,-4.03
 FEIJÃO-MACÁÇAR (FRADINHO),0.0,0.0,0.0,3.49,0.0,0.0,0.0,-1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.63
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,-4.34,1.1,-1.13,-3.38,-2.11,0.0,0.02,0.0,-2.55,0.0,-8.15,1.72,-0.62,0.55,-1.69
 MILHO (EM GRÃO),0.0,7.56,0.0,0.0,0.0,2.55,0.0,0.0,0.0,5.42,0.0,0.0,0.0,0.0,0.0,0.0,5.83
" FARINHAS, FÉCULAS E MASSAS",1.43,2.33,1.37,0.47,2.57,1.42,1.83,0.82,1.33,2.26,1.37,1.33,0.63,1.73,0.2,1.87,1.77
 FARINHA DE ARROZ,0.0,0.0,0.0,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56
 MACARRÃO,0.44,1.46,1.26,1.7,1.71,2.52,1.29,-0.37,2.45,3.75,1.32,2.02,0.12,2.45,6.64,1.52,1.65
 FUBÁ DE MILHO,0.0,0.0,0.0,-0.44,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,1.36,2.28,1.38
 FLOCOS DE MILHO,0.0,0.0,0.0,0.4,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45,-2.41,0.98
 FARINHA DE TRIGO,0.0,2.91,2.54,0.0,0.59,0.0,0.0,0.0,1.05,4.48,3.73,0.99,2.0,0.0,0.0,0.0,2.29
 FARINHA DE MANDIOCA,1.14,0.0,2.95,-1.02,3.96,2.86,1.8,0.91,0.8,0.0,1.22,0.27,0.0,1.19,-2.2,3.33,1.34
 MASSA SEMIPREPARADA,1.06,2.58,-0.13,0.0,3.02,-0.85,3.2,1.15,0.47,-0.33,0.23,0.69,-0.2,0.0,0.0,0.0,1.6
 MACARRÃO INSTANTÂNEO,5.3,0.0,0.0,0.0,5.07,0.97,0.0,0.0,0.0,0.85,0.0,2.12,1.04,2.09,0.0,0.0,3.91
" TUBÉRCULOS, RAÍZES E LEGUMES",-20.12,-11.51,-18.58,-5.69,-18.2,-12.35,-13.44,-11.85,-11.14,-17.18,-16.84,-20.35,-18.68,-6.92,-7.75,-9.29,-15.62
 BATATA-DOCE,-0.35,0.0,0.0,1.08,4.91,0.0,0.0,0.0,-3.51,0.0,5.34,0.0,0.0,6.64,0.0,0.0,2.03
 BATATA-INGLESA,-21.73,-11.37,-22.31,-8.94,-16.81,-16.88,-12.8,-8.58,-9.06,-19.58,-19.36,-14.1,-23.25,-1.17,-0.86,-10.13,-16.62
 INHAME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.64,0.0,0.0,0.0,6.41,6.97
 MANDIOCA (AIPIM),0.0,0.0,-10.34,9.69,0.0,8.71,0.0,0.0,-3.47,0.0,0.0,0.0,-3.85,-1.81,0.0,0.0,-3.1
 ABOBRINHA,0.0,0.0,0.0,0.0,-23.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.55
 PEPINO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.23,0.0,0.0,0.0,0.0,0.0,0.0,13.23
 PIMENTÃO,0.0,0.0,0.0,0.0,-10.97,-10.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.9
 TOMATE,-31.03,-23.16,-22.77,-13.71,-28.11,-20.79,-15.87,-22.06,-17.99,-23.48,-24.14,-31.3,-28.0,-11.21,-8.0,-11.46,-23.68
 CEBOLA,-6.92,1.93,-5.4,-1.16,-9.55,-2.66,-7.28,-5.06,-6.36,-4.13,-6.83,-4.69,-3.09,-8.82,-9.63,-10.27,-5.55
 CENOURA,-16.56,-15.48,-20.26,-10.94,-13.99,-4.59,-14.37,-8.56,-15.94,-28.55,-4.86,-2.57,0.0,0.0,0.0,-8.55,-15.34
 AÇÚCARES E DERIVADOS,1.25,0.62,0.36,0.98,0.47,-0.23,-0.74,-0.08,0.6,0.61,-0.68,0.29,-0.58,0.35,1.49,0.91,0.44
 AÇÚCAR REFINADO,-0.76,-0.25,0.0,0.31,-1.61,-1.7,3.96,0.69,1.05,-0.79,0.0,0.0,0.0,-0.8,1.03,0.0,-0.6
 AÇÚCAR CRISTAL,0.0,1.09,-0.22,1.21,0.0,-2.1,-3.58,-1.01,-0.55,0.16,-1.97,-1.39,-3.26,0.67,1.13,0.91,-0.65
 BALAS,0.0,0.5,0.0,0.0,0.0,1.28,0.0,0.0,0.0,4.92,3.07,0.0,0.92,0.0,0.0,0.0,2.4
 CHOCOLATE EM BARRA E BOMBOM,1.5,0.88,2.06,2.26,0.8,-0.46,-1.72,0.83,3.5,0.32,0.41,1.65,3.41,2.0,1.56,1.31,0.93
 SORVETE,1.02,0.39,-0.92,1.1,1.98,0.32,-0.85,0.62,2.29,-1.05,1.05,-0.25,0.6,0.0,0.0,1.39,0.9
 CHOCOLATE E ACHOCOLATADO EM PÓ,5.19,0.68,1.46,-0.26,0.19,2.2,-0.07,-0.14,0.24,2.62,-1.7,3.6,1.25,-0.64,4.36,0.82,1.28
 DOCE DE FRUTAS EM PASTA,0.0,0.0,0.0,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.75
 AÇÚCAR DEMERARA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,-0.05
 HORTALIÇAS E VERDURAS,-8.56,0.55,-2.0,-4.18,-6.7,2.38,-5.78,-3.53,-3.88,-5.18,-8.2,-1.19,-8.17,-0.96,-4.13,-2.5,-4.93
 ALFACE,-9.87,4.56,-1.1,-4.79,-4.91,2.32,-10.92,-0.54,-6.32,-1.61,-7.77,-0.11,-4.02,0.81,3.12,-1.41,-3.25
 COENTRO,0.0,0.0,0.0,-6.64,0.0,0.0,0.0,0.0,-2.12,0.0,0.0,0.0,0.0,0.0,0.0,-4.57,-3.92
 COUVE,-5.72,0.0,-4.24,0.0,-7.47,0.0,0.0,0.0,0.0,0.0,0.0,-1.04,0.0,-0.32,0.0,1.21,-6.17
 COUVE-FLOR,-10.63,0.0,0.0,0.0,0.0,-3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.43
 REPOLHO,0.0,-9.7,0.0,0.0,-11.4,0.0,0.0,0.0,-11.74,-8.53,-17.24,0.0,-25.36,0.0,-6.79,0.0,-11.13
 CHEIRO-VERDE,-8.65,11.93,-1.99,5.21,-9.06,5.4,-4.64,-4.38,-0.51,-2.61,1.41,-2.24,-2.71,-2.31,-4.54,0.0,-3.59
 BRÓCOLIS,-7.21,-8.16,-4.04,0.0,-8.4,0.77,-4.9,0.0,0.0,-13.39,0.0,-2.63,0.0,0.0,0.0,0.0,-7.99
 FRUTAS,5.21,6.04,9.68,3.76,3.25,8.48,0.98,0.37,-0.29,3.71,6.37,4.73,9.96,3.11,4.08,1.21,4.4
 BANANA-DA-TERRA,0.0,0.0,0.0,-2.31,0.0,0.0,0.0,0.0,-8.18,0.0,0.0,5.11,0.0,0.54,0.0,0.0,-5.28
 ABACAXI,8.55,3.83,0.0,-1.86,0.0,0.0,-0.98,0.0,0.0,0.0,3.61,-0.3,-2.77,0.0,0.0,2.97,2.71
 ABACATE,0.0,0.0,0.0,0.0,0.0,0.0,3.36,0.0,0.0,0.0,0.0,0.0,0.0,-1.95,0.0,0.0,2.39
 BANANA-D'ÁGUA,12.04,11.63,23.77,0.0,10.15,12.14,0.0,0.0,0.0,9.5,0.0,0.0,7.92,0.0,11.36,0.0,11.36
 BANANA-MAÇÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.08,0.0,-2.87,0.0,0.0,0.0,-4.5
 BANANA-PRATA,4.76,9.51,13.89,1.76,1.77,6.41,1.99,1.43,-4.83,3.6,-4.34,7.91,0.0,-8.61,4.7,2.76,4.04
 LARANJA-BAÍA,0.0,-8.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.02
 LARANJA-LIMA,0.0,0.0,-2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.85
 LIMÃO,7.26,0.0,0.0,0.0,-2.96,4.02,0.0,0.0,0.0,0.0,5.41,6.29,0.0,5.1,0.0,0.0,-0.38
 MAÇÃ,2.84,0.09,4.24,2.24,-0.38,2.67,1.37,3.06,-2.92,-0.56,2.91,-0.63,4.08,11.08,-2.01,-0.48,1.09
 MAMÃO,15.42,21.92,12.88,19.24,10.06,18.21,0.0,9.85,5.96,15.87,24.09,10.46,33.3,28.84,0.0,4.06,13.52
 MANGA,3.28,8.61,-1.35,0.0,-1.02,6.76,0.0,-0.09,5.32,2.98,0.0,6.47,0.0,0.0,0.0,6.05,1.36
 MARACUJÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.42,-6.05,0.0,0.0,0.0,0.0,0.0,0.0,-0.41,-5.96
