"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - AGOSTO DE 2018",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,-0.38,-0.1,-0.01,-0.09,0.12,-0.72,-0.12,-0.28,-0.27,-0.2,0.3,-0.04,-0.18,0.26,-0.51,0.03,-0.09
 ALIMENTAÇÃO E BEBIDAS,-0.8,0.16,-0.62,-0.16,0.02,-0.34,-0.96,-0.23,-1.01,-0.35,-0.28,-0.59,-0.4,0.32,-0.7,-0.12,-0.34
 ALIMENTAÇÃO NO DOMICÍLIO,-1.5,0.43,-1.09,-0.49,-0.39,-0.91,-1.16,-0.38,-1.38,-1.02,-0.74,-1.1,-0.44,-0.16,-0.77,-0.21,-0.72
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-1.37,1.8,1.27,1.75,1.92,2.85,1.46,1.11,-0.21,1.69,4.29,1.6,-0.39,0.58,1.91,1.32,1.34
 ARROZ,-2.98,3.32,2.11,3.06,3.28,2.6,1.91,2.84,4.36,3.22,6.51,2.36,1.21,1.85,2.04,3.91,2.51
 FEIJÃO-MULATINHO,0.0,0.0,0.0,0.45,0.0,0.0,0.0,-1.33,-3.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.94
 FEIJÃO-PRETO,1.39,-2.82,0.0,0.0,0.0,0.0,1.02,0.0,0.0,-1.41,0.0,0.82,-3.04,0.0,0.81,0.0,0.06
 FEIJÃO-MACASSAR (FRADINHO),0.0,0.0,0.0,5.15,0.0,0.0,0.0,-2.82,-0.82,0.0,0.0,0.0,0.0,0.0,1.91,-3.8,-0.35
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,-1.56,-4.27,-1.93,3.4,0.26,0.27,-6.27,-2.83,-2.36,-1.66,-6.19,-2.78,-0.15,-1.2,-2.14
 FEIJÃO-BRANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.92,0.0,2.92
" FARINHAS, FÉCULAS E MASSAS",1.46,2.08,0.6,-0.89,5.42,-0.54,-0.56,0.17,-4.39,1.84,2.74,2.26,2.14,-1.58,-2.56,-0.81,0.7
