"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - OUTUBRO DE 2018",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.21,0.72,0.41,0.21,0.41,0.41,0.54,0.63,0.46,0.58,0.55,0.7,0.71,0.51,0.37,0.52,0.45
 ALIMENTAÇÃO E BEBIDAS,-0.08,1.4,1.02,0.48,0.41,0.27,0.75,0.22,0.65,0.59,0.74,1.09,1.51,0.76,0.56,0.71,0.59
 ALIMENTAÇÃO NO DOMICÍLIO,0.31,1.79,1.21,0.82,0.55,0.53,1.08,0.54,0.94,1.16,1.79,1.57,1.83,0.29,0.51,0.91,0.91
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",3.99,2.68,1.44,-0.47,-1.9,1.82,4.71,-0.11,-0.58,2.05,-0.11,1.12,1.33,1.58,-0.65,1,0.76
 ARROZ,4.99,1.34,0.82,-0.86,-1.26,3.35,6.58,0.56,0.54,2.01,0.78,0.37,1.22,2.39,-0.58,0.31,1.09
 FEIJÃO-MULATINHO,       -,       -,       -,1.95,       -,       -,       -,0.63,-0.67,       -,       -,       -,       -,       -,       -,       -,0.92
 FEIJÃO-PRETO,2.36,6.98,       -,       -,       -,       -,-0.81,       -,       -,2.98,       -,3.04,3.15,       -,2.86,       -,3.11
 FEIJÃO-MACASSAR (FRADINHO),       -,       -,       -,-4.16,       -,       -,       -,-2.23,1.69,       -,       -,       -,       -,       -,0.1,-2.4,-1.62
 FEIJÃO-CARIOCA (RAJADO),       -,       -,3.54,0.63,-3.84,-1.68,1.25,-0.44,-3.24,1.38,-3,1.25,1.31,-0.69,-1.6,2.69,-1.2
 FEIJÃO-BRANCO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-5.56,       -,-5.56
" FARINHAS, FÉCULAS E MASSAS",0.97,-1.09,0.11,-1.22,0.8,0.69,-0.14,0.78,-8.31,-0.44,-1.15,-0.7,-2.21,-0.76,-3,-3.38,-1.14
 FARINHA DE ARROZ,       -,       -,       -,       -,       -,       -,       -,-0.48,-0.47,       -,       -,       -,       -,       -,2.26,0.34,-0.01
 MACARRÃO,1.99,-1.43,-0.4,0,1.53,-0.8,0.65,1.27,-2.27,0.63,-1.13,0.18,-3.85,0.71,-0.74,1.24,0.33
 FUBÁ DE MILHO,       -,       -,0.95,-1.84,       -,       -,       -,       -,-7.89,       -,-1.1,       -,       -,       -,3.64,-1.54,-1.67
 AMIDO DE MILHO,       -,       -,       -,       -,       -,       -,       -,0.82,       -,       -,       -,       -,       -,       -,       -,       -,0.82
 FLOCOS DE MILHO,       -,       -,       -,1.48,       -,3.13,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.64,1.41
 FARINHA DE TRIGO,1.3,-1.32,2.76,       -,-1.61,       -,2.16,       -,       -,-0.47,-2.31,0.65,-0.02,       -,       -,       -,-0.42
 FARINHA VITAMINADA,       -,       -,       -,-3.16,       -,       -,       -,0.25,       -,       -,       -,       -,       -,       -,       -,1.04,-1.29
 FARINHA DE MANDIOCA,-2.73,       -,       -,-2.79,       -,-0.37,-0.53,0.61,-12.2,       -,       -,-3.27,       -,-1.46,-5.29,-8.64,-4.69
 MASSA SEMIPREPARADA,0.27,-0.43,-0.85,       -,1,2.91,       -,       -,       -,-3.34,-0.07,-0.82,-1.33,       -,       -,-0.62,-0.06
" TUBÉRCULOS, RAÍZES E LEGUMES",29.49,28.29,28.59,10.65,16.52,17.39,8.82,27.24,22.67,30.02,38.02,28.58,38.75,7.59,5.52,5.83,22.08
 BATATA-INGLESA,18.85,8.93,10.95,3.19,20.24,6.79,2.24,11.57,17.66,11.69,22.99,2.87,11.21,-5.21,-4.68,5.96,13.67
 INHAME,       -,       -,       -,8.06,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-6.93,5.78
 MANDIOCA (AIPIM),       -,15.59,       -,10.79,       -,       -,       -,       -,       -,       -,       -,8.16,0.66,       -,       -,-1.31,9.14
 ABÓBORA,9.55,       -,-10.96,       -,       -,-4.36,       -,       -,       -,       -,-3.04,       -,       -,       -,       -,       -,-1.24
 PIMENTÃO,       -,       -,       -,       -,       -,       -,       -,       -,13.81,       -,       -,       -,       -,       -,       -,       -,13.81
 QUIABO,       -,       -,0.74,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.74
 TOMATE,74.83,66.08,84.47,23.26,32.78,54.71,19.4,78.52,47.85,66.79,78.42,89.11,76.57,21.24,19.08,19.71,51.27
 CEBOLA,5.01,-4.72,2.98,0.84,-3.32,-9.54,-1.02,-5.12,5.73,5.88,5.69,3.76,6.03,-4.18,-16.34,-1.81,-1.05
 CENOURA,-8.07,       -,-3.49,       -,4.32,-5.82,       -,-0.63,-1.67,-6.44,2.78,-1.22,       -,       -,       -,-0.02,-1.21
