"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - DEZEMBRO DE 2018",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.4,0.26,0.01,0.18,0.03,0.32,0.48,0.07,0.56,-0.17,-0.03,-0.01,0.06,0.63,0.25,0.67,0.15
 ALIMENTAÇÃO E BEBIDAS,0.77,0.75,-0.15,0.11,-0.01,0.99,0.91,0.4,2.07,0.21,0.66,-0.07,0.4,0.48,0.56,0.57,0.44
 ALIMENTAÇÃO NO DOMICÍLIO,0.85,0.36,-0.03,-0.08,0.11,0.72,1.13,0.36,2.58,0.13,0.78,-0.2,0.24,0.65,0.63,0.94,0.5
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",1.42,-2.09,1.11,1.72,1.71,5.41,3.91,-1.21,1.45,1.27,2.61,0.6,2.68,2.14,-0.7,0.74,1.32
 ARROZ,0.86,-0.73,-2.15,0.05,-3.13,0.11,-0.27,-1.17,0.48,0.15,-1.19,-0.46,-0.38,-1.07,-0.52,-2.33,-1.19
 FEIJÃO-MULATINHO,       -,       -,       -,1.82,       -,       -,       -,1.21,4.54,       -,       -,       -,       -,       -,       -,       -,2.54
 FEIJÃO-PRETO,2.38,-6.22,       -,       -,       -,       -,8.72,       -,       -,2.88,       -,0.12,0.2,       -,0.91,       -,1.02
 FEIJÃO-MACASSAR (FRADINHO),       -,       -,       -,-1.11,       -,       -,       -,-4.02,1.66,       -,       -,       -,       -,       -,-1.34,-1.8,-1.95
 FEIJÃO-CARIOCA (RAJADO),       -,       -,12.19,11.76,16.96,17.77,16.6,13.99,2.18,5.49,14.82,9.83,17.13,11.72,3.61,5.91,12.98
 FEIJÃO-BRANCO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-10.34,       -,-10.34
" FARINHAS, FÉCULAS E MASSAS",1.68,0.54,0.88,-1.06,-0.55,0.94,1.46,0.24,-0.94,-0.87,-0.51,-0.12,-0.43,-0.27,-1.22,-0.67,0.05
 FARINHA DE ARROZ,       -,       -,       -,       -,       -,       -,       -,-2.1,2.9,       -,       -,       -,       -,       -,-0.68,1.08,0.85
 MACARRÃO,2,0.98,0.35,0.15,0.34,3.25,3.58,2.25,3.76,-0.82,-0.93,0.48,-1.14,0.53,1.58,0.46,1.08
 FUBÁ DE MILHO,       -,       -,1.32,3.93,       -,       -,       -,       -,1.19,       -,-3.14,       -,       -,       -,-4.16,0.07,1.22
 AMIDO DE MILHO,       -,       -,       -,       -,       -,       -,       -,0.99,       -,       -,       -,       -,       -,       -,       -,       -,0.99
 FLOCOS DE MILHO,       -,       -,       -,-4.67,       -,0.01,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.11,-3.28
 FARINHA DE TRIGO,0.96,0.72,0.18,       -,1.24,       -,0.23,       -,       -,-0.71,2.52,0.34,0.32,       -,       -,       -,0.56
 FARINHA VITAMINADA,       -,       -,       -,-1.36,       -,       -,       -,0.22,       -,       -,       -,       -,       -,       -,       -,-1.5,-0.7
 FARINHA DE MANDIOCA,-2.25,       -,       -,-5.51,       -,1.02,0.85,-2.23,-3.97,       -,       -,-1.78,       -,-0.67,-1.59,-2.43,-1.61
 MASSA SEMIPREPARADA,3.9,-0.19,2.27,       -,-3.61,-2.35,       -,       -,       -,-1.34,-0.35,-0.05,0.18,       -,       -,2.15,-0.86
" TUBÉRCULOS, RAÍZES E LEGUMES",9.09,9.7,3.52,11.32,4.11,11.75,9.61,13.87,33.8,11.5,9.96,-9.65,4.58,10.6,6.14,14.99,9.01
 BATATA-INGLESA,23.37,23.21,20.01,12.11,8.81,31.89,4.71,15.93,56.32,30.57,32.06,1.41,19.92,11.31,16.15,25.44,20.05
 INHAME,       -,       -,       -,-7.07,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,6.21,-5.4
 MANDIOCA (AIPIM),       -,-0.77,       -,5.22,       -,       -,       -,       -,       -,       -,       -,-1.98,6.25,       -,       -,-2.39,2.7
 ABÓBORA,11.83,       -,8.97,       -,       -,-2.6,       -,       -,       -,       -,2.13,       -,       -,       -,       -,       -,7.72
 PIMENTÃO,       -,       -,       -,       -,       -,       -,       -,       -,15.29,       -,       -,       -,       -,       -,       -,       -,15.29
 QUIABO,       -,       -,-6.87,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-6.87
 TOMATE,-5.66,-0.49,-10.62,3.02,2.27,1.35,5.35,-4.36,18.06,-2.89,-1.97,-25.16,-3.21,8.11,-2.01,7.17,-0.78
 CEBOLA,24.49,15.96,22.92,52.3,5.48,35.88,21.66,56.28,65.75,26.29,37.68,8.32,17.36,14.98,23.86,45.96,24.03
 CENOURA,12.68,       -,8.66,       -,1.95,5.24,       -,8.25,13.48,11.69,13.29,6.73,       -,       -,       -,2.71,7.68
 MANDIOQUINHA (BATATA-BAROA),       -,       -,       -,       -,-2.6,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.6
 AÇÚCARES E DERIVADOS,0.28,0.48,0.6,-3.77,1.18,-0.63,1.03,-0.34,0.07,0.74,1.43,2.57,0.44,0.35,0.75,-0.51,0.53
 AÇÚCAR REFINADO,2.66,1.96,       -,       -,1.48,       -,1.85,-0.19,       -,-1.62,       -,       -,       -,2.2,4.19,4.24,1.58
 AÇÚCAR CRISTAL,-4.06,2.1,1.22,-5.08,5.18,-0.72,0.68,0.17,1.53,3.84,3.62,3.81,1.12,0.41,-1.27,-1.04,1.42
 BALAS,       -,-0.14,       -,       -,       -,       -,       -,       -,       -,1.22,       -,       -,       -,       -,       -,       -,0.61
 CHOCOLATE EM BARRA E BOMBOM,-1.55,-0.66,0.6,-3.11,-0.71,-1.48,3.48,       -,-5.79,-1.72,-0.8,0.34,0.37,0.2,       -,-0.26,-0.85
 SORVETE,0.95,-1.81,0.26,-2,0.52,-1.4,       -,-2.81,-2.5,0.52,-2.88,-0.73,-0.11,       -,-1.38,-2.1,-0.16
 CHOCOLATE E ACHOCOLATADO EM PÓ,0.6,1.47,-0.81,0.68,-0.02,-1.08,-0.46,-0.64,-1.84,0.43,-0.23,1.47,-0.43,-1.44,0.34,-1.19,0.03
 DOCE DE FRUTAS EM PASTA,       -,       -,       -,-6.48,       -,1.72,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.96
 HORTALIÇAS E VERDURAS,0.25,3.35,3.22,-0.21,2.5,6.6,4.63,-1.91,8.55,-5.14,5.85,2.49,-0.66,1.81,2.42,5.95,2.26
 ALFACE,1.4,5.5,3.55,10.47,1.36,6.52,6.81,2.31,4.91,-7.08,2.04,-1.14,-2.16,-0.53,5.68,11.43,1.96
 COENTRO,       -,       -,       -,-10.57,       -,       -,       -,       -,0.72,       -,       -,       -,       -,       -,       -,0.96,-4.84
 COUVE,0.77,       -,-0.21,       -,2.16,4.51,       -,       -,       -,-4.85,4.37,2.11,       -,       -,       -,       -,1.3
 COUVE-FLOR,-2.98,-3.69,       -,       -,       -,       -,       -,       -,       -,       -,       -,-11.79,       -,       -,       -,       -,-4.09
 REPOLHO,-1.73,4.06,10.48,25.62,12.65,21,5.2,       -,21.83,-5.68,15.17,37.83,4.25,15.54,       -,13.21,9.55
 CHEIRO-VERDE,0.9,       -,       -,       -,4.33,1.87,3.6,-2.56,14.62,       -,       -,-3.54,-1.77,0.58,0.81,       -,2.34
 AGRIÃO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.19,       -,       -,       -,4.19
 BRÓCOLIS,-0.23,-1.12,-2.84,       -,-1.49,8.25,       -,       -,       -,5.15,       -,       -,       -,       -,       -,       -,-0.36
 FRUTAS,5.6,2.59,8.77,-0.3,1.22,4.35,-0.68,2.9,6.62,4.51,3.91,2.78,-0.81,-0.44,0.34,4.65,3.11
 BANANA-DA-TERRA,       -,       -,       -,14.27,       -,       -,       -,       -,3.95,       -,       -,6.76,       -,6.25,       -,       -,8.65
 ABACAXI,17.58,-6.01,18.31,8.14,2.44,       -,       -,       -,       -,8.35,4.65,       -,0.44,       -,       -,-4.07,6.46
 ABACATE,       -,       -,       -,       -,       -,       -,9.41,       -,       -,       -,       -,       -,       -,       -,       -,       -,9.41
 BANANA-D'ÁGUA,2.62,-1,       -,       -,-0.2,3.3,       -,       -,       -,3.76,       -,       -,-2.11,       -,       -,       -,0.29
 BANANA-MAÇÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,5.6,       -,9.13,       -,       -,       -,6.34
 BANANA-PRATA,10.04,0.1,23.7,-2.51,1.13,12.94,-2.47,1.47,9.39,1.6,11.56,2.49,       -,-1.22,3.51,7.45,5.6
 LARANJA-BAÍA,       -,27.24,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,27.24
 LIMÃO,       -,       -,       -,       -,       -,       -,-21.07,       -,       -,       -,       -,       -,       -,       -,-33.9,       -,-23.85
