"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - NOVEMBRO DE 2018",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,-0.02,-0.42,-0.09,-0.11,-0.3,-0.43,0.0,-0.07,-0.31,-0.26,0.12,-0.3,-0.31,-0.11,-0.11,-0.31,-0.21
 ALIMENTAÇÃO E BEBIDAS,0.44,0.22,0.52,1.04,0.03,-0.04,0.52,0.94,1.05,0.24,0.93,0.75,0.18,1.05,0.71,-0.13,0.39
 ALIMENTAÇÃO NO DOMICÍLIO,0.39,0.29,0.62,1.6,-0.59,0.77,0.71,1.3,1.08,0.31,0.8,0.41,0.67,0.95,0.9,-0.16,0.34
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-1.43,0.29,-1.03,1.44,-0.43,-1.3,1.79,0.95,0.55,1.15,0.58,-0.6,1.99,1.01,1.24,-1.43,0.1
 ARROZ,-0.59,0.23,-0.38,1.2,-0.09,-2.08,2.64,0.51,1.97,1.14,-0.85,-0.65,2.4,1.83,1.43,-0.03,0.35
 FEIJÃO-MULATINHO,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.43,-0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
 FEIJÃO-PRETO,-2.81,0.49,0.0,0.0,0.0,0.0,2.75,0.0,0.0,1.01,0.0,-0.86,0.08,0.0,0.73,0.0,-0.96
 FEIJÃO-MACASSAR (FRADINHO),0.0,0.0,0.0,1.76,0.0,0.0,0.0,2.42,0.13,0.0,0.0,0.0,0.0,0.0,2.17,4.43,1.83
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,-3.18,1.87,-1.5,0.56,-1.62,0.87,-1.53,1.29,5.46,0.54,0.74,-1.36,-4.01,-4.55,-0.9
 FEIJÃO-BRANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35,0.0,2.35
" FARINHAS, FÉCULAS E MASSAS",-0.61,-0.9,2.66,2.22,-0.5,-1.26,0.34,-0.17,8.33,0.54,0.34,0.68,2.46,0.42,-0.76,-0.34,1.15
 FARINHA DE ARROZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17,1.18,0.0,0.0,0.0,0.0,0.0,1.21,2.77,1.56
 MACARRÃO,-0.09,-0.26,2.44,1.23,-0.49,-0.44,3.07,1.16,5.0,2.24,-0.5,0.11,3.46,1.14,2.42,-1.86,1.1
 FUBÁ DE MILHO,0.0,0.0,-1.29,-2.66,0.0,0.0,0.0,0.0,4.27,0.0,7.85,0.0,0.0,0.0,3.44,0.5,0.34
 AMIDO DE MILHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1
 FLOCOS DE MILHO,0.0,0.0,0.0,7.27,0.0,-1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.26,5.02
 FARINHA DE TRIGO,-1.09,-2.28,1.03,0.0,-0.48,0.0,0.31,0.0,0.0,-1.51,-0.56,3.78,1.89,0.0,0.0,0.0,-0.74
 FARINHA VITAMINADA,0.0,0.0,0.0,7.5,0.0,0.0,0.0,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,4.62
 FARINHA DE MANDIOCA,0.19,0.0,0.0,4.01,0.0,-0.29,-0.5,-4.28,11.62,0.0,0.0,0.8,0.0,0.07,-2.62,-1.06,2.5
 MASSA SEMIPREPARADA,-2.47,-0.38,6.79,0.0,-0.54,-2.86,0.0,0.0,0.0,-0.31,-0.79,-0.47,1.01,0.0,0.0,-1.95,0.28
" TUBÉRCULOS, RAÍZES E LEGUMES",21.24,15.43,23.95,17.54,12.23,21.39,23.32,17.89,15.31,15.89,16.6,30.33,12.47,20.37,23.73,8.05,17.17
 BATATA-INGLESA,15.8,11.53,26.9,20.1,8.42,12.77,11.02,25.39,11.59,13.62,13.48,40.96,18.44,9.31,24.19,10.86,14.69
 INHAME,0.0,0.0,0.0,9.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.41,8.61
 MANDIOCA (AIPIM),0.0,-3.17,0.0,3.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.79,-3.05,0.0,0.0,1.74,0.16
 ABÓBORA,-6.5,0.0,2.1,0.0,0.0,5.01,0.0,0.0,0.0,0.0,4.85,0.0,0.0,0.0,0.0,0.0,-0.65
 PIMENTÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.61
 QUIABO,0.0,0.0,11.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.44
 TOMATE,28.84,17.39,29.05,17.93,22.2,36.82,31.64,7.02,14.0,15.22,23.58,37.38,12.14,24.03,23.64,12.52,22.25
 CEBOLA,37.89,26.36,30.48,38.44,11.31,20.45,19.31,54.87,42.94,36.86,22.68,18.64,23.38,20.77,23.77,8.38,24.45
 CENOURA,3.8,0.0,3.95,0.0,-5.14,-2.88,0.0,1.07,0.43,-3.05,-10.03,-2.62,0.0,0.0,0.0,-0.55,-1.67
 MANDIOQUINHA (BATATA-BAROA),0.0,0.0,0.0,0.0,-3.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.68
