"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - JULHO DE 2018",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.59,0.05,0.18,-0.07,0.63,0.58,0,-0.09,0.24,0.28,-0.05,0.19,-0.37,0.51,-0.28,-0.06,0.33
 ALIMENTAÇÃO E BEBIDAS,-0.44,-0.87,-0.42,-0.7,1.07,-0.63,-0.47,-0.54,-0.78,-0.67,0.3,-0.64,-1.55,0.27,-1.72,-0.85,-0.12
 ALIMENTAÇÃO NO DOMICÍLIO,-1.39,-0.99,-0.69,-0.77,0.67,-1.7,-0.67,-1.18,-1.1,-1.33,-0.28,-0.95,-1.9,0.11,-1.64,-1.56,-0.59
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",0.79,1.39,-0.32,0.78,1.48,-0.91,3.28,0.21,0.41,1.46,-0.98,3.19,-1.91,0.46,-0.22,1.08,0.81
 ARROZ,3.12,1.85,2.15,1.3,2.67,1.23,4.78,0.95,0.35,2.15,0.03,3.07,-0.22,0.41,-0.15,2.24,2.02
 FEIJÃO-MULATINHO,       -,       -,       -,0,       -,       -,       -,1.56,3.15,       -,       -,       -,       -,       -,       -,       -,1.22
 FEIJÃO-PRETO,-2.96,0.03,       -,       -,       -,       -,1.52,       -,       -,-0.75,       -,4.38,-0.31,       -,6.68,       -,-1.02
 FEIJÃO-MACASSAR (FRADINHO),       -,       -,       -,2.46,       -,       -,       -,-1.97,-0.64,       -,       -,       -,       -,       -,-0.22,-0.99,-0.65
 FEIJÃO-CARIOCA (RAJADO),       -,       -,-7.8,-1.33,-1.74,-5.24,-0.46,-0.09,-0.04,0.23,-3.86,0.8,-8.58,0.59,-0.52,-0.07,-2.67
 FEIJÃO-BRANCO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-6.48,       -,-6.48
" FARINHAS, FÉCULAS E MASSAS",2.02,1.57,1.84,-1.47,3.39,1.35,-0.74,0.64,0.79,1.88,2.31,0.33,2.29,1.82,-3.13,0.38,1.11
 FARINHA DE ARROZ,       -,       -,       -,       -,       -,       -,       -,0.51,-0.07,       -,       -,       -,       -,       -,-0.58,-1.7,-0.1
 MACARRÃO,1.57,-0.06,2.89,-1.86,1.21,1.64,2.83,0.21,1.66,-0.16,3.2,1.93,2.58,3.6,-0.06,1.08,1.24
 FUBÁ DE MILHO,       -,       -,-0.4,-2.22,       -,       -,       -,       -,2.99,       -,-4.8,       -,       -,       -,-3.27,-0.22,-0.86
 AMIDO DE MILHO,       -,       -,       -,       -,       -,       -,       -,-0.41,       -,       -,       -,       -,       -,       -,       -,       -,-0.41
 FLOCOS DE MILHO,       -,       -,       -,3.63,       -,-0.73,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.4,2.59
 FARINHA DE TRIGO,3.22,5.02,4.15,       -,4.12,       -,2.38,       -,       -,2.78,2.73,6.38,3.75,       -,       -,       -,3.86
 FARINHA VITAMINADA,       -,       -,       -,3.86,       -,       -,       -,1.68,       -,       -,       -,       -,       -,       -,       -,2.1,2.73
 FARINHA DE MANDIOCA,0.27,       -,       -,-3.85,       -,-0.76,-1.89,1.28,0.39,       -,       -,-4.06,       -,1.05,-4.14,0.17,-1.13
 MASSA SEMIPREPARADA,3.91,0.68,-0.42,       -,7.43,2.97,       -,       -,       -,5.9,3.99,-1.73,0,       -,       -,0.89,3.82
" TUBÉRCULOS, RAÍZES E LEGUMES",-32.91,-32.49,-26.47,-25.72,-19.28,-26.02,-25.69,-39.73,-27.08,-35.97,-28.94,-31.57,-32.56,-31.78,-29.8,-21.83,-27.5
 BATATA-INGLESA,-28.4,-25.55,-29.29,-37.66,-22.25,-20.28,-22.7,-38.75,-29.77,-31.87,-34.94,-40.96,-38.01,-23.76,-27.05,-24.15,-28.14
 INHAME,       -,       -,       -,-9.81,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-4.79,-9.05
 MANDIOCA (AIPIM),       -,-9.14,       -,-1.62,       -,       -,       -,       -,       -,       -,       -,-4.84,-9.25,       -,       -,-3.76,-5.43
 ABÓBORA,-17.33,       -,-12.16,       -,       -,-4.33,       -,       -,       -,       -,-5.14,       -,       -,       -,       -,       -,-12.3
 PIMENTÃO,       -,       -,       -,       -,       -,       -,       -,       -,-23.04,       -,       -,       -,       -,       -,       -,       -,-23.04
 QUIABO,       -,       -,-6.09,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-6.09
 TOMATE,-37.83,-35.18,-23.63,-19.44,-20.75,-30.41,-28.43,-39.88,-23.69,-32.38,-28.32,-29.8,-31.34,-28.79,-29.41,-26.49,-27.65
 CEBOLA,-42.39,-42.18,-38.31,-40.53,-19.33,-35.67,-24.64,-44.9,-31.15,-47.72,-38.17,-26,-41.38,-38.37,-31.16,-26.47,-33.5
 CENOURA,-20.36,       -,-17.41,       -,-8.92,-16.59,       -,-32,-24.03,-23.3,-16.32,-20.16,       -,       -,       -,-20.73,-17.43
 MANDIOQUINHA (BATATA-BAROA),       -,       -,       -,       -,-10.14,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-10.14
 AÇÚCARES E DERIVADOS,-0.38,1.88,1.96,0.96,2.31,0.52,2.6,1.9,1.81,0.87,1.52,-2.46,-0.68,-0.19,0.46,2.12,1.47
 AÇÚCAR REFINADO,-1.24,6.1,       -,       -,7.81,       -,1.17,3.1,       -,4.48,       -,       -,       -,2.42,-1.21,-0.45,3.4
 AÇÚCAR CRISTAL,-2.73,4.21,5.45,1.45,-1.08,0.89,4.77,1.63,2.81,2.68,3.49,-3.87,-1.36,-0.87,1.4,4.06,1.92
 BALAS,       -,-1.12,       -,       -,       -,       -,       -,       -,       -,0.57,       -,       -,       -,       -,       -,       -,-0.22
 CHOCOLATE EM BARRA E BOMBOM,1.43,3.06,0.52,2.58,2.11,-0.1,0.26,       -,-1.41,-3.23,-0.09,1.26,-0.4,0.3,       -,0.2,1.22
 SORVETE,-1.68,-1.67,-3.9,1.62,0.79,1.55,       -,1.93,-2.21,0.6,-2.57,1.14,1.98,       -,0.37,-2.37,-0.41
 CHOCOLATE E ACHOCOLATADO EM PÓ,2.75,0.06,-0.61,-1.62,2.96,-0.99,-0.52,-0.28,1.1,1.12,0.42,-1.93,-2.32,-0.19,1.38,1.82,1.27
 DOCE DE FRUTAS EM PASTA,       -,       -,       -,-1.06,       -,0.59,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.21
 HORTALIÇAS E VERDURAS,-7.73,-16.27,-4.95,-0.68,-5.46,-4.49,-8.79,0.86,-9.28,-8.11,-5.58,-6.52,-11.08,-8.42,-2.2,-7.77,-6.91
 ALFACE,-10.09,-15.15,-3.48,3.2,-4.27,0.57,-12.14,4.85,-7.13,-5.69,-0.69,-2.42,-11.25,-15.47,-1.91,-3.29,-6.0
 COENTRO,       -,       -,       -,-0.29,       -,       -,       -,       -,-3.38,       -,       -,       -,       -,       -,       -,-9.1,-2.44
 COUVE,-3.03,       -,-3.62,       -,-5.77,-1.64,       -,       -,       -,-8.17,-3.66,-8.2,       -,       -,       -,       -,-4.8
 COUVE-FLOR,-13.94,-26.53,       -,       -,       -,       -,       -,       -,       -,       -,       -,-7.12,       -,       -,       -,       -,-19.39
 REPOLHO,-12.28,-8.94,-16.49,-9.65,-9.61,-17.45,-21.55,       -,-24.79,-14.15,-16.56,-9,-19.9,-13.28,       -,-10.18,-14.13
 CHEIRO-VERDE,-3.28,       -,       -,       -,-6.81,-8.77,-3.01,0.24,-3.05,       -,       -,-8.28,-1.92,-1.15,-2.36,       -,-3.64
 AGRIÃO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.47,       -,       -,       -,-0.47
