"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - JUNHO DE 2018",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,1.2,1.43,1.86,1.47,1.11,1.2,0.69,1.15,0.86,1.56,1.25,1.29,0.87,0.77,1.3,1.31,1.26
 ALIMENTAÇÃO E BEBIDAS,2.24,1.94,2.41,1.99,2.11,2.04,0.81,2.1,1.43,2.87,1.51,2.55,1.48,1.15,1.84,2.4,2.03
 ALIMENTAÇÃO NO DOMICÍLIO,3.53,2.71,3.6,2.66,3.71,3.13,1.37,2.7,1.93,3.97,2.22,3.84,2.32,2.12,2.49,3.6,3.09
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",4.88,3.61,3.93,-1,3.58,3.53,2.05,1.42,0.9,1.69,0.92,4.7,1.02,1.22,0.84,2.27,2.66
 ARROZ,7.75,4.12,4.52,-2.43,3.32,2.22,2.22,1.52,1.77,1.1,2.21,4.71,0.19,0.39,0.72,3.2,3.02
 FEIJÃO-MULATINHO,       -,       -,       -,-2.49,       -,       -,       -,-1.25,0,       -,       -,       -,       -,       -,       -,       -,-1.54
 FEIJÃO-PRETO,0.58,2.14,       -,       -,       -,       -,-1.72,       -,       -,4.54,       -,5.95,3.14,       -,2.18,       -,1.46
 FEIJÃO-MACASSAR (FRADINHO),       -,       -,       -,4.91,       -,       -,       -,1.31,-1.86,       -,       -,       -,       -,       -,0.84,-1.62,1.21
 FEIJÃO-CARIOCA (RAJADO),       -,       -,2.19,0.85,4.31,6.28,3.43,5.07,0.75,1.92,-2.6,1.36,3.7,3.5,2.81,1.9,2.63
 FEIJÃO-BRANCO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.14,       -,-0.14
" FARINHAS, FÉCULAS E MASSAS",1.57,3.93,1.78,0.14,1.88,2.2,-0.28,-2.08,-0.02,3.67,3.76,4.63,2.76,-0.02,0.94,0.61,1.25
 FARINHA DE ARROZ,       -,       -,       -,       -,       -,       -,       -,-1.58,0.61,       -,       -,       -,       -,       -,1.78,1.43,0.23
 MACARRÃO,0.7,0.69,2.43,2.21,1.21,3.03,1.28,0.06,0.2,1.23,2.66,5.75,1.65,-0.24,0.15,-0.87,1.28
 FUBÁ DE MILHO,       -,       -,-0.77,-1.03,       -,       -,       -,       -,-2.02,       -,4.8,       -,       -,       -,5.35,1.45,-0.12
 AMIDO DE MILHO,       -,       -,       -,       -,       -,       -,       -,0.28,       -,       -,       -,       -,       -,       -,       -,       -,0.28
 FLOCOS DE MILHO,       -,       -,       -,-2.51,       -,1.18,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.54,-1.63
 FARINHA DE TRIGO,6.09,10.49,3.45,       -,4.68,       -,2.37,       -,       -,8.19,7.39,13.34,6.6,       -,       -,       -,6.68
 FARINHA VITAMINADA,       -,       -,       -,1.32,       -,       -,       -,0.61,       -,       -,       -,       -,       -,       -,       -,0.7,0.95
 FARINHA DE MANDIOCA,-0.39,       -,       -,-0.85,       -,1.8,-0.84,-6.19,0.02,       -,       -,0.84,       -,0.07,0.46,-0.09,-0.73
 MASSA SEMIPREPARADA,3.11,2.97,1.05,       -,1.46,1.51,       -,       -,       -,2.51,3.05,1.89,0.88,       -,       -,6.8,2.03
" TUBÉRCULOS, RAÍZES E LEGUMES",-2.34,20.96,-2.98,13.04,5.35,2.5,14.18,11.21,-4.65,6.92,-0.4,-1.46,7.55,13.53,10.95,15.02,5.08
 BATATA-INGLESA,3.9,40.82,9.82,38.82,13,20.63,35.87,23.78,11.49,15.68,14.06,21.62,21.85,27.61,17.62,28.29,17.16
 INHAME,       -,       -,       -,2.88,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.54,2.35
 MANDIOCA (AIPIM),       -,-3.09,       -,-1.39,       -,       -,       -,       -,       -,       -,       -,5.58,7.24,       -,       -,4.96,0.48
 ABÓBORA,22.11,       -,2.72,       -,       -,-0.99,       -,       -,       -,       -,-2.8,       -,       -,       -,       -,       -,8.01
 PIMENTÃO,       -,       -,       -,       -,       -,       -,       -,       -,-8.32,       -,       -,       -,       -,       -,       -,       -,-8.32
 QUIABO,       -,       -,-5.81,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-5.81
 TOMATE,-16.76,12.91,-11.68,23.06,-0.96,-4.27,16.39,15.78,2.07,4.24,-7.64,-24.75,3.68,6.26,17.29,29.63,0.94
 CEBOLA,7.04,12.4,-2.52,-2.28,9.59,-1.97,1.74,-5.8,-21.39,-0.03,-4.1,-5.46,0.97,15.13,1.05,1.9,1.42
 CENOURA,-8.56,       -,-19.69,       -,-6,0.84,       -,9.85,-1.17,14.26,3.12,0.88,       -,       -,       -,8.43,-4.31
 MANDIOQUINHA (BATATA-BAROA),       -,       -,       -,       -,14.47,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,14.46
 AÇÚCARES E DERIVADOS,3.88,-0.69,1.13,0.52,1.34,3.19,1.17,0.71,-0.01,0.17,2.34,6.15,1.33,1.38,1.92,2.48,1.31
 AÇÚCAR REFINADO,6.68,1.89,       -,       -,1.13,       -,-1.84,-0.16,       -,1.98,       -,       -,       -,5.98,1.69,5.11,2.45
 AÇÚCAR CRISTAL,5.85,-4.67,2.02,0.34,4.9,5.71,3.18,2.05,-0.84,-1.68,4.13,10.67,4.52,0.53,2.48,1.58,2.16
 BALAS,       -,-2.9,       -,       -,       -,       -,       -,       -,       -,0.23,       -,       -,       -,       -,       -,       -,-1.24
 CHOCOLATE EM BARRA E BOMBOM,0.75,0.15,0.17,3.21,0.76,2.22,-0.36,       -,4.32,0.69,-0.1,-1.17,-2.34,2.84,       -,4.56,0.69
 SORVETE,2.64,1.42,1.97,-1.75,-0.54,-0.47,       -,0.52,1.21,1.15,1.15,0.83,-1.09,       -,2.09,0.92,0.58
 CHOCOLATE E ACHOCOLATADO EM PÓ,0.78,1.03,-1,-0.38,0.89,2.22,0.47,-0.12,0.7,0.16,-0.47,-0.47,-0.11,-0.1,0.62,3.83,0.48
 DOCE DE FRUTAS EM PASTA,       -,       -,       -,2.57,       -,-0.61,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.91
 HORTALIÇAS E VERDURAS,-3.22,13.94,-4.15,-4.5,-4.81,0.4,8.08,1.83,4.97,-2.13,-3.61,2.29,1.7,7.54,1.14,14.24,-0.65
 ALFACE,-0.98,15.02,-2.19,-8.64,-7.49,-1.38,8.22,2.46,0.02,-8.24,0.72,1.84,1.39,8.76,-1.02,11.81,-2.75
 COENTRO,       -,       -,       -,-3.54,       -,       -,       -,       -,5.7,       -,       -,       -,       -,       -,       -,17.88,2.02
 COUVE,-2.69,       -,6.06,       -,2.62,-1.07,       -,       -,       -,9.44,1.03,-0.23,       -,       -,       -,       -,2.36
 COUVE-FLOR,-7.69,9.41,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.25,       -,       -,       -,       -,0.43
 REPOLHO,3.55,16.66,-22.28,0.83,0.74,-1.43,13.88,       -,19.83,6.65,-13.87,-10.04,6.27,7.52,       -,8.92,2.92
 CHEIRO-VERDE,-3.25,       -,       -,       -,0.61,6.88,6.2,1.74,-2,       -,       -,13.24,-2.2,6.55,2.29,       -,1.87
 AGRIÃO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.4,       -,       -,       -,-0.4
