"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - ABRIL DE 2020",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.18,-0.05,-0.21,-0.19,-0.37,-0.58,-0.13,-0.12,-0.16,-1.16,-0.53,-0.09,-0.43,-0.51,-0.44,0.15,-0.31
 ALIMENTAÇÃO E BEBIDAS,1.57,2.7,1.46,2.18,1.95,1.46,2.12,1.67,2.34,0.49,1.35,2.3,1.28,0.4,1.65,2.45,1.79
 ALIMENTAÇÃO NO DOMICÍLIO,2.12,3.39,1.57,2.96,2.73,1.43,2.44,2.2,2.61,0.33,1.49,2.85,1.44,0.32,1.8,2.69,2.24
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",4.31,3,7.18,9.43,9.41,4.29,9.95,4.45,8.55,2.07,10.2,6.09,4.23,4.95,4.78,6.33,6.95
 ARROZ,1.08,0.99,6,2.87,4.76,0.92,7.59,4.45,4.64,0.63,6.43,4.59,1.13,0.71,3.36,3.51,3.88
 FEIJÃO-MULATINHO,       -,       -,       -,9.43,       -,       -,       -,       -,19.19,       -,       -,       -,       -,       -,19.2,       -,15.34
 FEIJÃO-PRETO,10.77,9.43,       -,       -,       -,12.14,10.41,       -,       -,10.43,       -,10.42,       -,       -,       -,       -,10.41
 FEIJÃO-MACÁÇAR (FRADINHO),       -,       -,       -,9.43,       -,       -,       -,4.45,       -,       -,       -,       -,       -,       -,       -,       -,5.55
 FEIJÃO-CARIOCA (RAJADO),       -,       -,10.06,20.53,20.93,12.64,17.29,       -,12.7,       -,20.85,       -,17.3,24.11,9.17,10.05,17.29
 MILHO (EM GRÃO),       -,1.01,       -,       -,       -,0.87,       -,       -,       -,1.05,       -,       -,       -,       -,       -,       -,1.01
" FARINHAS, FÉCULAS E MASSAS",0.16,5.16,2.02,0.39,0.67,-0.98,0.5,2.34,2.05,1.09,-0.38,1.77,3.44,0.88,1.59,3.41,1.39
 FARINHA DE ARROZ,       -,       -,       -,0.39,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.39
 MACARRÃO,-2.65,4.57,0.79,-0.55,2.01,1.14,1.15,3.14,1.09,0.1,-0.58,2.6,1.99,1.29,0.97,2.75,1.14
 FUBÁ DE MILHO,       -,       -,       -,0.82,       -,       -,       -,-2.67,       -,       -,       -,       -,       -,       -,3.03,3.23,0.45
 FLOCOS DE MILHO,       -,       -,       -,1.27,       -,-0.46,       -,       -,       -,       -,       -,       -,       -,       -,-0.45,-4.26,0.15
 FARINHA DE TRIGO,       -,8.53,6.54,       -,3.9,       -,       -,       -,3.83,1.4,1.26,4.93,6.8,       -,       -,       -,4.76
 FARINHA DE MANDIOCA,2.38,       -,1.62,0.8,2.65,-2.97,0.39,3.57,2.49,       -,0.86,-2.97,       -,0.71,1.85,6.74,1.53
 MASSA SEMIPREPARADA,2.45,3.8,1.77,       -,-2.02,0.58,0.31,0.65,1.26,0.85,-2.26,3.14,1.69,       -,       -,       -,0.59
 MACARRÃO INSTANTÂNEO,-0.44,       -,       -,       -,0.35,-4.75,       -,       -,       -,4.23,       -,-2.22,5.52,0.93,       -,       -,0.74
" TUBÉRCULOS, RAÍZES E LEGUMES",5.71,15.98,2.1,22.04,13.7,13.37,11.9,18.24,22.2,21.49,8.85,3.43,9.75,-0.08,10.42,15.18,12.82
 BATATA-DOCE,9.38,       -,       -,-2.15,18.63,       -,       -,       -,12.39,       -,-2.41,       -,       -,-7.37,       -,       -,10.98
 BATATA-INGLESA,21.03,13.93,8.1,35.78,26.32,29.42,6.36,25.08,52.86,28.26,21.07,20.64,17.26,12.7,26.58,23.1,22.81
 INHAME,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.99,       -,       -,       -,0.15,-0.49
 MANDIOCA (AIPIM),       -,       -,6.64,8.43,       -,8.44,       -,       -,11.51,       -,       -,       -,8.45,2.29,       -,       -,8.43
 ABOBRINHA,       -,       -,       -,       -,1.09,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.09
 PEPINO,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.34,       -,       -,       -,       -,       -,       -,-0.34
 PIMENTÃO,       -,       -,       -,       -,19.27,1.2,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,16.99
 TOMATE,-20.83,7.35,-14.27,8.48,4.14,-0.19,-0.55,-7.21,-1.67,3.15,-5.74,-18.3,-12.04,-12.07,-2.95,-2.94,-2.95
 CEBOLA,27.19,42.64,44.93,47.96,16.54,42.67,34.83,48.93,36.28,51.39,45.24,48.37,58.95,13.94,32.32,53.3,34.83
 CENOURA,18.73,4.73,0.55,30.14,21.71,22.85,19.91,24.81,42.76,31.68,10.65,16.25,       -,       -,       -,30.57,19.91
 AÇÚCARES E DERIVADOS,-2.34,0.44,-0.79,3.02,0.63,-0.53,2.05,0.29,0.86,-1.89,-0.22,2.74,-1.38,1.37,0.61,1.93,0.05
 AÇÚCAR REFINADO,-1.76,1.72,       -,0.15,5.04,-5.5,1.73,-3.82,1.08,0.92,       -,       -,       -,0.72,-0.46,       -,1.72
 AÇÚCAR CRISTAL,       -,6.4,0.33,5.07,       -,3.37,3.36,4.47,3.84,2.77,5.73,6.34,0.76,3.37,3.79,4.07,3.36
 BALAS,       -,0.58,       -,       -,       -,0.23,       -,       -,       -,-2.39,0.75,       -,0.31,       -,       -,       -,-0.54
