"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - JANEIRO DE 2020",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.05,0.17,0.2,0.3,0.33,-0.12,0.39,0.28,0.34,0.05,0.1,0.29,0.13,-0.21,-0.19,0.39,0.21
 ALIMENTAÇÃO E BEBIDAS,-0.65,0.53,0.6,0.5,0.33,0.05,2.02,0.83,0.94,-0.21,0.02,0.86,-0.42,1.27,0.61,1.54,0.39
 ALIMENTAÇÃO NO DOMICÍLIO,-1.09,0.13,0.7,0.74,-0.02,0.01,1.87,1.13,0.84,-0.44,-0.08,0.55,-1.02,1.08,0.5,1.63,0.2
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-3.81,3.22,0.36,0.99,1.34,-0.17,0.0,2.46,1.58,1.21,0.21,1.0,-0.77,3.9,2.66,3.79,0.75
 ARROZ,-2.51,3.08,1.53,0.35,2.62,0.55,1.91,0.61,1.33,2.1,1.24,1.5,-0.67,2.42,0.24,0.92,1.31
 FEIJÃO-MULATINHO,0.0,0.0,0.0,3.96,0.0,0.0,0.0,0.0,-0.33,0.0,0.0,0.0,0.0,0.0,20.98,0.0,4.5
 FEIJÃO-PRETO,-6.33,3.57,0.0,0.0,0.0,-0.99,-1.06,0.0,0.0,-0.51,0.0,-0.39,0.0,0.0,0.0,0.0,-2.68
 FEIJÃO-MACÁÇAR (FRADINHO),0.0,0.0,0.0,-3.3,0.0,0.0,0.0,8.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.39
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,-2.4,2.15,-1.4,-2.04,-4.98,0.0,3.06,0.0,-2.31,0.0,-1.17,10.55,20.64,7.56,-0.7
 MILHO (EM GRÃO),0.0,3.32,0.0,0.0,0.0,0.81,0.0,0.0,0.0,-2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.2
" FARINHAS, FÉCULAS E MASSAS",1.0,0.25,2.0,1.38,0.63,-0.94,3.7,-0.24,1.1,-0.46,0.56,1.37,1.02,2.48,0.49,1.94,0.9
 FARINHA DE ARROZ,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25
 MACARRÃO,-0.48,-1.05,2.19,-2.22,-0.11,-0.9,0.96,-2.55,1.97,-1.63,1.9,1.08,0.98,0.79,-1.94,0.37,-0.18
 FUBÁ DE MILHO,0.0,0.0,0.0,0.72,0.0,0.0,0.0,-0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.53,0.43
 FLOCOS DE MILHO,0.0,0.0,0.0,1.14,0.0,-2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.74,4.44,-0.03
 FARINHA DE TRIGO,0.0,0.71,0.8,0.0,0.0,0.0,0.0,0.0,0.51,-0.63,1.35,0.13,2.71,0.0,0.0,0.0,0.3
 FARINHA DE MANDIOCA,4.5,0.0,3.21,8.54,-3.55,-1.49,5.11,2.06,1.04,0.0,-1.36,5.86,0.0,3.5,2.14,1.95,2.51
 MASSA SEMIPREPARADA,1.77,0.96,1.66,0.0,3.49,-0.48,-1.69,1.63,-0.69,1.7,0.54,0.86,0.05,0.0,0.0,0.0,1.85
 MACARRÃO INSTANTÂNEO,-0.46,0.0,0.0,0.0,-1.77,1.46,0.0,0.0,0.0,-2.92,0.0,0.64,0.73,1.08,0.0,0.0,-1.32
" TUBÉRCULOS, RAÍZES E LEGUMES",9.7,-5.13,24.24,10.21,8.29,1.74,5.39,13.02,-0.04,3.22,12.31,12.57,-1.63,-0.13,4.1,10.16,7.81
 BATATA-DOCE,21.02,0.0,0.0,4.31,0.81,0.0,0.0,0.0,0.12,0.0,5.03,0.0,0.0,0.89,0.0,0.0,4.67
 BATATA-INGLESA,10.11,-2.39,28.2,17.71,10.33,9.66,10.35,28.37,0.81,8.07,10.9,11.1,2.97,3.99,6.94,16.12,11.02
 INHAME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.61,0.0,0.0,0.0,4.47,1.65
 MANDIOCA (AIPIM),0.0,0.0,4.0,-3.5,0.0,-7.99,0.0,0.0,-4.37,0.0,0.0,0.0,-6.05,0.29,0.0,0.0,-2.43
 ABOBRINHA,0.0,0.0,0.0,0.0,17.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.39
 PEPINO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,10.1
 PIMENTÃO,0.0,0.0,0.0,0.0,-8.68,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.58
 TOMATE,17.06,-4.24,41.15,19.19,14.3,2.37,7.2,11.26,9.25,-0.44,19.4,24.4,5.18,3.88,6.3,20.16,13.72
 CEBOLA,-13.69,-14.53,-11.87,3.97,-0.77,-7.3,-4.72,-0.1,-11.38,-6.69,-1.93,-2.64,-16.29,-7.23,-1.56,-4.72,-6.06
 CENOURA,29.56,0.13,30.99,9.16,12.19,3.6,11.23,12.78,5.17,13.59,12.11,12.57,0.0,0.0,0.0,4.85,13.92
 AÇÚCARES E DERIVADOS,-0.58,0.68,1.21,-0.34,0.51,1.06,1.93,2.57,1.78,0.23,0.91,1.19,1.74,0.33,3.27,2.33,0.74
 AÇÚCAR REFINADO,-1.78,2.62,0.0,-2.36,0.15,-1.67,1.52,4.51,2.22,0.99,0.0,0.0,0.0,1.44,4.45,0.0,0.44
 AÇÚCAR CRISTAL,0.0,3.68,1.62,-0.41,0.0,3.19,3.38,3.05,4.29,1.02,2.76,1.38,3.53,0.93,2.36,2.32,2.38
 BALAS,0.0,-2.62,0.0,0.0,0.0,1.27,0.0,0.0,0.0,-1.04,-0.41,0.0,0.86,0.0,0.0,0.0,-1.22
 CHOCOLATE EM BARRA E BOMBOM,1.83,0.34,1.24,-0.13,1.38,0.62,1.38,2.19,-2.32,-1.08,-0.68,3.05,0.46,-2.07,2.77,5.05,0.82
 SORVETE,-1.05,0.82,0.66,-0.28,-0.87,1.13,0.32,0.12,-0.41,0.44,-0.04,-0.82,1.81,0.0,0.0,3.31,-0.18
 CHOCOLATE E ACHOCOLATADO EM PÓ,-0.45,0.21,0.98,1.07,0.91,0.78,1.77,0.81,1.18,2.79,1.0,-0.24,0.08,-0.36,2.14,0.01,0.88
 DOCE DE FRUTAS EM PASTA,0.0,0.0,0.0,-0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.51
 AÇÚCAR DEMERARA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17
 HORTALIÇAS E VERDURAS,3.98,1.82,4.6,1.85,2.15,3.66,1.97,1.79,0.12,4.25,1.23,-0.54,5.39,1.6,1.51,0.4,2.52
 ALFACE,2.29,2.4,6.13,-1.43,2.88,1.92,3.57,0.26,-0.08,9.71,-0.36,2.36,4.93,3.58,-1.8,-3.42,3.24
 COENTRO,0.0,0.0,0.0,4.03,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,4.33,2.26
 COUVE,2.11,0.0,4.86,0.0,1.92,0.0,0.0,0.0,0.0,0.0,0.0,-1.26,0.0,1.8,0.0,-3.2,2.32
 COUVE-FLOR,7.53,0.0,0.0,0.0,0.0,5.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.13
 REPOLHO,0.0,3.27,0.0,0.0,5.16,0.0,0.0,0.0,4.79,1.19,8.29,0.0,10.22,0.0,3.33,0.0,4.37
 CHEIRO-VERDE,7.45,4.07,2.4,1.76,1.68,4.86,1.13,2.29,-2.07,-3.46,2.19,-3.14,3.58,0.07,2.42,0.0,1.72
 BRÓCOLIS,2.5,-1.52,-1.59,0.0,-1.03,4.94,3.59,0.0,0.0,1.94,0.0,-2.56,0.0,0.0,0.0,0.0,0.03
 FRUTAS,0.24,-0.2,5.12,1.53,0.44,-2.07,3.9,7.7,6.18,4.56,-0.34,1.15,-5.07,2.72,1.64,0.86,1.87
 BANANA-DA-TERRA,0.0,0.0,0.0,2.46,0.0,0.0,0.0,0.0,1.22,0.0,0.0,5.88,0.0,9.41,0.0,0.0,2.19
 ABACAXI,2.76,-1.56,0.0,-2.78,0.0,0.0,2.65,0.0,0.0,0.0,-8.07,2.53,-2.78,0.0,0.0,0.4,-1.19
 ABACATE,0.0,0.0,0.0,0.0,0.0,0.0,6.95,0.0,0.0,0.0,0.0,0.0,0.0,-3.08,0.0,0.0,5.4
 BANANA-D'ÁGUA,-4.68,-4.22,-9.14,0.0,-1.04,1.47,0.0,0.0,0.0,4.76,0.0,0.0,-11.63,0.0,3.58,0.0,-1.9
 BANANA-MAÇÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.08,0.0,2.32,0.0,0.0,0.0,10.47
 BANANA-PRATA,5.25,10.85,12.31,1.61,7.47,5.82,3.74,12.43,9.1,20.57,8.68,6.32,0.0,6.6,-1.75,0.8,7.87
 LARANJA-BAÍA,0.0,-8.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.07
 LARANJA-LIMA,0.0,0.0,6.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.15
 LIMÃO,-27.58,0.0,0.0,0.0,-30.76,-32.97,0.0,0.0,0.0,0.0,-28.77,-36.04,0.0,-22.37,0.0,0.0,-30.35
 MAÇÃ,5.26,3.29,6.32,1.69,0.23,-5.26,4.42,4.26,7.03,5.28,-1.38,0.96,3.59,4.22,3.75,-0.83,2.95
 MAMÃO,-1.01,-4.76,-10.1,1.99,1.83,-10.85,0.0,3.35,-1.3,-8.18,-2.0,-4.0,-15.23,-1.52,0.0,-7.89,-2.2
 MANGA,-0.11,-16.05,10.33,0.0,5.99,1.3,0.0,9.74,-1.41,5.53,0.0,0.13,0.0,0.0,0.0,2.19,3.14
 MARACUJÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.46,36.24,0.0,0.0,0.0,0.0,0.0,0.0,13.15,24.56
 MELANCIA,0.0,0.0,-3.26,3.09,0.0,-1.07,3.0,0.0,-4.58,-9.48,-0.79,0.0,-10.71,0.21,2.68,0.0,-3.24
 MELÃO,-6.3,0.0,0.0,-3.53,0.0,-2.24,-1.58,0.0,0.0,-0.7,0.0,0.0,0.0,0.0,-1.38,0.0,-2.89
 PERA,0.0,0.0,0.0,0.0,6.54,0.0,0.0,0.0,0.0,0.0,-1.94,1.87,0.0,0.0,0.0,0.0,5.38
 TANGERINA,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,4.56,0.0,0.0,0.0,0.0,0.0,0.0,1.37
 UVA,-0.24,3.81,7.91,2.72,0.14,3.79,0.97,2.86,14.44,3.32,-4.81,6.76,11.19,6.53,5.11,1.39,2.88
 LARANJA-PERA,4.8,0.0,7.27,4.24,6.63,1.5,6.79,2.24,0.41,21.27,3.55,-0.56,0.33,4.91,8.38,-9.81,6.26
 MORANGO,0.0,-1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.57
 GOIABA,0.0,0.0,0.0,0.0,0.0,0.0,5.96,2.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.59,4.05
 CARNES,-8.48,-1.05,-5.63,-2.51,-4.8,-2.68,-3.49,-3.59,-0.73,-5.01,-3.41,-3.45,-3.01,0.51,-2.55,0.61,-4.03
 FÍGADO,0.0,0.0,0.0,3.88,0.0,0.0,3.42,-0.37,-0.66,0.0,0.0,0.0,0.0,0.0,4.68,0.0,1.76
 CARNE DE PORCO,-0.51,3.83,2.53,8.57,-1.86,0.67,9.25,7.2,1.65,0.44,4.62,6.08,3.67,10.1,9.88,3.21,1.66
 CARNE DE CARNEIRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.73
 CUPIM,0.0,0.0,0.0,1.44,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.0,0.0,0.0,0.0,0.0,1.43
 CONTRAFILÉ,-8.83,3.12,-10.47,1.26,-6.38,-3.82,-5.81,-10.0,-2.12,-0.56,-4.25,-7.9,-5.95,1.39,-2.29,0.68,-5.09
 FILÉ-MIGNON,-13.74,0.0,0.0,0.0,0.0,0.0,-7.56,0.0,0.0,-5.05,0.0,0.0,0.0,-0.35,0.0,0.0,-9.42
 CHÃ DE DENTRO,-7.53,-6.61,-5.68,-4.09,-7.81,-4.04,-7.51,-8.41,0.97,-13.91,-4.92,-9.44,-5.7,-1.15,-11.65,-3.19,-6.83
 ALCATRA,-9.51,-3.82,-10.66,-5.2,-2.14,-6.71,-7.43,-5.47,-2.12,-6.68,-5.73,-5.93,-5.76,-0.33,-5.42,-0.53,-5.89
 PATINHO,-8.12,0.0,-7.83,-0.71,-8.79,0.0,-7.17,-6.23,0.0,-15.15,-3.43,-8.25,-4.68,-0.21,-5.85,-2.56,-8.32
 LAGARTO REDONDO,0.0,0.0,0.0,0.0,0.0,0.0,-3.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.94
 LAGARTO COMUM,0.0,-1.61,0.0,0.0,-6.73,0.0,0.0,0.0,2.7,0.0,-4.06,0.0,-8.94,-0.96,0.0,0.0,-4.34
 MÚSCULO,-5.82,0.21,-6.35,-2.95,1.32,0.0,-0.82,0.0,-0.52,-3.34,-5.68,0.0,-3.9,-0.14,-6.17,2.53,-1.89
 PÁ,0.0,-4.18,-11.0,0.32,-6.22,0.0,0.64,0.0,0.0,0.0,0.0,-3.03,-4.5,-0.58,2.3,-0.86,-4.71
 ACÉM,-15.37,-2.98,-10.5,-2.83,-5.81,0.03,-1.7,-2.86,-2.42,-12.01,-6.2,-3.58,-2.34,0.51,3.7,2.46,-6.52
 PEITO,0.0,0.0,0.0,0.0,0.0,0.0,-0.08,0.0,0.0,0.0,0.0,0.0,-5.64,0.67,5.91,2.74,0.08
 CAPA DE FILÉ,0.0,0.0,0.0,0.0,0.0,0.0,-0.68,0.0,0.57,7.69,0.0,-5.79,0.02,0.51,0.0,0.0,1.45
 COSTELA,-1.99,0.98,-5.5,-7.26,1.03,-0.77,-0.67,-3.63,-2.35,-1.38,-5.41,5.12,1.83,-0.85,-5.85,1.43,-1.31
 PICANHA,0.0,-2.66,-1.27,0.0,0.0,-0.68,0.0,-0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.51
 PESCADOS,5.96,0.48,1.62,2.51,2.12,1.49,9.69,-0.23,3.89,-0.25,-0.45,4.59,5.01,2.49,-0.03,-0.49,3.39
 PEIXE-ANCHOVA,0.0,0.0,0.0,2.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.51
 PEIXE-CORVINA,13.4,0.0,0.0,6.79,0.0,0.0,0.0,0.0,7.81,0.0,0.0,0.0,0.0,0.0,3.22,0.51,9.24
 PEIXE-TAINHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,2.5
