"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - MARÇO DE 2020",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.46,-0.32,0.05,0.31,0.09,-0.22,-0.16,0.21,0.17,0.13,-0.74,0.12,0.56,0.01,0.37,0.41,0.07
 ALIMENTAÇÃO E BEBIDAS,1.53,0.58,0.76,1.72,1.38,0.97,-0.06,1.16,0.59,1.63,0.38,1.78,1.44,0.29,1.45,2.34,1.13
 ALIMENTAÇÃO NO DOMICÍLIO,1.76,0.35,0.77,2.21,1.85,1.17,0.22,1.33,1.15,2.03,0.21,2.3,1.89,0.6,1.58,3.32,1.4
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",3.42,-0.45,1.31,3.54,0.44,0.19,-0.76,3.76,0.51,1.22,0.16,0.38,2.56,0.41,2.49,-0.24,1.19
 ARROZ,3.41,0.23,1.32,1.28,1.95,1.1,-1.45,2.57,1.79,1.37,0.58,0.04,2.26,0.38,2.56,1.19,1.6
 FEIJÃO-MULATINHO,       -,       -,       -,10.55,       -,       -,       -,       -,2.07,       -,       -,       -,       -,       -,5.27,       -,5.86
 FEIJÃO-PRETO,3.44,-2.65,       -,       -,       -,1.24,0.85,       -,       -,0.1,       -,1.36,       -,       -,       -,       -,1.24
 FEIJÃO-MACÁÇAR (FRADINHO),       -,       -,       -,4.13,       -,       -,       -,7.22,       -,       -,       -,       -,       -,       -,       -,       -,6.52
 FEIJÃO-CARIOCA (RAJADO),       -,       -,1.29,3.52,-3.13,-2.16,0.61,       -,-3.09,       -,-1.02,       -,3.85,0.55,-0.87,-2.06,-1.29
 MILHO (EM GRÃO),       -,0.5,       -,       -,       -,-0.86,       -,       -,       -,1.64,       -,       -,       -,       -,       -,       -,0.88
" FARINHAS, FÉCULAS E MASSAS",1.54,1.52,-0.07,0.42,0.96,0.07,-0.5,0,1.32,-0.13,-0.73,0.53,2.19,1.24,2.73,1.17,0.7
 FARINHA DE ARROZ,       -,       -,       -,4.78,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.78
 MACARRÃO,3.86,3.05,-1.63,-1.42,-0.5,-3.37,-0.62,-0.19,-2.62,0.43,-3.22,0.74,4.21,-1.06,-2.85,0.1,0.02
 FUBÁ DE MILHO,       -,       -,       -,1.57,       -,       -,       -,1.3,       -,       -,       -,       -,       -,       -,2.09,0.24,1.47
 FLOCOS DE MILHO,       -,       -,       -,1.37,       -,-1.26,       -,       -,       -,       -,       -,       -,       -,       -,4.48,1.06,1.14
