"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - AGOSTO DE 2020",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,-0.13,0.33,0.21,0.46,0.31,0.58,-0.04,-0.23,0.13,0.2,0.66,-0.03,1.04,0.54,0.38,-0.3,0.24
 ALIMENTAÇÃO E BEBIDAS,0.04,0.1,1.15,0.45,1.19,0.95,0.05,0.2,-0.19,1.4,1.46,1.72,2.31,1.38,-0.06,-0.15,0.78
 ALIMENTAÇÃO NO DOMICÍLIO,0.27,0.16,1.64,0.02,1.99,1.63,0.41,0.38,-0.14,1.69,1.68,2.19,2.84,1.97,-0.05,-0.25,1.15
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",2.39,0.84,-0.89,-0.39,0.78,2.22,-2.01,2.83,0.99,4.34,-1.06,1.83,0.67,2.47,1.55,-0.49,0.91
 ARROZ,3.25,2.6,3.84,3.43,2.15,6.31,0.89,2.83,5.55,5.69,2.1,3.11,4.74,3.07,2.06,3.6,3.08
 FEIJÃO-MULATINHO,0.0,0.0,0.0,-0.39,0.0,0.0,0.0,0.0,-1.86,0.0,0.0,0.0,0.0,0.0,-2.25,0.0,-1.39
 FEIJÃO-PRETO,0.93,-2.27,0.0,0.0,0.0,-3.33,-2.87,0.0,0.0,-0.33,0.0,-1.53,0.0,0.0,0.0,0.0,-0.45
 FEIJÃO-MACÁÇAR (FRADINHO),0.0,0.0,0.0,0.29,0.0,0.0,0.0,2.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,-12.21,-6.08,-2.09,-4.95,-10.67,0.0,-7.24,0.0,-9.06,0.0,-16.47,-0.06,-0.47,-5.16,-5.85
 MILHO (EM GRÃO),0.0,-2.94,0.0,0.0,0.0,-1.73,0.0,0.0,0.0,2.57,0.0,0.0,0.0,0.0,0.0,0.0,-0.06
" FARINHAS, FÉCULAS E MASSAS",-1.25,-0.42,0.28,0.29,-0.46,-0.89,-1.76,-0.25,-0.93,-1.3,0.4,0.2,1.93,-0.08,1.49,-1.17,-0.53
 FARINHA DE ARROZ,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29
 MACARRÃO,-0.59,-1.71,0.96,1.77,-1.31,0.1,0.82,-0.2,-1.68,-1.66,2.66,-1.72,5.59,-0.02,4.06,-1.14,-0.44
 FUBÁ DE MILHO,0.0,0.0,0.0,-2.28,0.0,0.0,0.0,-0.68,0.0,0.0,0.0,0.0,0.0,0.0,-1.57,0.15,-1.46
 FLOCOS DE MILHO,0.0,0.0,0.0,2.89,0.0,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43,2.2,2.67
 FARINHA DE TRIGO,0.0,-0.44,-1.26,0.0,1.51,0.0,0.0,0.0,2.45,-1.73,1.84,3.89,-0.03,0.0,0.0,0.0,0.25
 FARINHA DE MANDIOCA,-2.11,0.0,-2.26,-2.65,0.26,-2.69,-2.69,-0.7,-2.07,0.0,-0.55,0.22,0.0,-0.14,1.28,-2.7,-1.66
 MASSA SEMIPREPARADA,-2.62,0.51,1.69,0.0,-0.97,-2.28,2.09,1.32,3.01,-0.79,-1.81,0.39,-1.37,0.0,0.0,0.0,-0.47
 MACARRÃO INSTANTÂNEO,1.58,0.0,0.0,0.0,0.56,0.44,0.0,0.0,0.0,-0.86,0.0,-0.55,1.67,0.11,0.0,0.0,0.53
" TUBÉRCULOS, RAÍZES E LEGUMES",-9.43,-3.98,-1.6,-6.64,-1.12,6.43,-3.5,-10.81,-14.91,-5.82,1.68,3.15,-0.15,-0.7,-9.0,-10.21,-4.49
