"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - DEZEMBRO DE 2020",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,1.62,1.85,1.53,1.6,1.09,1.12,1.51,1.46,0.92,1.38,1.22,1.41,1.51,1.37,2.18,0.91,1.35
 ALIMENTAÇÃO E BEBIDAS,2.72,2.6,2.23,1.67,1.27,1.53,2.53,0.97,0.25,1.63,1.67,0.9,2.7,1.49,4.06,0.67,1.74
 ALIMENTAÇÃO NO DOMICÍLIO,3.18,3.25,2.86,1.99,1.44,1.91,3.14,1.14,0.13,2.26,1.99,1.12,3.2,1.76,4.48,1.05,2.12
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",3.48,3.23,5.25,2.54,3.65,3.66,8.22,1.92,1.91,0.97,3.61,2.1,3.85,0.7,5.39,2.79,3.61
 ARROZ,3.69,3.67,4.8,3.85,4.62,3.85,7.46,0.75,1.71,0.26,3.94,1.81,3.67,0.71,6.16,5.5,3.84
 FEIJÃO-MULATINHO,       -,       -,       -,-1.03,       -,       -,       -,       -,-0.92,       -,       -,       -,       -,       -,-1.34,       -,-1.03
 FEIJÃO-PRETO,2.99,1.57,       -,       -,       -,5.04,7.07,       -,       -,4.32,       -,3.17,       -,       -,       -,       -,3.29
 FEIJÃO-MACÁÇAR (FRADINHO),       -,       -,       -,1.96,       -,       -,       -,5.86,       -,       -,       -,       -,       -,       -,       -,       -,5.07
 FEIJÃO-CARIOCA (RAJADO),       -,       -,6.84,1.78,0.52,3.4,12.33,       -,4.22,       -,2.31,       -,5.15,0.68,-0.8,-1.9,2.86
 MILHO (EM GRÃO),       -,3.65,       -,       -,       -,0.67,       -,       -,       -,2.45,       -,       -,       -,       -,       -,       -,2.69
" FARINHAS, FÉCULAS E MASSAS",0.24,2.22,-0.83,2.3,3.09,3.6,0.46,0.44,-1.14,2.02,0.18,2.43,0.43,1.54,2.89,-2.02,1.44
 FARINHA DE ARROZ,       -,       -,       -,-0.25,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.25
 MACARRÃO,-1.14,2.2,-4.05,5.24,1.76,-0.71,4.25,0.69,-0.02,0.43,-1.97,3.18,-1.27,-0.07,1.93,-2.81,0.62
 FUBÁ DE MILHO,       -,       -,       -,0.64,       -,       -,       -,-1.62,       -,       -,       -,       -,       -,       -,2.45,-1.58,0.12
 FLOCOS DE MILHO,       -,       -,       -,-0.3,       -,3.43,       -,       -,       -,       -,       -,       -,       -,       -,0.64,-1.68,0.57
 FARINHA DE TRIGO,       -,3.7,-0.44,       -,-0.81,       -,       -,       -,-1.28,2.98,-0.78,1.15,-0.61,       -,       -,       -,1.01
 FARINHA DE MANDIOCA,-0.01,       -,0.86,2.91,1.72,10.82,-0.5,1.01,-1.46,       -,-0.26,4.33,       -,2.09,3.61,-1.91,0.8
 MASSA SEMIPREPARADA,2.29,1.36,3.02,       -,7.16,-0.07,1.45,-0.06,-3.11,2.79,3.21,2.15,3.29,       -,       -,       -,3.55
 MACARRÃO INSTANTÂNEO,-0.96,       -,       -,       -,0.58,2.72,       -,       -,       -,2.64,       -,1.3,0.78,2.2,       -,       -,0.75
" TUBÉRCULOS, RAÍZES E LEGUMES",4.99,8,5,2.8,-8.93,-7.75,-4.15,-9.38,-5.49,-5.7,-4.51,-15.9,6.99,1.94,-2.46,-2.18,-3.01
 BATATA-DOCE,13.43,       -,       -,3.34,-1.75,       -,       -,       -,-8.02,       -,8.37,       -,       -,6.43,       -,       -,1.05
 BATATA-INGLESA,16.75,17.64,12.47,0.33,1.53,-1.64,7.29,-16.01,-2.19,10.85,11.93,3.88,21.24,10.96,-2.33,-2.15,7.29
 INHAME,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-9.93,       -,       -,       -,0.04,-4.03
 MANDIOCA (AIPIM),       -,       -,-0.57,-5.3,       -,-3.19,       -,       -,-4.8,       -,       -,       -,-5.72,0.03,       -,       -,-3.2
 ABOBRINHA,       -,       -,       -,       -,10.03,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,10.03
 PEPINO,       -,       -,       -,       -,       -,       -,       -,       -,       -,-15.88,       -,       -,       -,       -,       -,       -,-15.88
 PIMENTÃO,       -,       -,       -,       -,-10.51,-9.58,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-10.41
 TOMATE,-10.07,0.67,-0.92,3.75,-21.56,-14.62,-13.45,-11.56,-8.98,-22.63,-17.61,-30.32,0.75,0.02,-3.33,-6.04,-13.46
 CEBOLA,4.21,0.12,5.2,7.09,-1.11,2.69,-0.55,-3.08,-3.76,-18.97,0.2,1.95,7.02,-0.8,-0.77,3.36,-0.55
 CENOURA,11.98,20.48,1.85,7.38,12.83,1.63,8.61,2.72,-3.01,23.23,5.53,14.92,       -,       -,       -,0.1,8.61
 AÇÚCARES E DERIVADOS,1.78,0.82,0.8,3.51,2.21,0.91,3.63,3.47,1.7,1.29,2.52,2.43,2.73,2.12,5.74,1.08,1.94
 AÇÚCAR REFINADO,3.68,0.13,       -,7.8,3.8,0.19,6.93,6,1.73,6.05,       -,       -,       -,2.82,4.77,       -,3.99
 AÇÚCAR CRISTAL,       -,4.07,1.87,3.53,       -,1.38,1.81,4.54,4.03,4.65,8.89,4.75,4.29,3.12,14.23,0.58,3.9
 BALAS,       -,-0.04,       -,       -,       -,1.56,       -,       -,       -,0.52,0.12,       -,-0.12,       -,       -,       -,0.37
 CHOCOLATE EM BARRA E BOMBOM,0.79,1.42,-1.08,2.26,2.18,0.47,2.69,1.5,-0.68,-2.31,-0.45,1.36,0.56,0.85,-2.81,-0.51,0.98
 SORVETE,0.7,-1.44,0.42,0.72,1.29,1.12,4.87,-0.69,-0.7,2.47,-2.33,0.03,3.06,       -,       -,3.56,0.86
 CHOCOLATE E ACHOCOLATADO EM PÓ,0.57,1.23,1.14,2.16,2.03,0.73,2.23,1.86,0.07,2.84,-0.33,0.37,2.24,-0.45,-2.5,2,1.46
 DOCE DE FRUTAS EM PASTA,       -,       -,       -,8.67,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,8.67
 AÇÚCAR DEMERARA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.73,0.73
 HORTALIÇAS E VERDURAS,4.01,1.45,2.53,3.41,3.19,-1.15,4.04,2.2,2.49,3.75,1.38,4.59,4.85,3.13,8.69,0.83,2.98
 ALFACE,4.8,2.59,2.25,13.23,3,-5.09,1.49,-2.79,-3.76,-0.39,3.17,7.27,6.84,-7.7,-1.14,4.07,2.47
 COENTRO,       -,       -,       -,-1.27,       -,       -,       -,       -,-0.29,       -,       -,       -,       -,       -,       -,-1.17,-0.73
 COUVE,3.41,       -,0.37,       -,-0.7,       -,       -,       -,       -,       -,       -,0.04,       -,-0.55,       -,0.43,0.16
 COUVE-FLOR,1.22,       -,       -,       -,       -,-0.03,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.96
 REPOLHO,       -,-2.75,       -,       -,10.07,       -,       -,       -,12.83,12.53,-1.09,       -,-2.64,       -,22.98,       -,7.6
 CHEIRO-VERDE,5.45,0.12,5.52,-1.78,7.41,5.3,5.29,3.73,9.69,2.75,-4.53,4.53,5.31,13.34,7.79,       -,5.3
 BRÓCOLIS,3.96,2.72,3.64,       -,-1.12,2.35,1.48,       -,       -,5.18,       -,1.37,       -,       -,       -,       -,1.48
 FRUTAS,9.81,7.99,14.27,4.63,3.79,10.07,8.27,0.12,1.33,10.38,4.44,8.93,17.44,7.73,6.38,4.73,6.73
 BANANA-DA-TERRA,       -,       -,       -,4.63,       -,       -,       -,       -,-1.78,       -,       -,0.76,       -,29.52,       -,       -,0.55
 ABACAXI,13.36,0.41,       -,1.48,       -,       -,6.14,       -,       -,       -,13.47,15.1,-0.1,       -,       -,10.84,6.14
 ABACATE,       -,       -,       -,       -,       -,       -,8.27,       -,       -,       -,       -,       -,       -,20.46,       -,       -,10.43
 BANANA-D'ÁGUA,22.35,11.67,21.88,       -,10.19,16.43,       -,       -,       -,19.35,       -,       -,28.97,       -,14.55,       -,14.55
 BANANA-MAÇÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.81,       -,23.41,       -,       -,       -,8.07
 BANANA-PRATA,26.03,14.09,40.63,0.13,5.44,22.23,15,-3.05,3.6,23.96,18.85,23.43,       -,4.86,3.98,5.66,15.0
 LARANJA-BAÍA,       -,16.24,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,16.24
 LARANJA-LIMA,       -,       -,-1.63,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.63
 LIMÃO,-18.12,       -,       -,       -,-28.32,-6.41,       -,       -,       -,       -,-21.14,-32.13,       -,-12.63,       -,       -,-25.12
 MAÇÃ,7.72,15.29,15.15,10.42,7.02,21.33,10.26,5.55,2.39,10.14,-0.86,13.84,15.95,11.5,19.66,6.61,9.65
 MAMÃO,5.24,10.32,-1.43,6.95,12.21,15.03,       -,-5.12,7.09,20.42,5.24,31.54,14.42,2.57,       -,16.04,9.83
 MANGA,-6.11,-7.02,-4.65,       -,-11.74,-5.53,       -,-15.21,-11.36,-6.77,       -,-10.21,       -,       -,       -,-6.27,-9.42
 MARACUJÁ,       -,       -,       -,       -,       -,       -,       -,16.51,6.94,       -,       -,       -,       -,       -,       -,8.12,9.94
 MELANCIA,       -,       -,22.62,0.9,       -,10.77,8.84,       -,1.07,3.51,18.94,       -,9.4,-0.08,1.76,       -,8.83
 MELÃO,-7.99,       -,       -,11.56,       -,-3.3,-4.25,       -,       -,-12.64,       -,       -,       -,       -,8.19,       -,-4.25
 PERA,       -,       -,       -,       -,1.15,       -,       -,       -,       -,       -,-1.31,-0.87,       -,       -,       -,       -,0.8
 TANGERINA,       -,       -,       -,       -,3.79,       -,       -,       -,       -,10.38,       -,       -,       -,       -,       -,       -,5.35
 UVA,1.43,-6,-1.65,4.46,3.12,1,-2,-1.76,-1.17,4.99,1.01,-0.05,0.38,-3.95,1.02,1.16,1.0
 LARANJA-PERA,9.73,       -,-6.43,3.44,10.84,-3.3,5.03,-5.65,1.58,9.51,-4.41,3.02,13.83,-1.76,3.16,-4.59,5.27
 MORANGO,       -,-4.16,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-4.16
 GOIABA,       -,       -,       -,       -,       -,       -,4.88,5.11,       -,       -,       -,       -,       -,       -,       -,4.23,4.88
 CARNES,5.93,4.99,1.66,3.38,2.4,2.79,4.29,3.9,0.28,6.24,3.29,5.19,3.31,1.49,11.3,3.2,3.58
 FÍGADO,       -,       -,       -,-7.28,       -,       -,-3.86,-5.8,0.85,       -,       -,       -,       -,       -,-3.87,       -,-3.06
 CARNE DE PORCO,4.71,5.54,-4.89,6.36,-2.68,0.57,-0.32,5.49,-3.59,2.07,-1.7,-0.8,0.08,7.65,20,2.01,-0.32
 CARNE DE CARNEIRO,       -,       -,       -,       -,       -,       -,       -,3.9,       -,       -,       -,       -,       -,       -,       -,       -,3.9
 CUPIM,       -,       -,       -,8.28,       -,       -,       -,       -,       -,       -,7.25,       -,       -,       -,       -,       -,7.77
 CONTRAFILÉ,2.64,2.12,6.82,4.87,3.01,5.37,4.51,3.57,-0.26,9.94,3.43,13.94,2.38,0.1,15.49,2.67,4.51
 FILÉ-MIGNON,3.73,       -,       -,       -,       -,       -,5.72,       -,       -,8.59,       -,       -,       -,1.08,       -,       -,5.72
 CHÃ DE DENTRO,1.54,9.14,2.88,5.69,2.45,1,3.48,7.88,0.27,3.17,3.3,6.51,2.14,0.76,12.04,3.42,3.48
 ALCATRA,7.2,5.75,3.56,1.81,7.54,4.53,6.02,4.74,2.46,10.76,1.49,2.24,1.24,3.28,15.02,2.94,6.02
 PATINHO,9.26,       -,5.54,4.96,3.18,       -,4.37,4.58,       -,5.52,2.08,8.54,1.51,3.28,4.82,2.08,4.37
 LAGARTO REDONDO,       -,       -,       -,       -,       -,       -,4.29,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.29
 LAGARTO COMUM,       -,4.99,       -,       -,4.92,       -,       -,       -,0.6,       -,6.35,       -,4.1,-0.2,       -,       -,4.2
 MÚSCULO,9.77,3.63,2.78,4.13,2.07,       -,3.87,       -,2.43,6.68,4.2,       -,2.51,1.54,8.97,4.59,3.87
 PÁ,       -,5.08,4.84,1.54,7.17,       -,5.7,       -,       -,       -,       -,6.05,6.15,2.54,10.34,4.25,5.7
 ACÉM,7.28,6.81,4.1,1.56,1.64,1.49,3.85,3.14,2.51,8.55,8.34,3.59,0.98,3.22,11.36,1.25,3.85
 PEITO,       -,       -,       -,       -,       -,       -,9.71,       -,       -,       -,       -,       -,5.76,0.27,19.28,6.89,9.71
 CAPA DE FILÉ,       -,       -,       -,       -,       -,       -,4.77,       -,0.66,6.3,       -,4.83,9.72,1.49,       -,       -,4.77
 COSTELA,7.49,3.71,2.4,2.05,0.16,-1.59,2.64,0.85,-0.8,5.55,5.84,7.64,4.19,-0.29,2.68,3.93,2.64
 PICANHA,       -,6.14,7.12,       -,       -,7.94,       -,2.03,       -,       -,       -,       -,       -,       -,       -,       -,5.86
 PESCADOS,-0.56,0.67,2.53,0.83,1.86,1.04,-0.6,-0.17,0.88,0.93,1.39,0.96,-0.26,3.26,0.15,1.22,0.62
 PEIXE-ANCHOVA,       -,       -,       -,0.83,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.83
 PEIXE-CORVINA,-1.89,       -,       -,-0.06,       -,       -,       -,       -,1.5,       -,       -,       -,       -,       -,-0.27,-2.14,-0.27
 PEIXE-TAINHA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.15,       -,0.15
 PEIXE-SARDINHA,       -,1.45,       -,0.83,       -,       -,       -,       -,0.84,       -,       -,       -,       -,       -,       -,       -,1.06
 CAMARÃO,2.33,-0.15,       -,1.75,       -,-0.17,-0.16,-0.14,2.66,-1.67,0.09,2.35,       -,       -,-0.54,2.37,0.65
 PEIXE-CAVALA,       -,       -,       -,       -,       -,       -,       -,-0.88,       -,       -,       -,       -,       -,       -,       -,       -,-0.88
 PEIXE-CAÇÃO,       -,       -,       -,       -,-0.13,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.13
 PEIXE-MERLUZA,       -,       -,-1.89,-0.39,1.77,       -,       -,       -,0.35,       -,1.92,       -,       -,       -,       -,       -,1.01
 PEIXE-SERRA,       -,       -,       -,       -,       -,       -,       -,-0.08,       -,       -,       -,       -,       -,       -,       -,       -,-0.08
 PEIXE-PESCADA,       -,       -,       -,       -,1.86,       -,-1.86,       -,       -,       -,       -,       -,       -,       -,-1.32,1.29,-0.79
 CARANGUEJO,0,       -,       -,       -,       -,       -,0,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.0
 PEIXE-CASTANHA,       -,       -,       -,0,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.0
 PEIXE-PALOMBETA,       -,       -,       -,       -,       -,       -,       -,-1.36,       -,       -,       -,       -,       -,       -,       -,       -,-1.36
 PEIXE-CURIMATÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.26,       -,       -,3.26
 PEIXE-SALMÃO,-0.56,       -,       -,       -,1.95,1.04,       -,-0.17,-1.89,       -,       -,       -,       -,       -,       -,       -,0.7
 PEIXE-TILÁPIA,       -,0.83,3.71,1.71,2.88,1.47,       -,0,-0.69,1.44,2.02,1.43,-1.86,       -,       -,1.7,1.71
 PEIXE-TAMBAQUI,       -,       -,       -,       -,       -,1.04,1.23,       -,       -,       -,1.24,       -,1.22,3.26,1.67,       -,1.62
 PEIXE-DOURADA,       -,       -,       -,       -,       -,       -,-0.39,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.39
 PEIXE-FILHOTE,       -,       -,       -,       -,       -,1.04,-0.6,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.31
 PEIXE-PEROÁ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.24,       -,       -,       -,       -,-0.24
 PEIXE-PINTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.57,       -,       -,       -,2.57
 PEIXE-ARUANÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.39,       -,       -,       -,       -,       -,1.39
 CARNES E PEIXES INDUSTRIALIZADOS,2.34,3.69,3.59,-0.1,4.6,1.05,1.21,2.39,-0.52,0.71,2.84,2.54,2.63,4.66,2.92,2.85,2.64
 PRESUNTO,2.63,4.43,3.1,       -,4.68,1.85,       -,1.22,1.58,-0.77,2.76,5.18,-0.44,3.18,       -,5.18,3.18
 SALSICHA,       -,2.89,       -,-2.12,0.27,       -,       -,       -,       -,2.17,       -,       -,       -,1.96,       -,       -,0.93
 LINGUIÇA,1.41,4.71,4.46,-0.2,5.17,2.09,3.48,2.89,1.22,-0.03,3.5,2.13,3.51,5.78,3.49,3.28,3.5
 MORTADELA,4.33,       -,3.11,1.07,5.66,       -,       -,-0.31,       -,5.24,4.34,       -,2.34,       -,       -,       -,4.33
 SALAME,       -,0.77,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.77
 BACALHAU,0.99,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.92,       -,1.25
 CARNE-SECA E DE SOL,3.9,       -,       -,0.11,       -,-1.84,0.1,3.8,-1.55,       -,       -,3.73,       -,       -,2.01,2.24,0.1
 CARNE DE PORCO SALGADA E DEFUMADA,       -,       -,-0.28,       -,       -,       -,       -,       -,       -,       -,-2.78,1.62,       -,       -,       -,       -,-0.46
 AVES E OVOS,4.1,3.9,1.62,2.08,1.9,1.85,3.02,0.65,0.91,3.94,1.5,4.73,2.11,5.25,2.33,0.77,2.39
 FRANGO INTEIRO,2.79,11.84,2.74,2.67,3.8,2.75,2.73,0.48,1.85,2.78,1.6,2,2.77,6.75,2.76,0.37,2.75
 FRANGO EM PEDAÇOS,5.11,2.36,1.56,0.73,1.7,1.03,3.09,1.34,1.18,3.77,1.73,5.74,0.78,1.92,0.44,1.54,2.42
 OVO DE GALINHA,1.2,4.24,0.25,2.86,1.08,1.8,4.08,0.43,-1.83,6.41,0.47,6.47,4.53,2.72,1.79,-0.07,1.79
 LEITES E DERIVADOS,2.19,2.62,1.75,-0.43,0.84,1.17,1.85,0.24,0.75,-0.54,1.75,0.72,-0.3,-0.27,2.18,-2.28,1.06
 LEITE LONGA VIDA,5.78,1.93,3.29,0.68,0.6,1.01,-0.56,0.02,1.34,1.23,1.95,0.55,1.91,-1.62,-0.31,-2.41,1.57
 LEITE CONDENSADO,4.98,0.56,       -,       -,       -,       -,4.69,       -,       -,       -,       -,       -,       -,1.72,       -,       -,3.11
 LEITE EM PÓ,6.12,       -,3.2,1.16,2.13,       -,2.38,0.57,2.59,1.93,0.16,3.19,1.85,0.65,3.83,0.59,2.38
 QUEIJO,-1.5,3.96,-1.76,-1.84,1.39,2.33,0.05,-0.11,-1.63,-3.67,0.92,-0.2,-6.2,2.32,-0.62,-6.33,-0.03
 IOGURTE E BEBIDAS LÁCTEAS,-1.16,2.91,2.25,-1.29,-1.11,-2.33,1.5,0.74,0.54,-0.63,2.75,-0.2,0.22,-1.14,-0.62,-0.26,0.17
 REQUEIJÃO,1.28,       -,1.28,       -,1.34,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.32
 MANTEIGA,-1.77,       -,2.67,0.68,       -,1.36,3.73,0.55,-0.49,       -,4.1,2.84,       -,-0.91,       -,1.96,1.18
 LEITE FERMENTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.53,       -,       -,       -,       -,       -,       -,-0.53
 PANIFICADOS,0.36,1.24,1.42,1.96,-0.37,0.65,1.32,0.59,0.21,-0.1,1.7,0.57,0.62,-0.2,-1.36,-1.94,0.45
 BISCOITO,0.45,0.79,1.52,2.04,1.6,1.4,1.65,0.82,0.47,-1.71,3.39,-0.4,0.66,0.97,-0.01,-0.83,1.0
 PÃO FRANCÊS,-1.08,0.98,1.43,1.98,-0.83,0,1.38,0.56,0.63,0.54,1.35,1.49,0.2,-0.55,-2.35,-2.92,0.24
 PÃO DOCE,4.87,5.81,-0.01,       -,-0.81,       -,       -,       -,-5.91,-1.24,       -,-1.91,0.39,       -,       -,       -,0.06
 PÃO DE FORMA,5.09,1.56,3.48,       -,-0.91,5.83,       -,       -,       -,0.27,       -,-0.5,       -,       -,       -,       -,1.16
 BOLO,-1.05,0.52,-1.99,1.49,-2.49,-2.44,-0.82,0.08,0.1,2.61,-0.49,1.49,3.11,-0.28,0.76,2.85,-0.82
 PÃO DE QUEIJO,       -,       -,4.81,       -,       -,1.22,       -,       -,       -,       -,1.37,       -,       -,       -,       -,       -,3.15
 ÓLEOS E GORDURAS,2.81,5.03,2.19,3.94,5.09,7.53,6.46,4.84,2.66,5.92,1.85,0.49,6.13,0.93,2.05,1.3,4.22
 ÓLEO DE SOJA,3,5.28,1.89,5.72,6.74,9.46,7.29,7.52,2.97,7.16,1.86,-0.03,8.4,0.93,3.49,1.3,4.99
 AZEITE DE OLIVA,2.5,       -,       -,       -,2.35,3.04,5.2,       -,-0.33,2.99,       -,2.48,-0.11,0.88,       -,       -,2.48
 MARGARINA,2.71,4.12,3.83,0.55,2.63,       -,4.9,-0.29,3.83,3.77,1.8,       -,4.21,       -,-2.79,1.31,2.7
 BEBIDAS E INFUSÕES,0.34,-0.07,1.12,1.15,0.66,0.13,2.67,0.19,-0.65,-0.56,0.9,-1.07,-0.64,0.57,-0.09,1.62,0.53
 SUCO DE FRUTAS,0.68,-0.34,-0.51,0.26,-1.96,-1.51,       -,-0.4,       -,-0.69,2.46,0.03,-2.32,       -,       -,       -,-0.78
 POLPA DE FRUTA (CONGELADA),       -,       -,       -,       -,       -,       -,-0.98,-1.19,-1.26,       -,       -,       -,       -,0.63,0.14,       -,-0.98
 AÇAÍ (EMULSÃO),       -,       -,       -,       -,       -,       -,4.11,       -,       -,       -,       -,       -,       -,4.11,4.11,       -,4.11
 CAFÉ MOÍDO,0.24,1.98,5.73,0.22,3.43,1.2,0.89,-0.11,-0.79,2.51,-1.67,-1.69,-0.12,-0.04,-1.56,-0.16,1.95
 CAFÉ SOLÚVEL,       -,-1.58,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.58
 REFRIGERANTE E ÁGUA MINERAL,0.48,-0.13,-1.21,2.13,-0.73,1.51,1.07,0.88,-0.74,-2.21,1.6,-1.27,-2.12,-0.33,-0.97,0.94,-0.26
