"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - MAIO DE 2020",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,-0.28,-0.44,-0.6,-0.18,-0.28,-0.28,-0.39,-0.52,-0.47,-0.57,-0.25,-0.48,-0.57,-0.33,-0.22,-0.5,-0.38
 ALIMENTAÇÃO E BEBIDAS,1,0.38,0.02,0.73,-0.02,-0.14,-0.48,0.72,1.18,-0.12,0.47,0.53,0.11,0.61,-0.37,-0.17,0.24
 ALIMENTAÇÃO NO DOMICÍLIO,1.07,0.68,0.01,0.73,0.09,-0.24,-0.66,0.92,1.48,0.01,0.41,0.69,0.31,0.57,-0.64,-0.41,0.33
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",5.16,3.4,5.32,2.34,3.65,4.78,3.67,2.71,4.74,2.23,1.49,3.22,4.41,3.86,2.11,5.94,3.7
 ARROZ,3.52,2.03,3.9,0.6,0.74,1.98,2.01,2.71,2.55,1.52,0.61,3.95,4.98,2.15,2.02,0.38,2.01
 FEIJÃO-MULATINHO,       -,       -,       -,2.34,       -,       -,       -,       -,0.68,       -,       -,       -,       -,       -,1.44,       -,1.44
 FEIJÃO-PRETO,8.15,7.44,       -,       -,       -,6.87,7.46,       -,       -,7.45,       -,1.21,       -,       -,       -,       -,7.44
 FEIJÃO-MACÁÇAR (FRADINHO),       -,       -,       -,2.34,       -,       -,       -,2.71,       -,       -,       -,       -,       -,       -,       -,       -,2.62
 FEIJÃO-CARIOCA (RAJADO),       -,       -,8.66,4.85,9.9,12.37,6.6,       -,11.56,       -,3.69,       -,2.32,10.15,3.86,12.82,8.66
 MILHO (EM GRÃO),       -,2.12,       -,       -,       -,0.5,       -,       -,       -,-0.28,       -,       -,       -,       -,       -,       -,0.74
" FARINHAS, FÉCULAS E MASSAS",-0.02,0.74,0.31,0.34,1.18,0.77,0.32,0.6,-0.01,-0.45,0.31,0.68,-1.04,0.38,-2.2,1.26,0.4
 FARINHA DE ARROZ,       -,       -,       -,0.34,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.34
 MACARRÃO,0.21,-0.97,-1.71,0.13,1.36,1.69,0.12,-0.36,-0.08,0.71,-1.62,0.43,-1.11,-1.36,1.44,0.6,0.12
 FUBÁ DE MILHO,       -,       -,       -,1.78,       -,       -,       -,4.05,       -,       -,       -,       -,       -,       -,2.33,-0.26,2.33
 FLOCOS DE MILHO,       -,       -,       -,0.3,       -,-2,       -,       -,       -,       -,       -,       -,       -,       -,-0.13,2.3,-0.13
 FARINHA DE TRIGO,       -,1.85,2.17,       -,2.14,       -,       -,       -,0.89,1.76,1.64,2.91,0.84,       -,       -,       -,1.88
