"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - FEVEREIRO DE 2020",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,-0.02,0.16,0.5,0.38,0.23,0.35,0.21,0.8,0.16,0.08,0.18,0.33,0.42,0.49,0.18,0.66,0.25
 ALIMENTAÇÃO E BEBIDAS,-0.23,0.48,0.75,0.61,-0.34,-0.36,0.09,0.94,0.75,-0.07,-0.12,-0.16,-0.17,0.59,0.84,1.4,0.11
 ALIMENTAÇÃO NO DOMICÍLIO,-0.52,0.44,0.92,0.68,-0.48,-0.72,0.18,1.01,0.79,-0.11,-0.45,-0.37,-0.24,0.51,1,1.77,0.06
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",0.8,5.06,0.53,0.16,-1.16,0.03,-0.95,1.85,-0.55,0.62,0.02,1.19,-0.75,-1.21,0.72,0.34,0.22
 ARROZ,0.4,3.77,0.46,0.87,0.4,1.39,0.61,1.29,1.64,0.58,2.34,2.07,1.37,0.36,1.22,1.91,1.0
 FEIJÃO-MULATINHO,       -,       -,       -,-2.15,       -,       -,       -,       -,-6.21,       -,       -,       -,       -,       -,-0.73,       -,-3.73
 FEIJÃO-PRETO,1.62,9.64,       -,       -,       -,1.47,-0.95,       -,       -,-1.25,       -,-1.31,       -,       -,       -,       -,2.52
 FEIJÃO-MACÁÇAR (FRADINHO),       -,       -,       -,-1.16,       -,       -,       -,3.48,       -,       -,       -,       -,       -,       -,       -,       -,2.39
 FEIJÃO-CARIOCA (RAJADO),       -,       -,0.71,0.7,-4.63,-4.11,-5.76,       -,-2.6,       -,-5.91,       -,-8.88,-7.71,-3.89,-1.59,-3.44
 MILHO (EM GRÃO),       -,2.92,       -,       -,       -,1.36,       -,       -,       -,3.38,       -,       -,       -,       -,       -,       -,2.94
" FARINHAS, FÉCULAS E MASSAS",-0.98,0.11,0.34,-0.3,-0.5,0.8,7.57,0.27,1.81,0.53,-0.48,0.27,-1.02,0.98,3.37,-0.27,0.67
 FARINHA DE ARROZ,       -,       -,       -,-4.62,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-4.62
 MACARRÃO,-3.39,-0.83,-0.28,-0.8,0.05,1.93,-0.23,0.17,1.67,-0.42,-0.49,0.32,-3.33,-0.62,-0.49,-0.37,-0.49
 FUBÁ DE MILHO,       -,       -,       -,0.48,       -,       -,       -,0.09,       -,       -,       -,       -,       -,       -,3.6,2.7,1.14
 FLOCOS DE MILHO,       -,       -,       -,-1.57,       -,0.8,       -,       -,       -,       -,       -,       -,       -,       -,-1.98,-0.49,-0.98
 FARINHA DE TRIGO,       -,1.59,0.9,       -,-3.4,       -,       -,       -,-0.05,0.7,-0.18,0.32,-2.66,       -,       -,       -,-0.52
 FARINHA DE MANDIOCA,2.67,       -,1.9,3.23,-1.01,0.45,10.39,-0.3,2.42,       -,-2.29,-0.42,       -,1.86,5.58,-1.08,3.95
 MASSA SEMIPREPARADA,0,0.03,0.14,       -,-0.47,1.05,-0.53,2.38,1.61,1.27,1.02,0.59,0.16,       -,       -,       -,0.17
