"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - SETEMBRO DE 2020",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.62,0.68,0.76,0.78,0.44,0.37,0.95,1.22,0.23,0.71,1.03,0.83,1.26,1.19,1,0.73,0.64
 ALIMENTAÇÃO E BEBIDAS,2.41,2.08,3.02,2.57,1.76,1.5,2.26,3.22,1.97,1.98,3.77,3.17,3.6,3.45,2.77,2.92,2.28
 ALIMENTAÇÃO NO DOMICÍLIO,3.06,2.48,3.86,3.43,2.31,2.07,2.72,3.58,2.7,2.44,4.74,3.73,4.4,4.29,3.01,2.99,2.89
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",12.22,12.24,14.12,7.12,11.91,12.25,9.66,20.58,5.68,13.16,32.55,11.19,14.9,11.94,6.81,13.05,12.93
 ARROZ,15.95,16.43,18.06,16.88,18.48,18.91,12.26,20.58,11.33,17.23,41.94,15.01,17.33,14.84,8.65,24.01,17.98
 FEIJÃO-MULATINHO,       -,       -,       -,-3.24,       -,       -,       -,       -,-4.18,       -,       -,       -,       -,       -,-0.95,       -,-3.24
 FEIJÃO-PRETO,5.74,4.4,       -,       -,       -,0.76,4.31,       -,       -,0.94,       -,0.68,       -,       -,       -,       -,4.31
 FEIJÃO-MACÁÇAR (FRADINHO),       -,       -,       -,-0.91,       -,       -,       -,20.58,       -,       -,       -,       -,       -,       -,       -,       -,15.73
 FEIJÃO-CARIOCA (RAJADO),       -,       -,2.97,0.27,-2.43,-0.09,3.9,       -,-2.79,       -,5.82,       -,2.09,-0.48,-7.93,-0.65,-0.41
 MILHO (EM GRÃO),       -,3.07,       -,       -,       -,4.32,       -,       -,       -,3.33,       -,       -,       -,       -,       -,       -,3.35
" FARINHAS, FÉCULAS E MASSAS",1.05,1.62,0.58,0.51,1.98,0.73,1.46,0.29,-0.46,1.3,-0.2,-0.79,-0.19,-0.61,0.04,0.63,1.04
 FARINHA DE ARROZ,       -,       -,       -,0.51,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.51
 MACARRÃO,1.54,2.02,0.2,-5.45,1.39,-4.65,5.19,-0.78,0.38,0.51,-4.35,-0.75,-2.2,-0.35,-3.75,-2.02,0.32
 FUBÁ DE MILHO,       -,       -,       -,0.26,       -,       -,       -,1.8,       -,       -,       -,       -,       -,       -,0.82,0.1,0.79
 FLOCOS DE MILHO,       -,       -,       -,7.68,       -,-0.29,       -,       -,       -,       -,       -,       -,       -,       -,0.62,2.02,4.39
 FARINHA DE TRIGO,       -,2.6,1.51,       -,1.52,       -,       -,       -,-0.08,3.28,2.33,-1.4,2.26,       -,       -,       -,1.93
 FARINHA DE MANDIOCA,2.32,       -,-1.42,3.25,3.64,0.75,0.67,0.68,-1.63,       -,-1.44,-1.68,       -,-0.82,0.88,1.6,0.67
 MASSA SEMIPREPARADA,0.67,0.77,1.75,       -,3.5,4.03,1.77,1.28,1.73,-0.64,3.64,-0.74,-0.11,       -,       -,       -,1.77
 MACARRÃO INSTANTÂNEO,-0.7,       -,       -,       -,-1.42,2.89,       -,       -,       -,5.62,       -,0.71,1.22,-0.06,       -,       -,0.3
" TUBÉRCULOS, RAÍZES E LEGUMES",-1.58,-2.84,4.04,-0.08,1.94,-3.67,1.44,-13.52,-3.56,-0.09,-5.11,8.18,10.54,0.8,-5.75,-4.92,-0.38
 BATATA-DOCE,6.16,       -,       -,4.72,-6.04,       -,       -,       -,-4.49,       -,-3.76,       -,       -,2.75,       -,       -,-2.35
 BATATA-INGLESA,-13.95,-7.62,-2.17,-10.16,-0.6,-11.42,-7.75,-17.8,-9.41,-6.3,-12.45,-2.73,-3.68,-8.17,2.18,-6.7,-6.3
 INHAME,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,8.79,       -,       -,       -,-1.62,1.17
 MANDIOCA (AIPIM),       -,       -,9.45,2.48,       -,3.92,       -,       -,-0.38,       -,       -,       -,2.38,-0.03,       -,       -,3.91
 ABOBRINHA,       -,       -,       -,       -,-5.46,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-5.46
 PEPINO,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.32,       -,       -,       -,       -,       -,       -,4.32
 PIMENTÃO,       -,       -,       -,       -,-13.87,-3.67,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-12.91
 TOMATE,18.58,7.16,12.88,11.51,14.04,2.99,11.72,0.43,13.55,11.15,0.55,16.59,33.39,16.52,2.4,14.83,11.72
 CEBOLA,-12.49,-9.13,-10.14,-10.68,-7.13,-19.44,-11.79,-26.04,-17.69,-7.68,-15.18,-1.19,0.18,-7.56,-17.34,-24.02,-11.8
 CENOURA,7.33,7.81,20.22,10.29,8.39,15.6,9.78,2.44,8.6,8.3,9.9,9.69,       -,       -,       -,-0.04,9.78
 AÇÚCARES E DERIVADOS,2.06,2.95,2.27,2.75,2.06,4.78,5.27,2.33,2.05,2.55,2.3,2.39,1.36,1.7,2.23,2.08,2.47
 AÇÚCAR REFINADO,0.3,4.44,       -,2.47,-2.38,1.44,6.39,-1.12,1.87,0.75,       -,       -,       -,0.2,-1.86,       -,-0.18
 AÇÚCAR CRISTAL,       -,3.52,1.76,5.6,       -,3.09,6.95,5.07,0.67,0.96,4.25,3.89,0.06,2.98,7.05,2.85,3.2
 BALAS,       -,0.21,       -,       -,       -,1.84,       -,       -,       -,1.05,0.15,       -,-2.97,       -,       -,       -,0.52
 CHOCOLATE EM BARRA E BOMBOM,4.5,3.36,5.01,3.83,5.34,8.47,8.92,2.81,6.96,3.55,2.19,1.29,0.57,0.26,5.89,-0.09,4.78
 SORVETE,0.45,3.06,2.3,-0.85,1.59,5.08,-0.99,2.23,3.79,3.96,0.37,5.57,5.49,       -,       -,4.98,2.07
 CHOCOLATE E ACHOCOLATADO EM PÓ,4.1,2.22,0.34,1.01,-0.31,1.35,4.53,-0.64,0.24,1.71,2.54,-1.18,0.26,0.94,-0.08,-0.04,0.98
 DOCE DE FRUTAS EM PASTA,       -,       -,       -,-7.21,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-7.21
 AÇÚCAR DEMERARA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.31,-0.31
 HORTALIÇAS E VERDURAS,0.45,-1.54,0.05,0,3.32,0.52,1.37,0.58,-4.05,-4.19,-1.99,1.61,1.65,-1,-1.09,-7.52,0.62
 ALFACE,0.34,-2.89,-0.5,5.27,2.99,0.09,0.08,1.2,-7.56,-8.15,-2.54,-0.8,0.57,-3.4,-3.72,-12.83,0.08
 COENTRO,       -,       -,       -,-2.31,       -,       -,       -,       -,-2.3,       -,       -,       -,       -,       -,       -,-5.34,-2.59
 COUVE,2.13,       -,2.15,       -,2.6,       -,       -,       -,       -,       -,       -,1.52,       -,-0.35,       -,-3.67,2.24
 COUVE-FLOR,-4.95,       -,       -,       -,       -,0.52,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-3.8
 REPOLHO,       -,-2.11,       -,       -,2.22,       -,       -,       -,1.69,-2.93,-1.96,       -,15.72,       -,-4.99,       -,0.14
 CHEIRO-VERDE,-3.41,-1.01,-0.83,-3.57,7.34,5.5,1.61,0.38,-5.43,-0.5,0.65,5.59,-2.35,0.66,0.86,       -,1.62
