"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - NOVEMBRO DE 2020",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.69,0.8,0.95,0.36,1.04,0.35,0.48,0.8,1.17,0.87,1.41,0.97,0.87,1.1,1.01,0.42,0.89
 ALIMENTAÇÃO E BEBIDAS,2.42,2.37,2.8,1.08,2.74,1.86,2.32,2.99,2.11,2.07,3.88,3.12,2.74,3.43,3.58,2.07,2.54
 ALIMENTAÇÃO NO DOMICÍLIO,3.28,3.08,3.42,1.42,3.82,2.98,2.73,3.71,2.59,2.53,5.08,4.25,3.25,4.26,4.16,2.59,3.33
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",4.74,3.26,4.62,2.61,6.85,5.35,3.56,7.68,3.6,2.74,0.81,4.48,5.34,7.57,7.17,0.24,4.93
 ARROZ,5.58,3.73,5.63,5.16,8.32,7.73,4.69,10.13,6.69,3.61,0.44,5.62,6.48,8.51,8.43,1.18,6.28
 FEIJÃO-MULATINHO,0.0,0.0,0.0,2.61,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0,-6.22,0.0,0.25
 FEIJÃO-PRETO,2.92,2.15,0.0,0.0,0.0,3.71,0.19,0.0,0.0,1.37,0.0,0.39,0.0,0.0,0.0,0.0,2.2
 FEIJÃO-MACÁÇAR (FRADINHO),0.0,0.0,0.0,4.18,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,1.13,-3.53,2.36,-1.35,0.93,0.0,-4.53,0.0,2.27,0.0,-2.13,2.29,1.88,-1.33,0.81
 MILHO (EM GRÃO),0.0,1.7,0.0,0.0,0.0,0.74,0.0,0.0,0.0,-3.31,0.0,0.0,0.0,0.0,0.0,0.0,-0.96
" FARINHAS, FÉCULAS E MASSAS",0.26,-0.55,1.19,-0.98,1.69,-0.22,-0.95,0.61,1.54,0.33,2.55,1.15,1.15,-1.87,6.72,1.94,0.8
 FARINHA DE ARROZ,0.0,0.0,0.0,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44
 MACARRÃO,-2.93,-3.45,3.04,-3.96,3.91,0.21,3.22,1.21,4.53,0.63,3.75,0.48,-0.43,0.89,1.59,1.71,1.14
 FUBÁ DE MILHO,0.0,0.0,0.0,-0.03,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,2.61,0.46,0.69
 FLOCOS DE MILHO,0.0,0.0,0.0,-3.59,0.0,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.12,0.59,-2.02
 FARINHA DE TRIGO,0.0,0.48,-0.57,0.0,0.53,0.0,0.0,0.0,-0.47,1.89,2.22,-0.39,3.73,0.0,0.0,0.0,0.7
 FARINHA DE MANDIOCA,11.8,0.0,0.21,3.92,0.44,-2.33,-1.93,-0.38,-0.27,0.0,0.42,4.77,0.0,-3.84,11.2,3.0,1.19
 MASSA SEMIPREPARADA,-0.72,0.87,-0.11,0.0,0.23,0.5,-0.09,1.52,2.67,1.01,3.63,1.73,1.27,0.0,0.0,0.0,0.52
 MACARRÃO INSTANTÂNEO,-0.39,0.0,0.0,0.0,2.14,-1.8,0.0,0.0,0.0,-5.45,0.0,0.93,1.38,2.42,0.0,0.0,0.03
" TUBÉRCULOS, RAÍZES E LEGUMES",23.45,12.33,12.54,3.63,20.13,14.21,15.4,13.24,11.6,11.82,20.99,34.35,14.62,8.11,25.09,3.16,16.22
 BATATA-DOCE,18.84,0.0,0.0,2.03,41.74,0.0,0.0,0.0,8.22,0.0,30.05,0.0,0.0,29.82,0.0,0.0,24.71
 BATATA-INGLESA,31.16,16.96,37.86,21.46,32.44,42.67,29.64,27.88,33.67,17.4,31.1,56.53,40.36,7.3,28.82,33.11,29.65
 INHAME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.26,0.0,0.0,0.0,-10.9,0.77
 MANDIOCA (AIPIM),0.0,0.0,13.44,-6.25,0.0,4.03,0.0,0.0,1.22,0.0,0.0,0.0,4.02,0.43,0.0,0.0,4.02
 ABOBRINHA,0.0,0.0,0.0,0.0,-18.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.73
 PEPINO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.06,0.0,0.0,0.0,0.0,0.0,0.0,-12.06
 PIMENTÃO,0.0,0.0,0.0,0.0,13.57,14.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.64
 TOMATE,36.64,19.31,-3.01,5.3,23.1,11.09,18.46,17.47,14.45,23.43,21.48,35.29,5.67,28.53,33.58,2.12,18.45
 CEBOLA,0.54,-4.83,4.68,-8.61,5.05,-2.18,-0.74,-4.09,-10.32,-2.92,3.21,-1.95,11.31,-17.89,9.11,-11.17,-0.74
 CENOURA,7.0,16.31,9.61,-0.16,6.23,2.8,7.52,5.87,17.89,-4.92,14.32,16.62,0.0,0.0,0.0,2.1,7.52
 AÇÚCARES E DERIVADOS,0.95,1.25,2.67,2.24,0.41,3.11,0.5,2.46,0.75,1.86,3.8,1.04,3.27,1.87,1.25,0.25,1.32
 AÇÚCAR REFINADO,1.42,3.22,0.0,2.33,0.8,-0.17,-2.43,0.66,-1.96,2.14,0.0,0.0,0.0,-2.48,-0.05,0.0,0.8
 AÇÚCAR CRISTAL,0.0,3.84,4.21,3.57,0.0,8.32,4.58,4.6,0.8,7.46,7.55,1.75,8.68,4.04,1.75,0.42,4.21
 BALAS,0.0,-0.34,0.0,0.0,0.0,2.12,0.0,0.0,0.0,0.46,2.1,0.0,0.09,0.0,0.0,0.0,0.47
 CHOCOLATE EM BARRA E BOMBOM,-0.45,1.91,2.19,0.55,-0.8,1.86,-2.24,1.03,1.48,1.07,2.26,0.93,0.25,1.35,1.22,1.42,0.25
 SORVETE,0.83,0.07,2.32,-0.96,0.89,2.4,-1.65,-0.31,1.24,2.66,1.69,0.57,-0.48,0.0,0.0,-2.36,1.0
 CHOCOLATE E ACHOCOLATADO EM PÓ,1.57,-0.86,0.63,1.53,2.08,3.01,0.33,3.16,1.45,-0.2,1.34,-0.02,3.33,0.61,3.81,-0.09,1.32
 DOCE DE FRUTAS EM PASTA,0.0,0.0,0.0,3.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.34
 AÇÚCAR DEMERARA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31,2.31
 HORTALIÇAS E VERDURAS,4.5,8.75,0.31,1.35,5.46,1.32,0.9,6.81,1.31,5.76,5.39,7.42,8.9,1.94,4.46,8.03,4.68
 ALFACE,3.85,10.0,0.68,0.88,6.13,4.89,4.87,1.89,1.99,0.2,0.67,14.84,4.88,9.4,9.75,13.55,4.87
