"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - JULHO DE 2020",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.24,0.37,0.39,0.4,0.24,0.34,0.72,0.56,0.62,0.39,0.25,0.21,0.73,0.75,0.57,0.31,0.36
 ALIMENTAÇÃO E BEBIDAS,-0.49,0.03,-0.05,-0.85,-0.18,-0.31,0.75,0.13,1.34,0.2,0.3,-0.55,0.13,1.1,0.26,-0.11,0.01
 ALIMENTAÇÃO NO DOMICÍLIO,-0.77,0.0,-0.1,-1.19,0.21,-0.69,0.81,0.12,1.56,0.65,0.46,-0.95,0.23,1.39,0.3,0.22,0.14
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",2.52,-0.61,-0.14,-1.4,-0.25,-2.46,0.0,2.9,1.4,2.43,-0.7,1.35,0.81,0.91,-0.44,0.74,0.4
 ARROZ,2.31,-0.16,2.24,-0.49,2.94,0.88,3.65,2.9,3.85,2.82,0.57,1.7,2.78,4.61,-0.48,2.58,2.2
 FEIJÃO-MULATINHO,0.0,0.0,0.0,-1.4,0.0,0.0,0.0,0.0,2.54,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.76
 FEIJÃO-PRETO,2.87,-1.45,0.0,0.0,0.0,3.09,-0.34,0.0,0.0,0.58,0.0,0.45,0.0,0.0,0.0,0.0,1.25
 FEIJÃO-MACÁÇAR (FRADINHO),0.0,0.0,0.0,6.79,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.77
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,-5.4,-5.07,-6.32,-11.35,-9.84,0.0,-3.95,0.0,-3.78,0.0,-6.69,-12.03,-1.34,-1.28,-5.95
 MILHO (EM GRÃO),0.0,-1.31,0.0,0.0,0.0,-0.7,0.0,0.0,0.0,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.74
" FARINHAS, FÉCULAS E MASSAS",-1.67,-0.08,0.83,-0.62,-1.91,-0.49,0.94,0.93,1.24,1.32,-0.14,1.22,1.14,0.26,0.14,0.57,-0.24
 FARINHA DE ARROZ,0.0,0.0,0.0,-0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.62
 MACARRÃO,-0.93,-0.38,-1.22,-0.14,-2.89,-1.65,-0.62,-0.51,1.9,0.92,-0.64,0.23,-0.47,1.06,3.67,-0.56,-0.83
 FUBÁ DE MILHO,0.0,0.0,0.0,3.78,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,1.05,3.11,2.92
 FLOCOS DE MILHO,0.0,0.0,0.0,-2.7,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27,-1.92,-1.58
 FARINHA DE TRIGO,0.0,0.62,1.1,0.0,-0.33,0.0,0.0,0.0,1.56,2.69,3.71,3.45,0.53,0.0,0.0,0.0,1.05
 FARINHA DE MANDIOCA,-4.14,0.0,0.62,-1.95,-4.13,-0.56,1.42,2.43,2.12,0.0,-0.24,-1.33,0.0,0.05,-0.97,1.15,0.05
 MASSA SEMIPREPARADA,-1.13,-0.28,3.95,0.0,-2.06,-0.78,-0.56,-0.3,-4.89,1.42,-1.81,0.93,3.04,0.0,0.0,0.0,-0.56
