"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - OUTUBRO DE 2020",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.59,0.63,1.08,0.82,0.89,1.02,1.18,0.83,0.45,1.02,0.85,0.91,0.91,1.37,1.1,0.87,0.86
 ALIMENTAÇÃO E BEBIDAS,1.55,1.72,2.94,1.74,1.66,1.79,2.42,1.98,1.27,2.2,1.74,3.08,1.82,4.21,3.0,1.56,1.93
 ALIMENTAÇÃO NO DOMICÍLIO,1.91,2.68,3.83,2.12,2.29,2.37,2.99,2.4,1.79,3.01,2.11,3.66,2.24,5.21,3.73,1.81,2.57
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",10.95,14.43,10.39,7.2,9.26,7.34,10.31,8.55,8.96,13.61,4.82,15.26,10.65,13.15,11.28,3.1,9.92
 ARROZ,15.91,19.94,11.96,15.08,13.32,11.03,13.82,11.41,12.8,16.69,5.52,18.57,11.81,15.44,12.64,6.16,13.36
 FEIJÃO-MULATINHO,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,5.01,0.0,0.0,0.0,0.0,0.0,-1.41,0.0,3.1
 FEIJÃO-PRETO,1.49,2.79,0.0,0.0,0.0,-1.14,1.69,0.0,0.0,5.42,0.0,4.85,0.0,0.0,0.0,0.0,2.41
 FEIJÃO-MACÁÇAR (FRADINHO),0.0,0.0,0.0,1.23,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,5.31,-3.03,-1.51,-0.45,2.48,0.0,0.41,0.0,2.15,0.0,3.58,1.84,5.94,-1.67,0.38
 MILHO (EM GRÃO),0.0,1.29,0.0,0.0,0.0,2.1,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.34
" FARINHAS, FÉCULAS E MASSAS",1.17,-1.11,0.63,0.26,-0.19,1.13,-1.12,-0.5,-0.5,0.2,-2.01,0.03,-2.56,1.36,-3.94,-0.17,-0.28
 FARINHA DE ARROZ,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4
