"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - AGOSTO DE 2021",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.66,0.71,0.43,0.66,1.04,1.4,0.75,0.43,0.7,1.21,1.05,1.3,0.89,0.54,0.82,0.65,0.87
 ALIMENTAÇÃO E BEBIDAS,1.16,1.18,1.05,1.78,2.24,1.24,0.38,0.51,1.02,0.77,1.16,1.23,0.9,0.75,0.98,0.56,1.39
 ALIMENTAÇÃO NO DOMICÍLIO,1.46,1.48,1.38,1.96,2.58,1.8,0.33,0.53,1.41,0.73,1.74,1.51,1.33,0.84,1.06,0.86,1.63
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-2.22,-0.29,-1.19,-1.3,-2.95,0.53,-3.92,-1.98,0.08,-2.18,2.31,-1.97,-2.2,-0.53,-1.53,-2.19,-1.75
 ARROZ,-3.37,0.1,-1.72,-2.33,-3.11,0.69,-4.44,-2.81,-0.79,-2.26,2.33,-1.7,-2.54,-0.23,-1.26,-3.39,-2.09
 FEIJÃO-MULATINHO,0.0,0.0,0.0,-0.51,0.0,0.0,0.0,0.0,1.38,0.0,0.0,0.0,0.0,0.0,-4.75,0.0,-0.51
 FEIJÃO-PRETO,0.04,-1.79,0.0,0.0,0.0,-7.57,-5.45,0.0,0.0,-4.12,0.0,-2.81,0.0,0.0,0.0,0.0,-1.66
 FEIJÃO-MACÁÇAR (FRADINHO),0.0,0.0,0.0,3.01,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,0.57,-1.32,-2.46,1.91,-1.1,0.0,1.97,0.0,2.2,0.0,0.0,-2.12,-1.45,-0.16,-0.84
 MILHO (EM GRÃO),0.0,1.44,0.0,0.0,0.0,2.78,0.0,0.0,0.0,1.96,0.0,0.0,0.0,0.0,0.0,0.0,1.86
" FARINHAS, FÉCULAS E MASSAS",2.23,0.83,2.0,1.07,1.87,0.09,0.1,0.9,2.32,0.64,2.18,1.64,1.77,-0.84,-1.29,0.35,1.33
 FARINHA DE ARROZ,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25
 MACARRÃO,2.53,2.92,2.72,1.28,1.98,-0.01,-0.39,-0.06,2.62,-1.5,2.7,1.37,3.9,-0.23,0.95,1.39,1.62
