"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - JULHO DE 2021",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.63,1.23,0.71,0.97,0.98,0.9,0.9,0.92,0.75,1.6,0.92,0.88,0.79,0.66,0.94,0.53,0.96
 ALIMENTAÇÃO E BEBIDAS,0.36,0.44,0.66,1.13,0.11,1.28,0.33,1.04,0.62,2.16,0.64,1.08,1.32,0.32,-0.1,0.66,0.6
 ALIMENTAÇÃO NO DOMICÍLIO,0.45,0.15,0.93,1.2,0.63,1.23,0.23,1.14,0.67,2.68,0.28,1.13,1.39,0.14,-0.34,0.24,0.78
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-3.28,-1.28,-2.5,1.63,-2.6,-2.45,-3.75,-1.86,-0.79,3.12,-2.4,-1.9,-0.14,-1.82,-4.12,-0.55,-1.94
 ARROZ,-3.03,-1.54,-3.17,-0.79,-2.89,-3.6,-4.51,-1.56,-2.61,3.85,-2.49,-2.67,-0.34,-2.24,-4.81,-1.04,-2.35
 FEIJÃO-MULATINHO,       -,       -,       -,4.99,       -,       -,       -,       -,6.85,       -,       -,       -,       -,       -,1.04,       -,4.99
 FEIJÃO-PRETO,-3.76,-0.66,       -,       -,       -,0.35,-1.89,       -,       -,2,       -,0.6,       -,       -,       -,       -,-1.87
 FEIJÃO-MACÁÇAR (FRADINHO),       -,       -,       -,11.72,       -,       -,       -,-2.63,       -,       -,       -,       -,       -,       -,       -,       -,-0.26
 FEIJÃO-CARIOCA (RAJADO),       -,       -,-0.17,1.31,-1.67,0.43,-1.95,       -,0.62,       -,-2.1,       -,1.2,0.43,0.3,0.28,-0.9
 MILHO (EM GRÃO),       -,-1.04,       -,       -,       -,-1.15,       -,       -,       -,-1.27,       -,       -,       -,       -,       -,       -,-1.17
" FARINHAS, FÉCULAS E MASSAS",0.67,-0.24,1.74,1.71,1.15,1.23,1.12,1.47,1.53,3.78,1.22,1.64,2.06,0.91,0.3,0.2,1.32
 FARINHA DE ARROZ,       -,       -,       -,-1.41,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.41
 MACARRÃO,1.12,1.85,2.64,2.22,-1.44,1.77,1.42,2.33,0.34,5.78,-0.78,3.37,2.05,-0.11,-1.2,0.84,1.21
 FUBÁ DE MILHO,       -,       -,       -,2.95,       -,       -,       -,2.8,       -,       -,       -,       -,       -,       -,2.91,2.53,2.86
 FLOCOS DE MILHO,       -,       -,       -,1.74,       -,0.96,       -,       -,       -,       -,       -,       -,       -,       -,2.42,-1.96,1.32
 FARINHA DE TRIGO,       -,-2.29,-0.4,       -,1.91,       -,       -,       -,2.04,1.53,0.4,2.05,0.85,       -,       -,       -,0.47
 FARINHA DE MANDIOCA,-2.69,       -,0.51,1.4,-1.89,0.26,1.28,-0.27,2.46,       -,1.53,0.65,       -,0.93,-0.21,-0.15,0.5
 MASSA SEMIPREPARADA,1.89,-0.34,2.22,       -,4.25,2.25,-0.66,1.99,0.99,3.92,3.27,0.07,3.5,       -,       -,       -,2.49
 MACARRÃO INSTANTÂNEO,0.19,       -,       -,       -,1.17,0.77,       -,       -,       -,1.72,       -,0.27,1.35,2.83,       -,       -,1.04
" TUBÉRCULOS, RAÍZES E LEGUMES",-4.88,-5.67,5.32,0.81,6.13,13.26,4.37,7.4,-0.35,5.72,5.67,7.1,-7.01,-3.08,-6.57,-2.08,2.46
 BATATA-DOCE,5.09,       -,       -,6.16,-6.9,       -,       -,       -,1.33,       -,-11.26,       -,       -,-14.82,       -,       -,-2.38
 BATATA-INGLESA,-11.21,-23.76,-9.74,-8.67,-5.81,-2.66,-12.03,-16.69,-17.46,-12.49,-9.95,-13.05,-25.09,-6.03,-13.81,-10.45,-12.03
 INHAME,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-3.61,       -,       -,       -,3.02,1.47
 MANDIOCA (AIPIM),       -,       -,9.02,6.86,       -,6.44,       -,       -,0.25,       -,       -,       -,6.43,1.85,       -,       -,6.43
 ABOBRINHA,       -,       -,       -,       -,31.47,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,31.47
 PEPINO,       -,       -,       -,       -,       -,       -,       -,       -,       -,44.74,       -,       -,       -,       -,       -,       -,44.74
 PIMENTÃO,       -,       -,       -,       -,15.55,5.79,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,14.57
 TOMATE,7.34,13.04,19.9,11.26,22.85,34,18.65,30.13,13.43,32.45,20.24,23.8,7.81,12.38,-0.71,11.41,18.65
 CEBOLA,-22.64,-6.02,-13.47,-20.27,-17.2,-29.46,-13.51,-0.03,-4.25,-9.83,-7.32,-26.39,-22.66,-18.44,-12.85,-19.33,-13.51
 CENOURA,14.19,-4.24,37.58,25.89,3.57,41.57,13.02,15.49,4.68,3.93,10.76,32.35,       -,       -,       -,3.84,13.01
 AÇÚCARES E DERIVADOS,1.58,-0.35,0.47,1.07,1.27,0.59,-0.59,2.37,2.74,3.39,0.81,1.43,1.56,0.78,-0.66,1.08,1.24
 AÇÚCAR REFINADO,4.27,2.15,       -,1.73,6.16,2.71,0.88,2.51,-0.25,9.34,       -,       -,       -,1.52,0.99,       -,4.65
 AÇÚCAR CRISTAL,       -,0.28,0.15,1.35,       -,-0.23,-0.67,3.92,6.88,7.73,3.19,3.05,2.72,0.53,-3.44,1,2.21
 BALAS,       -,1.92,       -,       -,       -,1.43,       -,       -,       -,2.83,-0.13,       -,1.11,       -,       -,       -,1.99
 CHOCOLATE EM BARRA E BOMBOM,-2.59,-2.94,2.77,-1,-0.77,0.89,-1.29,2.06,-0.69,2.33,0.01,-0.47,-1.62,-1.15,3.88,3.56,-0.39
 SORVETE,0.1,1.52,-2.03,1.78,0.72,-1.17,-1.84,0.15,-0.9,-0.09,-1.74,0.09,2.68,       -,       -,2.87,0.15
 CHOCOLATE E ACHOCOLATADO EM PÓ,1.56,-0.81,1.77,1.08,1.03,3.03,-0.85,-1.09,-0.45,2.17,-0.07,0.59,-0.22,2.39,-2.02,-2.79,0.89
 DOCE DE FRUTAS EM PASTA,       -,       -,       -,0.37,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.37
 AÇÚCAR DEMERARA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.13,-0.13
 HORTALIÇAS E VERDURAS,1.02,-7.73,0.75,-8.61,-6.35,-1.72,-1.31,-2.15,-3.6,4.6,0.26,4.09,1.33,0.58,-4.17,-3.22,-3.4
 ALFACE,0.76,-9.86,-0.25,-14.12,-10.15,-2.44,-6.35,-1.14,-8.4,0.27,1.62,4.76,2.66,0.48,0.51,-3.76,-6.36
 COENTRO,       -,       -,       -,-4.3,       -,       -,       -,       -,-6.33,       -,       -,       -,       -,       -,       -,-4.79,-5.55
 COUVE,-3.68,       -,1.5,       -,-6.93,       -,       -,       -,       -,       -,       -,1.2,       -,2.03,       -,2,-4.4
 COUVE-FLOR,-0.97,       -,       -,       -,       -,-1.72,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.12
 REPOLHO,       -,-5.87,       -,       -,2.89,       -,       -,       -,1.33,3.22,4.18,       -,-1.73,       -,-14.44,       -,0.48
 CHEIRO-VERDE,2.55,2.94,3.43,-9.21,-6.03,2.44,-0.59,-2.47,3.86,9.02,-10.17,6.14,-0.58,0.28,-1.34,       -,-0.6
 BRÓCOLIS,5.16,-10.05,1.72,       -,3.98,-5.17,1.92,       -,       -,11.49,       -,0.62,       -,       -,       -,       -,1.92
 FRUTAS,-1.21,-0.4,3.05,-0.28,-1.76,1.66,-0.48,-0.13,1.32,-0.96,-4.61,2.13,4.73,2.58,-4.93,-4.09,-0.58
 BANANA-DA-TERRA,       -,       -,       -,3.86,       -,       -,       -,       -,5.2,       -,       -,9.2,       -,-1.35,       -,       -,5.32
 ABACAXI,2.91,7.8,       -,-14.76,       -,       -,-1.03,       -,       -,       -,-3.83,-1.58,4.19,       -,       -,-12.71,-1.03
 ABACATE,       -,       -,       -,       -,       -,       -,16.34,       -,       -,       -,       -,       -,       -,16.36,       -,       -,16.34
 BANANA-D'ÁGUA,-1,-1.25,19.55,       -,0.06,0.89,       -,       -,       -,-5.37,       -,       -,12.17,       -,0.88,       -,0.88
 BANANA-MAÇÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.83,       -,1.91,       -,       -,       -,1.85
 BANANA-PRATA,-5.52,-4.88,-0.52,-0.47,-2.08,-2.79,-3.2,-1.66,-2.43,-6.19,-8.66,-5.73,       -,-0.31,-6.35,-6.26,-3.2
 LARANJA-BAÍA,       -,4.29,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.29
 LARANJA-LIMA,       -,       -,2.18,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.18
 LIMÃO,-10.61,       -,       -,       -,1.56,4.01,       -,       -,       -,       -,-7.95,-12.3,       -,11.57,       -,       -,-0.76
 MAÇÃ,-1.04,0.49,3.28,5.23,-0.48,11.15,1.74,5.68,4.69,2.83,-0.33,5.21,6.81,1.73,-1.49,-5.71,1.73
 MAMÃO,0.46,0.76,14.21,9.66,-6.61,4.72,       -,4.53,-3.63,-0.29,5.06,-0.99,3.57,4.6,       -,1.89,-0.63
 MANGA,-0.72,-1.09,8.46,       -,-0.26,0.68,       -,8.13,1.53,-3.99,       -,14.34,       -,       -,       -,6.32,0.68
 MARACUJÁ,       -,       -,       -,       -,       -,       -,       -,-9.26,-3.14,       -,       -,       -,       -,       -,       -,-1.62,-4.85
 MELANCIA,       -,       -,-11.37,3.03,       -,-5.18,-5.19,       -,5.73,-5.89,-13.54,       -,1.04,-0.21,-15.76,       -,-5.19
 MELÃO,12.4,       -,       -,0.28,       -,3.65,5.87,       -,       -,6.15,       -,       -,       -,       -,5.88,       -,5.87
 PERA,       -,       -,       -,       -,-2.25,       -,       -,       -,       -,       -,-6.53,5.87,       -,       -,       -,       -,-2.39
 TANGERINA,       -,       -,       -,       -,-3.23,       -,       -,       -,       -,-3.23,       -,       -,       -,       -,       -,       -,-3.23
 UVA,0.59,-0.42,-5.8,-2.37,-5.67,-1.6,-1.63,-1.61,5.74,5,2.42,11.08,-0.02,0.32,-1.62,-5.04,-1.63
 LARANJA-PERA,1.34,       -,2.35,-9.42,0.93,1.39,-0.38,-3.38,-1.28,2.9,-11.39,-6.65,-3.39,12.48,-7.57,-9.07,-0.38
 MORANGO,       -,-1.1,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.1
 GOIABA,       -,       -,       -,       -,       -,       -,-0.44,-1.81,       -,       -,       -,       -,       -,       -,       -,3.37,-0.44
 CARNES,1.27,0.42,-0.57,1.78,0.08,1.89,1.02,1.31,0.16,3.88,-0.05,-0.95,2.64,-0.01,1.39,1.48,0.77
 FÍGADO,       -,       -,       -,2.56,       -,       -,0.3,-0.04,3.04,       -,       -,       -,       -,       -,0.61,       -,1.75
 CARNE DE PORCO,-0.93,-2.97,-0.97,2.19,-3.76,1.82,-1.31,1.83,1.9,-0.53,2.56,-1.89,3.63,0.25,-4.87,-1.72,-1.31
 CARNE DE CARNEIRO,       -,       -,       -,       -,       -,       -,       -,1.32,       -,       -,       -,       -,       -,       -,       -,       -,1.32
 CUPIM,       -,       -,       -,-1.63,       -,       -,       -,       -,       -,       -,-5.59,       -,       -,       -,       -,       -,-3.68
 CONTRAFILÉ,0.2,1.18,0.17,2.8,0.37,5.99,0.9,1.71,-0.05,3.51,-0.36,0.32,2.93,-1.74,3.7,1.2,0.9
 FILÉ-MIGNON,2.46,       -,       -,       -,       -,       -,3.21,       -,       -,4.4,       -,       -,       -,1.05,       -,       -,3.21
 CHÃ DE DENTRO,0.89,1.89,-0.97,1.1,0.11,-2.58,1.87,0.95,-0.9,5.46,-0.27,-2.38,0.94,-0.55,1.6,2.62,0.73
 ALCATRA,2.77,2.91,0.91,3.34,-2.12,4.59,1.32,1.97,0.74,6.86,-4.57,2.11,4.88,2.38,0.74,-1.5,1.31
 PATINHO,1.18,       -,-0.66,-1.5,0.47,       -,0.8,0.72,       -,3.99,2.19,-0.77,-2.58,1.42,2.75,2.36,0.8
 LAGARTO REDONDO,       -,       -,       -,       -,       -,       -,1.02,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.02
 LAGARTO COMUM,       -,0.66,       -,       -,0.05,       -,       -,       -,2.04,       -,1.04,       -,2.77,-1.17,       -,       -,0.76
 MÚSCULO,1.81,0.6,0.62,0.11,1.73,       -,2.5,       -,3.45,12.7,-0.27,       -,5.96,1.6,2.51,3.99,2.5
 PÁ,       -,2.47,0.15,2.49,4.19,       -,2.6,       -,       -,       -,       -,-2.94,2.95,0.71,0.43,1.09,2.6
 ACÉM,0.18,0.89,-1.38,0.79,1.54,3.75,1.09,1.79,0.04,3.28,1.11,-0.65,7.28,1.05,-0.05,1.9,1.09
 PEITO,       -,       -,       -,       -,       -,       -,1.02,       -,       -,       -,       -,       -,-3.33,-2.89,5.12,-0.31,0.72
 CAPA DE FILÉ,       -,       -,       -,       -,       -,       -,-3.3,       -,-4.3,-4.83,       -,0.09,-0.76,-0.01,       -,       -,-3.3
 COSTELA,1.46,-1.79,-1.73,3.87,1.11,0.56,0.78,2.21,-1.42,4.37,1.75,-2.25,2.02,0.92,2.18,2.62,0.78
 PICANHA,       -,3.71,-1.21,       -,       -,-1.06,       -,-1.12,       -,       -,       -,       -,       -,       -,       -,       -,0.42
 PESCADOS,0.88,0.94,1.13,0.48,1.05,-0.9,-0.63,1.97,1.09,1.4,0.95,1.09,0.89,-0.02,0.79,-0.12,0.63
 PEIXE-ANCHOVA,       -,       -,       -,0.48,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.48
 PEIXE-CORVINA,1.4,       -,       -,-0.41,       -,       -,       -,       -,0.63,       -,       -,       -,       -,       -,0.73,-1.32,0.73
 PEIXE-TAINHA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.79,       -,0.79
 PEIXE-SARDINHA,       -,0.94,       -,2.93,       -,       -,       -,       -,1.73,       -,       -,       -,       -,       -,       -,       -,1.7
 CAMARÃO,-0.3,-0.29,       -,-0.28,       -,-2.5,-0.26,0.37,2.22,0.21,-0.24,1.92,       -,       -,-0.25,-0.27,-0.09
 PEIXE-CAVALA,       -,       -,       -,       -,       -,       -,       -,3.06,       -,       -,       -,       -,       -,       -,       -,       -,3.06
 PEIXE-CAÇÃO,       -,       -,       -,       -,-1.02,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.02
 PEIXE-MERLUZA,       -,       -,0.37,1.17,1.39,       -,       -,       -,1.37,       -,0.53,       -,       -,       -,       -,       -,1.17
 PEIXE-SERRA,       -,       -,       -,       -,       -,       -,       -,1.97,       -,       -,       -,       -,       -,       -,       -,       -,1.97
 PEIXE-PESCADA,       -,       -,       -,       -,1.05,       -,-0.94,       -,       -,       -,       -,       -,       -,       -,0.1,0.07,-0.15
 CARANGUEJO,0,       -,       -,       -,       -,       -,0,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.0
 PEIXE-CASTANHA,       -,       -,       -,-2.21,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.21
 PEIXE-PALOMBETA,       -,       -,       -,       -,       -,       -,       -,1.46,       -,       -,       -,       -,       -,       -,       -,       -,1.46
 PEIXE-CURIMATÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.02,       -,       -,-0.02
 PEIXE-SALMÃO,1.57,       -,       -,       -,1.58,-0.9,       -,0,4.09,       -,       -,       -,       -,       -,       -,       -,1.58
 PEIXE-TILÁPIA,       -,1.74,1.34,1.46,1.48,-0.37,       -,2.42,-1.79,1.62,2.65,2.99,1.47,       -,       -,1.43,1.46
 PEIXE-TAMBAQUI,       -,       -,       -,       -,       -,-0.9,-0.63,       -,       -,       -,0.95,       -,1.67,-0.02,1.68,       -,0.61
 PEIXE-DOURADA,       -,       -,       -,       -,       -,       -,-0.63,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.63
 PEIXE-FILHOTE,       -,       -,       -,       -,       -,-0.9,-0.63,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.68
 PEIXE-PEROÁ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.81,       -,       -,       -,       -,-0.81
 PEIXE-PINTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.53,       -,       -,       -,-1.53
 PEIXE-ARUANÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.95,       -,       -,       -,       -,       -,0.95
 CARNES E PEIXES INDUSTRIALIZADOS,1.08,1.1,2.4,1.55,3.44,1.51,4.67,2.9,0.11,4,4.68,3.32,0.72,1.73,1.65,-0.14,2.48
 PRESUNTO,0.01,-0.02,2.82,       -,2.33,3.61,       -,1.01,1.3,6.85,2.48,2.02,-2.86,2.56,       -,-2.67,2.02
 SALSICHA,       -,-1.71,       -,7.54,3.72,       -,       -,       -,       -,5.91,       -,       -,       -,-3.09,       -,       -,3.24
 LINGUIÇA,0.8,2.24,2.97,1.54,4.03,0.6,4.3,4.73,-2.54,2.92,4.45,4.12,0.87,3.03,3.55,-0.85,2.92
 MORTADELA,1.95,       -,1.32,-1.38,1.07,       -,       -,1.68,       -,3.63,5.21,       -,4.73,       -,       -,       -,1.69
 SALAME,       -,2.51,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.51
 BACALHAU,1.65,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.65,       -,1.65
 CARNE-SECA E DE SOL,1.99,       -,       -,1.04,       -,1.29,4.86,-0.35,1.14,       -,       -,0.94,       -,       -,-1.5,0.66,1.76
 CARNE DE PORCO SALGADA E DEFUMADA,       -,       -,-0.62,       -,       -,       -,       -,       -,       -,       -,7.96,1.19,       -,       -,       -,       -,1.32
 AVES E OVOS,4.53,-0.4,2.55,2.39,4.82,2.92,1.19,1.79,1.17,3.4,2.01,3.28,2.11,0.41,2.19,2.55,2.84
 FRANGO INTEIRO,1.37,2.05,2.1,3.71,0.01,1.63,1.62,1.68,1.34,-0.88,3.44,2.39,0.03,0.9,2.43,1.81,1.62
