"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - JANEIRO DE 2021",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.18,0.25,0.33,0.5,0.24,0.05,-0.03,0.36,0.26,0.44,-0.17,0.44,0.53,0.44,0.29,0.39,0.25
 ALIMENTAÇÃO E BEBIDAS,1.18,0.65,1.29,1.55,0.79,1.22,0.95,1.21,1.08,1.53,0.5,0.9,0.63,2,1.05,1.61,1.02
 ALIMENTAÇÃO NO DOMICÍLIO,1.36,0.46,1.48,2.04,0.8,1.44,1.07,1.25,0.85,1.62,0.29,0.7,0.65,2.19,0.98,1.87,1.06
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",0.48,2.56,0.93,1.73,0.56,1.05,-0.6,2.1,-0.14,-0.87,-0.06,-0.58,0.51,0.59,1.08,0.93,0.64
 ARROZ,-0.57,1.66,0.39,0.4,0.36,0.8,-0.98,1.93,0.24,-1.43,0.03,-1.91,0.62,0.2,0.93,-0.06,0.24
 FEIJÃO-MULATINHO,       -,       -,       -,1.38,       -,       -,       -,       -,1.26,       -,       -,       -,       -,       -,1.71,       -,1.38
 FEIJÃO-PRETO,2.86,5.64,       -,       -,       -,-1.61,2.81,       -,       -,2.03,       -,4.32,       -,       -,       -,       -,3.25
 FEIJÃO-MACÁÇAR (FRADINHO),       -,       -,       -,3.4,       -,       -,       -,2.66,       -,       -,       -,       -,       -,       -,       -,       -,2.8
 FEIJÃO-CARIOCA (RAJADO),       -,       -,2.83,4.5,1.24,3.22,-1.06,       -,-2.19,       -,-0.42,       -,-0.3,2.97,3,2.76,1.27
 MILHO (EM GRÃO),       -,2.64,       -,       -,       -,-0.18,       -,       -,       -,-0.35,       -,       -,       -,       -,       -,       -,0.82
" FARINHAS, FÉCULAS E MASSAS",2.8,2.73,1.71,2.39,-1.42,-0.52,0.78,0.44,-0.76,1.28,1.54,-0.46,0.66,1.15,-0.21,2.1,0.64
 FARINHA DE ARROZ,       -,       -,       -,-1.73,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.73
 MACARRÃO,5.07,2.42,1.42,4.21,-1.84,-5.17,3.18,-0.45,-0.25,1.49,4.57,1.23,1.5,1.31,-7.37,3.62,0.93
 FUBÁ DE MILHO,       -,       -,       -,1.59,       -,       -,       -,2.49,       -,       -,       -,       -,       -,       -,-1.12,2.42,1.4
 FLOCOS DE MILHO,       -,       -,       -,-1.36,       -,-1.9,       -,       -,       -,       -,       -,       -,       -,       -,1.87,1.34,-0.86
 FARINHA DE TRIGO,       -,3.56,1.73,       -,-0.02,       -,       -,       -,1.77,-0.27,-0.82,0.45,2.19,       -,       -,       -,1.14
 FARINHA DE MANDIOCA,1.25,       -,3.38,5.39,-2.12,1.83,0.41,0.55,-2.63,       -,0.62,-3.6,       -,1.48,1.52,1.56,0.41
