"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - ABRIL DE 2021",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.56,0.19,0.37,0.48,0.14,0.05,0.7,0.75,0.09,0.46,0.2,0.38,0.46,0.96,0.43,0.75,0.31
 ALIMENTAÇÃO E BEBIDAS,0.19,0.63,0.28,0.46,0.43,0.35,0.6,0.26,0.53,0,0.6,-0.2,1.22,1.25,0.73,0.31,0.4
 ALIMENTAÇÃO NO DOMICÍLIO,0.03,0.59,0.2,0.56,0.71,-0.14,0.76,-0.02,0.56,0.17,0.48,-0.28,1.52,1.12,0.95,0.41,0.47
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",2.36,-0.22,-1.3,-1.26,0.17,2.24,-0.6,-2.01,0.6,2.22,-0.04,-0.23,-0.61,-0.64,-0.41,-1.39,0.11
 ARROZ,0.66,-1.51,-0.82,-1.37,-0.37,2.48,-0.88,-3.22,-0.09,1.49,-0.28,-0.47,-1.06,-1.13,-1.16,-1.95,-0.5
 FEIJÃO-MULATINHO,       -,       -,       -,-1.26,       -,       -,       -,       -,5.2,       -,       -,       -,       -,       -,9.89,       -,3.74
 FEIJÃO-PRETO,5.97,3.49,       -,       -,       -,-1.58,-3.27,       -,       -,3.49,       -,0.56,       -,       -,       -,       -,3.85
 FEIJÃO-MACÁÇAR (FRADINHO),       -,       -,       -,0.75,       -,       -,       -,1.48,       -,       -,       -,       -,       -,       -,       -,       -,1.34
 FEIJÃO-CARIOCA (RAJADO),       -,       -,-2.89,-1.84,2.02,1.95,2.18,       -,0.32,       -,0.89,       -,2.36,2.03,1.07,-0.42,0.64
 MILHO (EM GRÃO),       -,0.59,       -,       -,       -,4.6,       -,       -,       -,6.54,       -,       -,       -,       -,       -,       -,3.95
" FARINHAS, FÉCULAS E MASSAS",-1.11,1.99,0.94,-0.06,1.04,0.05,0.24,0.14,1.77,2.49,2.4,1.86,-0.56,0.43,2.13,2.56,0.99
 FARINHA DE ARROZ,       -,       -,       -,-0.73,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.73
 MACARRÃO,-0.96,3.63,0.92,-0.09,2.9,-1.79,2.36,1.73,1.64,1.78,0.76,1.46,-1.64,-0.07,2.89,4.87,1.64
 FUBÁ DE MILHO,       -,       -,       -,5.25,       -,       -,       -,1.08,       -,       -,       -,       -,       -,       -,-0.22,1.61,2.65
 FLOCOS DE MILHO,       -,       -,       -,-1.01,       -,-0.28,       -,       -,       -,       -,       -,       -,       -,       -,2.98,-0.04,-0.2
 FARINHA DE TRIGO,       -,1.39,3.13,       -,4.63,       -,       -,       -,3.87,2.04,1.09,1.32,1.99,       -,       -,       -,2.8
 FARINHA DE MANDIOCA,-2.19,       -,-0.27,-1.88,3.09,-1.35,-0.42,-1.28,1.17,       -,4.83,-0.77,       -,0.85,2.27,2.7,0.35
 MASSA SEMIPREPARADA,-1.1,1.23,0.47,       -,-2.55,-0.01,1.34,-1.73,2.26,3.88,2.51,4.36,0.37,       -,       -,       -,-0.05
 MACARRÃO INSTANTÂNEO,-0.24,       -,       -,       -,0.83,8.11,       -,       -,       -,1.48,       -,1.7,-2.59,-0.41,       -,       -,0.89
" TUBÉRCULOS, RAÍZES E LEGUMES",-1.95,-5.3,2.45,2.19,1.36,0.7,-0.15,-3.63,-3.2,-8.25,-2,-1.95,3.31,-1.81,3.69,-1.88,-0.82
 BATATA-DOCE,-18.75,       -,       -,-1.05,-2.89,       -,       -,       -,-3.53,       -,0.66,       -,       -,-10.36,       -,       -,-5.5
 BATATA-INGLESA,1.86,-13.74,-12.51,0.83,-4.63,-9.78,-7.96,-7.55,-10.96,-16.98,-7.92,-5.44,-0.31,-7.71,-9.63,-14.67,-7.96
 INHAME,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-14.27,       -,       -,       -,2.74,-1.7
 MANDIOCA (AIPIM),       -,       -,4.4,-1.9,       -,2.98,       -,       -,7.91,       -,       -,       -,2.97,1.23,       -,       -,2.97
 ABOBRINHA,       -,       -,       -,       -,-21.93,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-21.93
 PEPINO,       -,       -,       -,       -,       -,       -,       -,       -,       -,-5.19,       -,       -,       -,       -,       -,       -,-5.19
 PIMENTÃO,       -,       -,       -,       -,20.21,16.11,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,19.76
 TOMATE,4.33,-0.31,17.24,13.69,7.72,8.11,5.46,1.43,0.18,-4.59,-1.01,-2.76,5.49,2.75,4.65,4.07,5.46
 CEBOLA,-5.16,0.79,11.42,-0.74,6.27,-5.36,2.38,-2.19,-1.2,1.86,5.27,7.03,3.55,-1.26,7.87,-0.97,2.38
