"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - JUNHO DE 2021",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.24,0.79,0.42,0.92,0.53,0.17,0.24,0.59,0.86,0.61,0.54,0.59,0.66,0.78,0.3,0.46,0.53
 ALIMENTAÇÃO E BEBIDAS,0.32,1.05,-0.15,0.69,0.49,-0.24,-0.18,0.36,1.02,0.39,0.54,0.36,0.69,0.3,0.16,0.17,0.43
 ALIMENTAÇÃO NO DOMICÍLIO,0.16,0.97,-0.4,1.06,0.23,-0.67,-0.23,0.57,1.18,0.51,0.23,0.62,0.91,0.47,0.38,0.14,0.33
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-0.16,-0.16,-1.55,-1.05,0.89,-0.94,-5.27,-0.61,-0.43,-3.53,-1.22,-0.92,-0.96,-1.48,-0.75,-1,-0.73
 ARROZ,-0.34,-1.04,-1.07,-0.64,0.25,-1.07,-4.51,-0.32,-1.71,-4.28,-2.21,-1.43,-1.26,-1.5,-0.98,-1.01,-1.06
 FEIJÃO-MULATINHO,       -,       -,       -,1.27,       -,       -,       -,       -,0.97,       -,       -,       -,       -,       -,1.92,       -,1.27
 FEIJÃO-PRETO,0.2,2.59,       -,       -,       -,-0.91,-5.83,       -,       -,-1.72,       -,0.79,       -,       -,       -,       -,-0.03
 FEIJÃO-MACÁÇAR (FRADINHO),       -,       -,       -,-13.16,       -,       -,       -,-1.36,       -,       -,       -,       -,       -,       -,       -,       -,-3.53
 FEIJÃO-CARIOCA (RAJADO),       -,       -,-3.19,1.99,2.99,-0.6,-7.76,       -,3.06,       -,2.59,       -,1.01,-1.41,-0.39,-0.98,0.78
 MILHO (EM GRÃO),       -,-1.13,       -,       -,       -,-0.53,       -,       -,       -,0.14,       -,       -,       -,       -,       -,       -,-0.43
