"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - SETEMBRO DE 2021",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,1.22,1.53,1.34,1.1,1.01,0.79,1.04,1.22,1.11,1.54,0.81,1.24,1.25,1.56,1.01,1.19,1.16
 ALIMENTAÇÃO E BEBIDAS,1.76,0.35,1.55,0.51,1.13,1.14,-0.21,1.15,0.54,1.22,0.87,1.6,1.11,1.17,0.72,1.07,1.02
 ALIMENTAÇÃO NO DOMICÍLIO,2.32,0.23,2.1,0.69,1.32,1.48,-0.63,1.45,0.52,1.28,1.16,1.81,1.19,1.46,0.66,1.23,1.19
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",0.76,-3.04,-1.12,-2.13,0.48,-2.95,-5.27,-1.18,-1.21,-1.12,0.07,0.3,-2.78,-0.43,-1.92,-1.03,-0.88
 ARROZ,1.09,-2.62,-0.81,-3.67,0.19,-3.85,-5.28,-1.39,-0.74,-2.36,0.35,0.29,-2.85,-0.43,-1.87,-1.23,-0.97
 FEIJÃO-MULATINHO,       -,       -,       -,-3.04,       -,       -,       -,       -,-2.57,       -,       -,       -,       -,       -,-4.18,       -,-3.04
 FEIJÃO-PRETO,0.11,-5.2,       -,       -,       -,-1.02,-8.35,       -,       -,-1.01,       -,0.31,       -,       -,       -,       -,-1.85
 FEIJÃO-MACÁÇAR (FRADINHO),       -,       -,       -,-0.65,       -,       -,       -,-0.66,       -,       -,       -,       -,       -,       -,       -,       -,-0.66
 FEIJÃO-CARIOCA (RAJADO),       -,       -,-2.11,1.05,1.37,-4.08,-3.51,       -,-1.82,       -,-0.98,       -,-2.31,-0.44,0.24,-0.72,-0.31
 MILHO (EM GRÃO),       -,0.52,       -,       -,       -,9.22,       -,       -,       -,9.62,       -,       -,       -,       -,       -,       -,6.08
" FARINHAS, FÉCULAS E MASSAS",1.44,0.49,0.79,-0.48,1.89,0.59,-0.29,0.52,0.57,0.25,0.2,1.28,1.71,1.39,3.4,0.3,0.93
 FARINHA DE ARROZ,       -,       -,       -,0.29,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.29
 MACARRÃO,0.64,-1.54,0.69,-0.63,2.19,-0.32,-4.77,-0.05,0.07,0.96,-2.43,2.59,1.96,0.5,2.96,0.89,0.47
 FUBÁ DE MILHO,       -,       -,       -,0.59,       -,       -,       -,1.96,       -,       -,       -,       -,       -,       -,0.84,4.36,1.38
 FLOCOS DE MILHO,       -,       -,       -,0.35,       -,-2.02,       -,       -,       -,       -,       -,       -,       -,       -,2.06,-1.56,-0.14
 FARINHA DE TRIGO,       -,1.26,3.34,       -,-0.91,       -,       -,       -,3.29,-2.65,0.88,1.21,3.18,       -,       -,       -,0.32
 FARINHA DE MANDIOCA,3.38,       -,-0.59,-1.95,1.61,0.93,0.7,0.27,-0.65,       -,-0.86,-0.15,       -,1.97,4.29,-0.86,0.7
 MASSA SEMIPREPARADA,2.8,1.49,0.29,       -,1.98,1.62,0.44,1.33,3.79,1.62,3.14,0.61,0.49,       -,       -,       -,1.79
 MACARRÃO INSTANTÂNEO,-1.92,       -,       -,       -,4.3,3,       -,       -,       -,-0.09,       -,0.38,1.54,0.7,       -,       -,1.85
" TUBÉRCULOS, RAÍZES E LEGUMES",8.22,1.74,11.65,-5.91,4.85,8,3.9,3.21,-4.99,10,4.86,2.22,3.81,4.48,-7.29,-1.77,4.15
 BATATA-DOCE,24.6,       -,       -,11.4,29.06,       -,       -,       -,-4.08,       -,25.01,       -,       -,26.88,       -,       -,20.02
 BATATA-INGLESA,4.91,5.39,15.8,1.27,2.94,7,6.33,6.61,5.34,9.78,4.37,5.84,3.17,6.44,-1.96,8.27,6.33
 INHAME,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.77,       -,       -,       -,3.23,3.12
 MANDIOCA (AIPIM),       -,       -,8.64,5.64,       -,6.63,       -,       -,2.99,       -,       -,       -,6.62,1.12,       -,       -,6.63
 ABOBRINHA,       -,       -,       -,       -,-1.58,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.58
 PEPINO,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.07,       -,       -,       -,       -,       -,       -,-0.07
