"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - MARÇO DE 2021",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.78,0.95,1.18,0.62,0.75,1.44,0.8,0.72,0.81,1.33,1.46,1.1,0.96,0.96,0.7,1.09,0.93
 ALIMENTAÇÃO E BEBIDAS,-0.52,0.09,-0.09,0.29,-0.12,1.16,0.3,0.63,0.59,0.96,0.69,-0.51,-0.96,0.2,-0.28,0.7,0.13
 ALIMENTAÇÃO NO DOMICÍLIO,-1.01,0.17,-0.5,0.0,-0.66,0.93,0.3,0.73,0.7,0.67,0.5,-0.98,-1.26,0.27,-0.48,0.6,-0.17
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-2.08,0.11,-1.8,-2.09,-0.55,-2.14,-2.92,0.2,-0.55,-4.07,-2.82,-3.23,-3.92,-1.47,-0.3,1.48,-1.42
 ARROZ,-2.42,-2.17,-3.32,-3.86,-0.22,-3.54,-4.51,-1.58,-0.49,-5.22,-3.33,-4.21,-4.5,-1.86,-1.11,-0.11,-2.13
 FEIJÃO-MULATINHO,0.0,0.0,0.0,-2.09,0.0,0.0,0.0,0.0,-2.73,0.0,0.0,0.0,0.0,0.0,10.2,0.0,-0.32
 FEIJÃO-PRETO,-1.35,6.97,0.0,0.0,0.0,5.65,-0.5,0.0,0.0,0.7,0.0,0.06,0.0,0.0,0.0,0.0,0.86
 FEIJÃO-MACÁÇAR (FRADINHO),0.0,0.0,0.0,1.26,0.0,0.0,0.0,5.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.84
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,3.59,0.74,-1.65,-0.27,2.38,0.0,0.52,0.0,-0.85,0.0,0.13,0.69,3.22,4.37,0.18
 MILHO (EM GRÃO),0.0,2.45,0.0,0.0,0.0,1.74,0.0,0.0,0.0,-1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.32
" FARINHAS, FÉCULAS E MASSAS",0.65,1.68,1.57,-0.01,0.17,-0.86,-0.63,-1.05,0.61,0.0,0.12,-0.25,0.37,0.4,3.13,0.2,0.42
 FARINHA DE ARROZ,0.0,0.0,0.0,-3.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.94
 MACARRÃO,2.63,1.07,3.01,1.33,0.92,3.99,0.8,0.15,1.85,1.73,-0.19,-2.06,-1.87,1.03,5.53,-2.68,1.42
 FUBÁ DE MILHO,0.0,0.0,0.0,1.61,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.68,1.28,1.28
 FLOCOS DE MILHO,0.0,0.0,0.0,1.84,0.0,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.16,4.43,2.85
 FARINHA DE TRIGO,0.0,2.93,1.07,0.0,0.53,0.0,0.0,0.0,2.05,-0.07,-0.37,1.84,3.8,0.0,0.0,0.0,1.27
 FARINHA DE MANDIOCA,2.51,0.0,1.71,-2.47,2.37,-2.98,-1.14,-3.46,-0.62,0.0,1.03,0.33,0.0,-0.86,2.07,-0.16,-0.27
 MASSA SEMIPREPARADA,-1.43,1.33,-0.32,0.0,-1.15,-1.99,0.76,0.05,0.22,-2.09,-0.14,-1.66,-0.65,0.0,0.0,0.0,-0.67
 MACARRÃO INSTANTÂNEO,-1.59,0.0,0.0,0.0,0.01,-2.12,0.0,0.0,0.0,1.26,0.0,3.06,2.43,4.93,0.0,0.0,0.08
" TUBÉRCULOS, RAÍZES E LEGUMES",-14.81,-11.67,-9.96,-5.39,-10.0,-3.9,-9.56,-2.6,-7.01,2.7,-3.1,-17.59,-15.09,-6.73,1.11,-3.23,-8.55
 BATATA-DOCE,-4.99,0.0,0.0,3.61,-8.62,0.0,0.0,0.0,6.08,0.0,-5.82,0.0,0.0,5.85,0.0,0.0,-4.51
 BATATA-INGLESA,-15.39,-18.6,-9.45,-15.92,-4.18,-0.15,-8.81,-11.47,-7.91,0.74,4.39,-12.18,-18.66,-12.62,-9.73,-15.28,-8.81
 INHAME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.62,0.0,0.0,0.0,2.72,-0.2
 MANDIOCA (AIPIM),0.0,0.0,0.17,13.67,0.0,4.17,0.0,0.0,-0.14,0.0,0.0,0.0,4.16,-0.99,0.0,0.0,4.16
 ABOBRINHA,0.0,0.0,0.0,0.0,-13.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.47
 PEPINO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.92,0.0,0.0,0.0,0.0,0.0,0.0,6.92
 PIMENTÃO,0.0,0.0,0.0,0.0,0.68,-0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58
 TOMATE,-23.92,-13.97,-17.59,-21.03,-13.96,-9.27,-14.12,-4.65,-17.54,7.31,-10.45,-24.51,-25.5,-17.56,-0.37,-7.75,-14.12
 CEBOLA,-6.4,1.57,-1.19,7.65,-11.9,2.29,-1.87,6.91,0.43,0.94,3.86,-3.01,-1.79,5.14,8.37,11.23,-1.87
 CENOURA,-14.41,-5.98,-8.42,-0.2,-14.73,-8.89,-9.4,-4.02,-9.62,-0.64,1.14,-30.36,0.0,0.0,0.0,-5.42,-9.4
 AÇÚCARES E DERIVADOS,0.6,0.8,1.42,-0.47,-0.22,0.68,3.95,-0.28,0.94,0.2,0.22,1.34,-0.03,-0.3,0.5,1.6,0.47
 AÇÚCAR REFINADO,1.13,4.44,0.0,0.51,2.57,-0.41,6.7,2.65,-0.31,1.56,0.0,0.0,0.0,-1.84,1.83,0.0,2.34
 AÇÚCAR CRISTAL,0.0,1.75,3.33,-0.05,0.0,3.9,5.14,-1.4,1.34,-0.36,0.34,1.47,4.03,-0.53,0.36,2.14,1.76
 BALAS,0.0,-0.15,0.0,0.0,0.0,-1.34,0.0,0.0,0.0,-2.03,0.67,0.0,-2.95,0.0,0.0,0.0,-1.07
 CHOCOLATE EM BARRA E BOMBOM,-0.46,-0.9,-0.38,-3.27,-1.24,-0.39,2.25,-5.06,-1.1,-0.64,0.84,-1.33,-2.21,0.19,-5.39,-1.81,-1.01
 SORVETE,0.1,0.96,1.39,0.48,0.61,0.26,0.09,1.68,4.28,1.51,-0.66,4.37,-2.79,0.0,0.0,4.19,0.8
 CHOCOLATE E ACHOCOLATADO EM PÓ,1.04,2.27,-0.66,0.55,-2.15,1.61,2.73,1.77,-0.46,1.09,0.71,2.78,-1.06,1.7,3.41,-1.2,-0.19
 DOCE DE FRUTAS EM PASTA,0.0,0.0,0.0,-3.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.38
 AÇÚCAR DEMERARA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,2.3
 HORTALIÇAS E VERDURAS,-3.08,4.67,0.46,-0.84,1.57,-1.3,0.53,4.09,1.6,5.17,6.87,-1.92,0.52,2.57,3.12,0.09,1.68
 ALFACE,1.41,4.63,1.29,8.41,1.68,-3.36,2.36,3.71,-0.01,6.37,6.32,-2.22,2.37,2.06,3.91,-6.08,2.36
 COENTRO,0.0,0.0,0.0,-6.8,0.0,0.0,0.0,0.0,3.16,0.0,0.0,0.0,0.0,0.0,0.0,3.9,-0.44
 COUVE,-5.87,0.0,0.76,0.0,4.38,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,-1.23,0.0,2.22,1.83
 COUVE-FLOR,-4.19,0.0,0.0,0.0,0.0,-4.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.29
 REPOLHO,0.0,6.97,0.0,0.0,5.4,0.0,0.0,0.0,3.96,2.21,22.3,0.0,-7.29,0.0,16.4,0.0,5.93
