"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - OUTUBRO DE 2021",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,1.16,1.14,1.22,1.09,1.34,1.25,0.64,0.96,1.22,1.45,1.53,1.53,1.05,0.99,1.38,1.14,1.25
 ALIMENTAÇÃO E BEBIDAS,1.49,0.01,1.54,1.16,1.26,1.74,0.38,0.85,1.03,0.93,2.13,2.48,1.4,1.41,1.77,0.79,1.17
 ALIMENTAÇÃO NO DOMICÍLIO,1.85,-0.12,1.6,1.15,1.25,2.38,0.51,1.01,1.57,1.51,2.02,2.88,1.34,1.62,2.08,1.16,1.32
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-0.04,-2.9,-0.73,0.49,-2.3,0.53,-0.88,-0.9,-0.8,-1.64,-3.02,-0.63,-0.23,-0.79,-1.22,-1.99,-1.38
 ARROZ,-0.04,-2.6,-1.31,2.64,-2.34,0.19,-0.67,-0.66,-0.27,-2.56,-2.58,-0.64,-0.33,-0.51,-1.38,-1.24,-1.42
 FEIJÃO-MULATINHO,       -,       -,       -,0.49,       -,       -,       -,       -,-4.04,       -,       -,       -,       -,       -,-0.94,       -,-1.89
 FEIJÃO-PRETO,-0.05,-4.67,       -,       -,       -,0.28,-2.05,       -,       -,-1.15,       -,-0.6,       -,       -,       -,       -,-1.34
 FEIJÃO-MACÁÇAR (FRADINHO),       -,       -,       -,-2.51,       -,       -,       -,-1.52,       -,       -,       -,       -,       -,       -,       -,       -,-1.7
 FEIJÃO-CARIOCA (RAJADO),       -,       -,1.16,-2.61,-2.18,0.96,-1.01,       -,-0.44,       -,-4.66,       -,0.42,-2.28,0.99,-3.21,-1.47
 MILHO (EM GRÃO),       -,0.17,       -,       -,       -,2.9,       -,       -,       -,4.83,       -,       -,       -,       -,       -,       -,2.89
