"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - DEZEMBRO DE 2021",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.7,0.83,0.75,1.05,0.7,0.46,0.95,0.55,1.04,0.51,0.58,0.73,0.47,1.18,0.94,0.92,0.73
 ALIMENTAÇÃO E BEBIDAS,1.0,0.42,1.07,0.65,0.84,1.28,0.19,1.06,1.45,0.28,1.47,0.34,0.57,0.63,1.26,1.4,0.84
 ALIMENTAÇÃO NO DOMICÍLIO,0.65,0.6,1.27,1.01,0.67,1.15,0.13,1.11,1.63,-0.2,1.72,0.12,0.56,0.46,1.34,1.88,0.79
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-0.33,-5.1,-2.66,-2.49,-0.88,-3.3,-3.43,0.4,-1.76,-1.86,-3.06,-4.88,-2.12,-1.43,0.47,-2.19,-1.71
 ARROZ,-0.35,-8.0,-1.91,-4.19,-0.41,-3.8,-3.19,0.69,-3.07,-2.06,-3.36,-5.28,-1.85,-1.57,0.61,-0.54,-1.77
 FEIJÃO-MULATINHO,0.0,0.0,0.0,-2.49,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.74,0.0,-0.09
 FEIJÃO-PRETO,-0.29,1.52,0.0,0.0,0.0,-1.81,-2.04,0.0,0.0,-2.2,0.0,-3.64,0.0,0.0,0.0,0.0,-0.51
 FEIJÃO-MACÁÇAR (FRADINHO),0.0,0.0,0.0,2.26,0.0,0.0,0.0,-0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,-5.12,-0.86,-2.24,-3.59,-5.06,0.0,0.39,0.0,-1.88,0.0,-3.76,-0.68,-1.89,-4.8,-2.65
 MILHO (EM GRÃO),0.0,0.54,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.34
" FARINHAS, FÉCULAS E MASSAS",2.52,0.22,-0.57,-1.17,0.4,-0.15,2.32,0.97,2.24,0.06,0.04,0.86,1.25,1.06,1.59,0.53,0.71
 FARINHA DE ARROZ,0.0,0.0,0.0,-3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.25
 MACARRÃO,2.13,2.49,-0.65,-2.71,-0.57,-1.6,0.93,1.34,1.43,2.13,0.63,0.83,1.14,2.96,2.09,0.81,0.59
 FUBÁ DE MILHO,0.0,0.0,0.0,0.33,0.0,0.0,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,3.23,0.36,0.66
 FLOCOS DE MILHO,0.0,0.0,0.0,0.15,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.31,3.47,0.26
 FARINHA DE TRIGO,0.0,-0.24,0.79,0.0,3.44,0.0,0.0,0.0,-0.09,-0.13,-0.61,2.14,2.09,0.0,0.0,0.0,1.07
 FARINHA DE MANDIOCA,3.49,0.0,0.87,-0.15,0.34,0.81,2.47,0.17,4.41,0.0,1.17,2.71,0.0,0.0,1.75,-0.54,1.88
 MASSA SEMIPREPARADA,3.67,-1.1,-1.96,0.0,0.51,-0.57,3.74,3.19,-0.85,-0.85,-1.17,0.02,0.85,0.0,0.0,0.0,0.28
 MACARRÃO INSTANTÂNEO,-0.5,0.0,0.0,0.0,-0.59,-1.16,0.0,0.0,0.0,-3.14,0.0,-1.03,1.1,1.88,0.0,0.0,-0.94
" TUBÉRCULOS, RAÍZES E LEGUMES",-11.71,-2.48,-5.91,4.79,-10.1,-0.72,2.23,2.99,2.35,-10.38,-3.96,-11.71,-4.79,-2.49,5.25,5.43,-5.54
 BATATA-DOCE,-16.65,0.0,0.0,3.76,-8.11,0.0,0.0,0.0,-5.34,0.0,-13.36,0.0,0.0,-11.11,0.0,0.0,-8.47
 BATATA-INGLESA,-26.46,-8.87,-17.88,-6.78,-12.15,-9.8,-4.61,-8.5,-12.75,-17.21,-15.38,-21.62,-25.53,-1.85,4.27,-3.26,-14.55
 INHAME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,-2.43,-1.6
 MANDIOCA (AIPIM),0.0,0.0,4.93,6.04,0.0,3.63,0.0,0.0,1.3,0.0,0.0,0.0,-3.77,-1.14,0.0,0.0,3.63
 ABOBRINHA,0.0,0.0,0.0,0.0,18.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.17
 PEPINO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.97,0.0,0.0,0.0,0.0,0.0,0.0,14.97
 PIMENTÃO,0.0,0.0,0.0,0.0,-19.42,-20.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.54
 TOMATE,0.28,-4.46,-6.61,-4.51,-18.12,0.83,4.01,-4.0,-3.69,-19.56,-6.75,-12.15,-5.92,-6.92,-1.07,4.16,-9.21
 CEBOLA,2.01,9.46,18.56,36.42,23.95,23.61,7.28,32.32,38.23,21.41,25.3,15.53,29.0,11.88,21.87,21.19,20.94
 CENOURA,-8.4,1.21,-3.57,4.36,1.94,-1.8,-0.07,1.05,4.87,7.62,6.73,-14.41,0.0,0.0,0.0,1.95,0.46
 AÇÚCARES E DERIVADOS,0.1,0.28,0.52,3.17,1.64,1.5,0.89,2.13,1.69,0.45,1.03,0.82,0.97,0.33,4.54,1.91,1.18
 AÇÚCAR REFINADO,0.94,1.77,0.0,0.01,1.5,4.1,3.98,2.72,2.44,0.4,0.0,0.0,0.0,1.45,2.37,0.0,1.59
 AÇÚCAR CRISTAL,0.0,-1.36,0.76,5.69,0.0,4.3,0.39,2.84,2.83,2.79,1.11,1.28,2.11,0.29,8.6,3.73,2.09
 BALAS,0.0,-0.42,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.44,2.41,0.0,0.91,0.0,0.0,0.0,0.26
 CHOCOLATE EM BARRA E BOMBOM,-3.05,0.95,0.0,-0.89,1.44,-0.67,-3.21,-2.03,-0.31,0.68,0.03,-0.57,1.45,-0.27,2.47,-2.03,0.56
 SORVETE,0.23,0.67,-0.7,2.71,1.11,0.66,0.45,1.17,0.39,-1.61,-0.56,0.39,-2.89,0.0,0.0,1.19,0.37
 CHOCOLATE E ACHOCOLATADO EM PÓ,0.79,-1.07,1.94,-1.04,3.08,3.37,0.76,3.54,0.2,0.36,3.62,1.5,3.37,-0.5,1.06,-0.18,1.76
 DOCE DE FRUTAS EM PASTA,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53
 AÇÚCAR DEMERARA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.65
 HORTALIÇAS E VERDURAS,1.23,0.21,1.49,-1.82,-1.46,-1.12,0.93,4.84,-0.89,-0.28,3.48,2.29,8.97,-3.18,2.37,9.56,0.08
 ALFACE,9.46,0.08,1.74,2.29,-2.61,-1.18,1.97,3.42,1.15,2.79,2.39,0.21,9.43,-2.41,4.37,6.14,0.26
 COENTRO,0.0,0.0,0.0,-4.25,0.0,0.0,0.0,0.0,-1.8,0.0,0.0,0.0,0.0,0.0,0.0,10.66,-1.56
 COUVE,-5.03,0.0,0.83,0.0,-3.94,0.0,0.0,0.0,0.0,0.0,0.0,1.62,0.0,-0.48,0.0,13.18,-2.64
 COUVE-FLOR,-1.57,0.0,0.0,0.0,0.0,-3.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.97
 REPOLHO,0.0,5.27,0.0,0.0,9.38,0.0,0.0,0.0,-1.42,-8.34,10.6,0.0,11.79,0.0,11.97,0.0,4.97
 CHEIRO-VERDE,-3.68,-0.2,1.13,-2.82,-1.64,0.26,1.21,5.25,-1.28,3.55,1.36,5.77,5.2,-4.51,-2.58,0.0,0.26
 BRÓCOLIS,-0.72,-2.79,1.56,0.0,-1.14,-1.39,-1.73,0.0,0.0,-3.26,0.0,3.41,0.0,0.0,0.0,0.0,-1.39
 FRUTAS,11.52,6.08,13.74,5.62,8.22,9.29,2.82,3.08,8.02,7.78,14.01,9.06,8.02,4.07,6.58,6.41,8.6
 BANANA-DA-TERRA,0.0,0.0,0.0,6.08,0.0,0.0,0.0,0.0,4.41,0.0,0.0,-0.26,0.0,1.45,0.0,0.0,3.93
 ABACAXI,6.57,-2.64,0.0,15.08,0.0,0.0,1.65,0.0,0.0,0.0,13.35,2.25,2.29,0.0,0.0,1.78,5.39
 ABACATE,0.0,0.0,0.0,0.0,0.0,0.0,18.07,0.0,0.0,0.0,0.0,0.0,0.0,8.38,0.0,0.0,16.01
 BANANA-D'ÁGUA,17.47,7.36,22.65,0.0,14.5,9.68,0.0,0.0,0.0,21.31,0.0,0.0,6.65,0.0,14.94,0.0,14.93
 BANANA-MAÇÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.48,0.0,11.6,0.0,0.0,0.0,12.23
 BANANA-PRATA,22.4,9.11,42.94,1.6,12.73,20.69,5.52,1.6,11.83,12.73,34.33,21.68,0.0,16.2,6.45,13.66,17.35
 LARANJA-BAÍA,0.0,11.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.32
 LARANJA-LIMA,0.0,0.0,-12.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.05
 LIMÃO,13.6,0.0,0.0,0.0,9.19,24.29,0.0,0.0,0.0,0.0,7.69,-3.97,0.0,5.1,0.0,0.0,10.51
 MAÇÃ,2.73,-0.91,-2.44,8.43,0.14,-7.13,-3.29,3.31,1.76,0.02,0.58,-0.14,0.52,-5.99,-2.56,-1.4,0.03
 MAMÃO,25.74,23.61,32.88,9.2,28.66,22.08,0.0,3.27,26.17,28.83,40.24,36.36,49.33,4.24,0.0,8.03,26.8
 MANGA,9.45,0.31,9.71,0.0,7.66,0.74,0.0,-0.04,7.56,1.43,0.0,8.7,0.0,0.0,0.0,1.05,6.29
 MARACUJÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.74,11.1,0.0,0.0,0.0,0.0,0.0,0.0,11.86,12.08
 MELANCIA,0.0,0.0,-3.13,1.73,0.0,18.4,1.73,0.0,6.47,5.28,18.29,0.0,10.63,7.47,15.26,0.0,6.75
 MELÃO,-0.03,0.0,0.0,-2.01,0.0,5.97,-5.24,0.0,0.0,-5.46,0.0,0.0,0.0,0.0,7.38,0.0,-0.72
 PERA,0.0,0.0,0.0,0.0,6.93,0.0,0.0,0.0,0.0,0.0,7.54,-1.39,0.0,0.0,0.0,0.0,6.68
 TANGERINA,0.0,0.0,0.0,0.0,3.32,0.0,0.0,0.0,0.0,-1.41,0.0,0.0,0.0,0.0,0.0,0.0,2.32
 UVA,2.4,2.89,10.43,0.46,0.78,2.9,2.69,0.48,0.74,4.89,11.56,3.81,8.77,1.44,2.91,3.08,2.9
 LARANJA-PERA,-6.81,0.0,-12.22,13.2,-4.92,-3.41,5.65,-4.2,4.43,2.27,-5.8,-1.91,-8.05,-1.27,3.14,3.54,-3.72
 MORANGO,0.0,-7.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.99
 GOIABA,0.0,0.0,0.0,0.0,0.0,0.0,2.82,8.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,5.4
 CARNES,0.66,1.48,3.04,2.67,2.4,1.9,-1.87,3.07,1.66,-1.26,3.53,1.2,-0.64,-0.07,-2.93,2.0,1.38
 FÍGADO,0.0,0.0,0.0,2.53,0.0,0.0,-2.33,4.1,-0.26,0.0,0.0,0.0,0.0,0.0,2.45,0.0,0.79
 CARNE DE PORCO,-1.15,1.26,1.65,1.46,4.35,-1.84,3.45,5.18,-0.66,-3.16,1.5,-0.03,2.33,0.28,-4.93,-1.82,1.32
 CARNE DE CARNEIRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.17
 CUPIM,0.0,0.0,0.0,1.93,0.0,0.0,0.0,0.0,0.0,0.0,3.21,0.0,0.0,0.0,0.0,0.0,2.59
 CONTRAFILÉ,-2.96,-0.76,2.45,5.77,5.14,6.07,-3.28,2.85,2.45,-2.44,4.44,-0.02,-0.56,-1.78,-3.24,3.54,1.86
