"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - FEVEREIRO DE 2021",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.38,0.86,0.73,0.77,0.83,1.18,1.41,1.48,0.93,0.92,0.76,1,0.92,1.05,0.83,1.05,0.86
 ALIMENTAÇÃO E BEBIDAS,0.28,0.94,-0.86,-0.21,0.65,0.04,0.99,0.48,0.62,-0.16,-0.2,-0.91,-0.33,0.78,-0.23,-0.15,0.27
 ALIMENTAÇÃO NO DOMICÍLIO,0.21,1.21,-1.25,-0.36,0.95,0.2,1.11,0.22,0.62,-0.46,-0.49,-1.31,-0.69,0.89,-0.43,-0.25,0.28
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-1.49,0.1,-2.13,-1.41,-1.53,-0.67,3.25,-2.35,-2.27,0.14,-1.96,-2.35,-1.75,-1.8,-2.6,-1.73,-1.29
 ARROZ,-2,0.05,-1.59,-1.38,-1.65,-0.65,3.42,-2.94,-3.43,-0.57,-2.22,-3.14,-1.83,-2.13,-2.81,-1.6,-1.52
 FEIJÃO-MULATINHO,       -,       -,       -,-1.41,       -,       -,       -,       -,2.96,       -,       -,       -,       -,       -,2.6,       -,1.25
 FEIJÃO-PRETO,-0.37,0.55,       -,       -,       -,2.12,3.56,       -,       -,3.41,       -,0.4,       -,       -,       -,       -,0.77
 FEIJÃO-MACÁÇAR (FRADINHO),       -,       -,       -,0.06,       -,       -,       -,-0.48,       -,       -,       -,       -,       -,       -,       -,       -,-0.38
 FEIJÃO-CARIOCA (RAJADO),       -,       -,-3.97,-2.04,-1.13,-1.54,2.3,       -,-1.17,       -,-0.94,       -,-1.13,0.13,-3.99,-1.97,-1.52
 MILHO (EM GRÃO),       -,-0.75,       -,       -,       -,-0.85,       -,       -,       -,1.26,       -,       -,       -,       -,       -,       -,0.22
" FARINHAS, FÉCULAS E MASSAS",0.16,2.21,1.8,0.06,-0.17,-1.74,0.2,2.18,1.81,1.7,1.33,0.18,0.06,-0.94,-1.09,0.02,0.7
 FARINHA DE ARROZ,       -,       -,       -,0.43,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.43
 MACARRÃO,-0.07,2.86,3.11,1.1,0.57,-6.67,0.23,0.94,1.54,0.84,2.73,-0.08,0.1,-0.32,-1.23,2.33,1.04
 FUBÁ DE MILHO,       -,       -,       -,-0.86,       -,       -,       -,3.34,       -,       -,       -,       -,       -,       -,1.42,-0.71,0.81
 FLOCOS DE MILHO,       -,       -,       -,-0.71,       -,-0.47,       -,       -,       -,       -,       -,       -,       -,       -,0.68,-1.6,-0.55
 FARINHA DE TRIGO,       -,3.76,-0.16,       -,0.74,       -,       -,       -,1.99,3.59,-0.87,0.49,-1.09,       -,       -,       -,1.88
 FARINHA DE MANDIOCA,-0.32,       -,0.69,-0.33,-2.13,0.03,0.32,3.88,1.73,       -,3.17,-0.98,       -,-2.16,-1.84,-0.27,0.32
 MASSA SEMIPREPARADA,0.38,0.84,1.52,       -,-0.82,-1.32,-0.76,0.32,2.72,1.5,-0.32,0.57,0.07,       -,       -,       -,0.25
 MACARRÃO INSTANTÂNEO,0.77,       -,       -,       -,0.24,-2.85,       -,       -,       -,1.02,       -,0.74,1.19,3.75,       -,       -,0.45
" TUBÉRCULOS, RAÍZES E LEGUMES",-1.6,-1.07,-12.93,-0.37,-3.46,-6.29,-4.06,-1.16,6.1,-14.21,-3.66,-11.27,-8.9,-1.86,-0.73,-3.76,-4.41
 BATATA-DOCE,5.88,       -,       -,-5.29,16.65,       -,       -,       -,-1.31,       -,8.72,       -,       -,8.53,       -,       -,8.83
 BATATA-INGLESA,-6.3,-9.02,-20.53,-10.42,-15.35,-29.52,-14.7,-10.54,-2.92,-22.94,-19.35,-22.27,-26.32,1.59,1.13,-12.99,-14.7
 INHAME,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-10.36,       -,       -,       -,5.19,0.28
 MANDIOCA (AIPIM),       -,       -,-4.73,-6.83,       -,-5.83,       -,       -,-7.5,       -,       -,       -,-5.84,3.35,       -,       -,-5.84
 ABOBRINHA,       -,       -,       -,       -,24.09,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,24.09
 PEPINO,       -,       -,       -,       -,       -,       -,       -,       -,       -,7.25,       -,       -,       -,       -,       -,       -,7.25
 PIMENTÃO,       -,       -,       -,       -,-2.04,-1.35,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.97
