"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - MAIO DE 2021",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.87,1.04,0.79,0.76,0.78,0.27,0.48,1.1,1.12,0.93,0.79,0.74,0.97,0.93,1.1,0.62,0.83
 ALIMENTAÇÃO E BEBIDAS,0.73,0.77,0.24,0.19,0.24,-0.3,0.63,1.16,0.32,0.64,0.24,1.2,-0.04,0.69,1.34,0.5,0.44
 ALIMENTAÇÃO NO DOMICÍLIO,0.81,0.88,-0.07,-0.08,-0.43,-0.74,0.63,1.25,0.83,0.34,0.28,1.29,-0.13,0.93,1.14,0.64,0.23
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-2.41,0.44,-1.07,-0.69,-2.1,-3.72,-2.32,3.08,-0.49,2.26,-0.27,-0.27,-0.34,-0.07,-0.44,0.57,-0.92
 ARROZ,-3.08,-0.56,-1.18,-1.47,-2.12,-4.66,-3.3,1.06,-0.21,3.55,0.4,0.62,-0.16,-0.12,-1.03,0.53,-1.14
 FEIJÃO-MULATINHO,       -,       -,       -,1.08,       -,       -,       -,       -,-1.55,       -,       -,       -,       -,       -,7.26,       -,1.08
 FEIJÃO-PRETO,-1.06,2.95,       -,       -,       -,-0.66,-2.65,       -,       -,-3.05,       -,-3.09,       -,       -,       -,       -,-0.73
 FEIJÃO-MACÁÇAR (FRADINHO),       -,       -,       -,3.13,       -,       -,       -,8.65,       -,       -,       -,       -,       -,       -,       -,       -,7.59
 FEIJÃO-CARIOCA (RAJADO),       -,       -,-0.7,-1.5,-2.03,-2.41,1.72,       -,-0.8,       -,-2.81,       -,-1.53,0.18,0.1,0.64,-1.38
 MILHO (EM GRÃO),       -,1.86,       -,       -,       -,0.54,       -,       -,       -,0.52,       -,       -,       -,       -,       -,       -,1.04
" FARINHAS, FÉCULAS E MASSAS",0.69,0.26,2.45,1.84,1.42,-1.36,-0.13,-0.7,0.87,0.41,-0.45,1.97,-0.33,0.76,1.52,0.54,0.84
 FARINHA DE ARROZ,       -,       -,       -,-4.56,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-4.56
 MACARRÃO,0.07,-0.64,2.42,3.96,1.55,-1.7,-2.75,-2.85,1.14,-0.04,-0.29,3.13,-0.67,1.4,0.34,0.97,0.67
 FUBÁ DE MILHO,       -,       -,       -,5.99,       -,       -,       -,4.55,       -,       -,       -,       -,       -,       -,1.13,3.8,4.47
 FLOCOS DE MILHO,       -,       -,       -,-2.13,       -,-1.72,       -,       -,       -,       -,       -,       -,       -,       -,-0.79,1.05,-1.57
 FARINHA DE TRIGO,       -,1.32,3.45,       -,1.33,       -,       -,       -,1.52,-0.79,-0.08,3.46,-3.68,       -,       -,       -,1.05
 FARINHA DE MANDIOCA,0.45,       -,3.11,2.37,1.31,-1.88,0.54,-1.3,-0.13,       -,-0.12,0.73,       -,0.1,2.29,-0.89,0.64
 MASSA SEMIPREPARADA,1.44,0.23,1.6,       -,1.34,0.02,-0.28,2.77,3.26,2.83,-1.13,1.04,2.4,       -,       -,       -,1.3
 MACARRÃO INSTANTÂNEO,0.84,       -,       -,       -,1.48,-2.53,       -,       -,       -,-3,       -,-0.22,0.2,2.45,       -,       -,0.28
" TUBÉRCULOS, RAÍZES E LEGUMES",-2.47,5.26,-3.07,-4.3,-3.49,-2.54,-1.92,-5.97,-3.28,-1.01,-4.95,4.69,1.92,1.17,3.33,3.38,-1.98
 BATATA-DOCE,-11.3,       -,       -,-5.19,-13.22,       -,       -,       -,4.03,       -,-16.87,       -,       -,0.04,       -,       -,-9.7
 BATATA-INGLESA,3.45,12.05,5.67,-7.1,0.49,-3.84,1.73,-6.64,-8.82,7.95,-9.07,3.42,0.09,1.13,-10.78,2.35,1.73
 INHAME,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.4,       -,       -,       -,-0.33,-0.16
 MANDIOCA (AIPIM),       -,       -,-0.54,1.55,       -,0.1,       -,       -,-0.51,       -,       -,       -,0.09,-3.24,       -,       -,0.09
 ABOBRINHA,       -,       -,       -,       -,-4.41,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-4.41
 PEPINO,       -,       -,       -,       -,       -,       -,       -,       -,       -,-16.06,       -,       -,       -,       -,       -,       -,-16.06
 PIMENTÃO,       -,       -,       -,       -,0.43,0.78,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.47
 TOMATE,-2.54,5.32,-8.27,6.51,-5.63,-4.54,-0.37,9.95,6.99,-1.23,5.39,10.97,8.15,2.88,14.05,14.62,-0.37
 CEBOLA,-6.72,-0.91,-4.87,-12.98,-5.91,-2.92,-7.22,-16.26,-8.84,-12.65,-13.48,-9.7,-4.22,0.84,-4.77,-5.25,-7.22
 CENOURA,-7.54,-3.05,-13.01,-6.71,9.58,7.41,-2.43,-5.88,-7.84,2.36,-10.64,15.15,       -,       -,       -,-0.15,-2.44
 AÇÚCARES E DERIVADOS,0.84,1.19,0.63,1.64,0.85,-0.49,1.06,2.7,1.8,2.26,1.06,0.82,1.4,2.59,1.42,1.84,1.14
 AÇÚCAR REFINADO,-0.15,2.91,       -,-3.69,-1.32,3.68,1.81,2.23,3.33,1.56,       -,       -,       -,2.57,2.62,       -,0.15
 AÇÚCAR CRISTAL,       -,0.89,2.29,3.34,       -,0.36,3.23,4.58,1.51,3.49,3.08,1.33,3.86,2.84,2.55,2.62,2.55
 BALAS,       -,0.86,       -,       -,       -,-1.17,       -,       -,       -,1.7,1.57,       -,3.77,       -,       -,       -,1.13
 CHOCOLATE EM BARRA E BOMBOM,4.74,1.38,-1.75,-0.27,1.82,-1.42,0.87,3.4,3.33,3.57,0.91,0.27,-0.38,1.6,1.04,0.87,1.74
 SORVETE,1.75,0.52,1.21,1.75,0.01,-1.64,-2.35,-0.29,2.63,0.24,0.15,1.08,0.7,       -,       -,-0.11,0.34
 CHOCOLATE E ACHOCOLATADO EM PÓ,-1.44,1.14,-1.13,-0.8,2.46,1.37,-1.85,-0.64,-0.43,1.96,-2.09,0.11,-2.42,2.68,-4.68,1.54,0.6
