"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - NOVEMBRO DE 2021",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.88,0.96,0.92,1.02,0.86,1.04,-0.03,1.06,1.42,1.07,1.39,1.01,1.47,0.82,0.73,0.92,0.95
 ALIMENTAÇÃO E BEBIDAS,-0.15,-0.08,-0.01,0.68,-0.27,-0.41,-0.53,0.37,0.87,-0.09,-0.77,0.26,0.58,1.07,0.82,0.71,-0.04
 ALIMENTAÇÃO NO DOMICÍLIO,-0.43,-0.15,0.28,0.89,-0.14,-0.23,-0.95,0.42,1.09,0.05,-0.57,0.35,0.5,0.85,0.82,1.44,0.04
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-4.09,-1.02,-2.75,-0.91,-4.87,-0.17,-5.84,-2.15,-0.92,-1.8,-2.51,-1.2,-3.43,-3.89,-3.65,-0.23,-3.18
 ARROZ,-3.32,-0.81,-2.38,-0.77,-6.09,-0.12,-5.39,-2.74,-1.24,-2.71,-2.34,-1.55,-3.3,-4.21,-3.94,-2.06,-3.58
 FEIJÃO-MULATINHO,       -,       -,       -,-0.91,       -,       -,       -,       -,0.06,       -,       -,       -,       -,       -,-0.95,       -,-0.47
 FEIJÃO-PRETO,-5.59,-2.68,       -,       -,       -,-0.44,-5.01,       -,       -,0.89,       -,-0.09,       -,       -,       -,       -,-3.7
 FEIJÃO-MACÁÇAR (FRADINHO),       -,       -,       -,1.16,       -,       -,       -,-0.64,       -,       -,       -,       -,       -,       -,       -,       -,-0.3
 FEIJÃO-CARIOCA (RAJADO),       -,       -,-3.92,-2.07,-1.1,-0.87,-7.87,       -,-0.53,       -,-3.17,       -,-4.22,-2.18,-2.56,2.79,-2.16
 MILHO (EM GRÃO),       -,2.3,       -,       -,       -,1.51,       -,       -,       -,0.92,       -,       -,       -,       -,       -,       -,1.49
" FARINHAS, FÉCULAS E MASSAS",0.88,-0.22,0.39,1.48,-0.92,1.46,-3.12,2.2,2.09,1.82,1.35,1.21,0.29,-1.29,-1.06,1.37,0.2
 FARINHA DE ARROZ,       -,       -,       -,0.14,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.14
 MACARRÃO,-0.85,-2.38,-1.23,2.6,-2.31,2.32,1.65,1.16,3.18,-0.4,-0.82,2.29,0.51,-0.16,1.95,3.4,-0.45
 FUBÁ DE MILHO,       -,       -,       -,2.28,       -,       -,       -,1.76,       -,       -,       -,       -,       -,       -,0.35,2.58,1.81
 FLOCOS DE MILHO,       -,       -,       -,1.02,       -,-0.24,       -,       -,       -,       -,       -,       -,       -,       -,0.61,-0.62,0.54
 FARINHA DE TRIGO,       -,-0.75,1.94,       -,-3.03,       -,       -,       -,1.73,3.59,-1.89,0.61,-0.31,       -,       -,       -,-0.09
 FARINHA DE MANDIOCA,1.98,       -,2.67,0.16,2.56,1.58,-4.8,4.11,1.28,       -,4.53,1.49,       -,-1.51,-2.37,0.53,-0.27
 MASSA SEMIPREPARADA,1.7,1.74,0.81,       -,-0.31,1.55,1.84,1.06,2.3,1.82,2.29,0.36,1.59,       -,       -,       -,0.96
 MACARRÃO INSTANTÂNEO,2.44,       -,       -,       -,1.01,2.62,       -,       -,       -,5.32,       -,0.59,-1.29,-2.46,       -,       -,1.93
" TUBÉRCULOS, RAÍZES E LEGUMES",6.75,4.29,-1.38,8.94,-0.73,-1.31,6.77,10.9,8.41,0.99,0.9,3.55,8.98,14.8,24.19,12.57,2.98
 BATATA-DOCE,9.8,       -,       -,-0.38,9.98,       -,       -,       -,7.15,       -,3.58,       -,       -,5.34,       -,       -,7.81
 BATATA-INGLESA,5.43,3.34,-0.51,5.94,-2.59,-1.71,4.62,8.32,3.36,5.72,-5.77,6.78,5.39,13.64,3.82,7.92,1.63
 INHAME,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,8.89,       -,       -,       -,-0.41,2.01
 MANDIOCA (AIPIM),       -,       -,5.39,-2.94,       -,2.25,       -,       -,0,       -,       -,       -,3.69,-0.22,       -,       -,2.25
