"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - JUNHO DE 2019",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.05,-0.41,0.14,-0.08,-0.04,0.13,0.16,0.26,0.01,0.21,-0.1,0.54,0.18,-0.14,-0.24,-0.12,0.01
 ALIMENTAÇÃO E BEBIDAS,-0.17,-0.5,0.1,-0.04,-0.45,-0.4,-0.63,0.64,-0.43,-0.22,0.46,0.95,0.05,-0.26,-1.19,0.18,-0.25
 ALIMENTAÇÃO NO DOMICÍLIO,0.16,-0.85,-0.18,-0.16,-0.72,-0.95,-0.65,0.74,-0.6,-0.22,0.01,0.85,0.15,-0.08,-1.34,0.06,-0.39
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-4.23,-0.74,-5.57,-6.32,-6.2,-7.66,-4.81,-0.76,-3.71,-2.6,-4.14,-3.33,-4.74,-4.14,-3.53,-4.38,-4.49
 ARROZ,0.04,-0.09,0.69,-0.32,0.27,2.5,0.24,1.85,0.33,1.29,0.36,2.58,0.72,3.14,-0.81,1.09,0.5
 FEIJÃO-MULATINHO,0.0,0.0,0.0,-11.63,0.0,0.0,0.0,-4.81,2.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.1
 FEIJÃO-PRETO,-9.8,-2.53,0.0,0.0,0.0,0.0,-10.21,0.0,0.0,-7.74,0.0,-9.33,-13.31,0.0,-7.72,0.0,-8.29
 FEIJÃO-MACASSAR (FRADINHO),0.0,0.0,0.0,-2.99,0.0,0.0,0.0,-2.42,1.01,0.0,0.0,0.0,0.0,0.0,-3.53,-4.29,-2.05
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,-17.05,-12.29,-16.11,-19.29,-12.25,-16.07,-11.77,-10.44,-11.77,-15.55,-15.77,-15.41,-22.42,-8.31,-14.8
 FEIJÃO-BRANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.08,0.0,-9.08
" FARINHAS, FÉCULAS E MASSAS",-0.63,-1.2,-1.37,-0.85,-1.63,-1.14,1.0,1.37,-1.71,-0.27,-2.09,0.44,-0.08,-0.35,-0.86,0.04,-0.75
 FARINHA DE ARROZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,-5.39,0.0,0.0,0.0,0.0,0.0,1.83,-1.01,-2.18
 MACARRÃO,-0.52,-1.73,-1.68,-1.9,-1.66,-0.5,-1.74,0.45,-2.66,-0.29,-2.85,1.38,-1.2,0.61,-1.21,-0.57,-1.34
 FUBÁ DE MILHO,0.0,0.0,-1.21,-1.05,0.0,0.0,0.0,0.0,-12.27,0.0,-0.7,0.0,0.0,0.0,-1.29,-2.67,-3.13
 AMIDO DE MILHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28
 FLOCOS DE MILHO,0.0,0.0,0.0,-1.56,0.0,-0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,-0.86
 FARINHA DE TRIGO,-0.2,-0.82,0.51,0.0,-0.06,0.0,0.6,0.0,0.0,-0.07,-2.88,2.22,1.81,0.0,0.0,0.0,-0.11
 FARINHA VITAMINADA,0.0,0.0,0.0,0.62,0.0,0.0,0.0,-1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,-0.05
 FARINHA DE MANDIOCA,0.75,0.0,0.0,0.78,0.0,1.38,2.01,4.31,0.82,0.0,0.0,-2.49,0.0,-0.85,-1.05,1.1,1.31
 MASSA SEMIPREPARADA,-2.18,-0.8,-1.89,0.0,-2.6,-3.72,0.0,0.0,0.0,-0.57,0.2,-0.37,-0.01,0.0,0.0,0.54,-1.78
" TUBÉRCULOS, RAÍZES E LEGUMES",5.67,5.2,3.92,-2.02,1.17,-1.76,-5.21,3.21,-3.86,6.22,4.38,3.58,7.34,3.28,-5.84,-3.5,1.86
 BATATA-INGLESA,-1.02,-0.27,-1.67,-1.15,-2.77,1.21,-3.18,-2.02,-3.64,1.35,-0.56,0.68,2.49,-0.26,-3.97,-6.01,-1.4
 INHAME,0.0,0.0,0.0,2.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.19,2.68
 MANDIOCA (AIPIM),0.0,-9.37,0.0,3.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,-3.37,0.0,0.0,-2.38,-1.75
 ABÓBORA,-4.35,0.0,0.59,0.0,0.0,0.18,0.0,0.0,0.0,0.0,-0.83,0.0,0.0,0.0,0.0,0.0,-1.8
