"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - SETEMBRO DE 2019",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,-0.13,-0.04,-0.18,-0.09,-0.06,-0.17,0.08,-0.08,0.14,0.06,0.41,-0.02,-0.04,0.3,-0.22,0.05,-0.04
 ALIMENTAÇÃO E BEBIDAS,-0.78,-0.34,-0.66,-0.93,-0.18,-0.47,-0.36,-0.81,-0.63,-0.51,0.33,-0.34,-0.9,-0.25,0.07,-0.58,-0.43
 ALIMENTAÇÃO NO DOMICÍLIO,-1.13,-0.4,-0.85,-1.23,-0.38,-0.85,-0.54,-1.39,-0.96,-1.02,0.22,-0.6,-1.41,-0.19,-0.04,-0.91,-0.7
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-1.8,0.59,-1.32,-2.55,0.82,-2.18,0.23,-0.77,-5.04,-0.01,1.07,-0.64,0.54,-2.07,0.13,-0.54,-0.63
 ARROZ,-1.74,1.53,-0.07,1.6,1.33,-1.27,2.3,0.3,-0.13,0.7,1.83,0.01,0.95,1.03,0.08,0.78,0.63
 FEIJÃO-MULATINHO,       -,       -,       -,-6.8,       -,       -,       -,-9.06,-11.27,       -,       -,       -,       -,       -,       -,       -,-8.66
 FEIJÃO-PRETO,-1.89,-2.1,       -,       -,       -,       -,-4.22,       -,       -,-0.09,       -,-0.17,-1.89,       -,-1.09,       -,-1.9
 FEIJÃO-MACASSAR (FRADINHO),       -,       -,       -,-4.38,       -,       -,       -,-0.67,-1.52,       -,       -,       -,       -,       -,0.13,0.01,-1.45
 FEIJÃO-CARIOCA (RAJADO),       -,       -,-4.32,-3.78,-0.3,-3.52,-2.74,-2.87,-11.24,-2.73,-0.52,-5.32,-0.21,-8.21,-1.21,-1.91,-2.9
 FEIJÃO-BRANCO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.23,       -,3.23
" FARINHAS, FÉCULAS E MASSAS",0.94,0.08,-1.83,-0.36,-2.28,-0.5,1.74,-1.46,-0.48,0.24,-0.93,-0.24,0.33,-0.05,0.95,-0.78,-0.5
 FARINHA DE ARROZ,       -,       -,       -,       -,       -,       -,       -,-2.01,2.87,       -,       -,       -,       -,       -,0.31,-1.03,0.84
 MACARRÃO,1.86,-0.13,-2.86,-1.01,-2.86,0.78,-0.52,-0.29,1.41,-0.9,-1.11,0.92,-1.67,-0.21,1.81,1.99,-0.93
 FUBÁ DE MILHO,       -,       -,0.1,-0.13,       -,       -,       -,       -,-0.54,       -,-2.9,       -,       -,       -,-0.57,-1.87,-0.46
