"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - OUTUBRO DE 2019",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.27,-0.01,0.17,-0.07,0.14,-0.08,0.22,0.04,0.08,-0.12,0.07,0.29,0.31,-0.14,-0.37,0.04,0.1
 ALIMENTAÇÃO E BEBIDAS,0.38,-0.26,0.22,-0.73,0.24,-0.51,0.29,0.17,-0.24,-0.28,0.09,-0.14,0.72,-0.16,-0.15,-0.38,0.05
 ALIMENTAÇÃO NO DOMICÍLIO,0.34,-0.26,-0.06,-1.32,0.11,-0.93,0.72,0.17,-0.37,-0.23,0.25,-0.2,1.09,-0.14,-0.02,-0.39,-0.03
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-0.69,-0.84,0.48,-2.37,-0.78,-1.04,-0.98,1.81,-0.9,-0.63,3.09,1.14,1.74,0.91,-0.13,0.48,-0.2
 ARROZ,-0.41,-0.88,0.83,-2.4,-0.14,-0.59,-0.28,1.48,-0.84,-0.53,2.96,1.52,-0.48,1.27,-0.45,1.12,0.05
 FEIJÃO-MULATINHO,0.0,0.0,0.0,-1.91,0.0,0.0,0.0,-4.9,-7.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.3
 FEIJÃO-PRETO,-1.14,-0.72,0.0,0.0,0.0,0.0,-15.89,0.0,0.0,-1.09,0.0,-1.4,-0.64,0.0,-3.56,0.0,-2.78
 FEIJÃO-MACASSAR (FRADINHO),0.0,0.0,0.0,-1.04,0.0,0.0,0.0,4.17,-6.03,0.0,0.0,0.0,0.0,0.0,-0.13,-1.65,0.65
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,-0.38,-4.62,-2.2,-1.72,4.28,2.97,3.92,-0.67,3.38,4.73,9.37,0.13,-0.76,0.16,0.24
 FEIJÃO-BRANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.58,0.0,7.58
" FARINHAS, FÉCULAS E MASSAS",0.08,0.56,0.47,-0.2,2.52,-1.04,-0.16,-0.55,-1.21,0.29,0.2,-1.53,-0.18,0.03,0.44,0.56,0.4
 FARINHA DE ARROZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.17,2.45,0.0,0.0,0.0,0.0,0.0,-1.16,-0.91,0.42
 MACARRÃO,0.85,0.27,1.76,-1.48,3.52,-1.22,2.43,-0.53,-2.14,-0.59,0.17,-0.77,0.19,0.91,1.25,0.39,1.02
 FUBÁ DE MILHO,0.0,0.0,-0.44,0.45,0.0,0.0,0.0,0.0,-1.05,0.0,-0.92,0.0,0.0,0.0,0.17,2.38,-0.05
 AMIDO DE MILHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09
 FLOCOS DE MILHO,0.0,0.0,0.0,0.42,0.0,-2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.58
 FARINHA DE TRIGO,0.5,1.52,0.44,0.0,0.13,0.0,-0.19,0.0,0.0,1.34,0.68,-2.79,-1.42,0.0,0.0,0.0,0.59
 FARINHA VITAMINADA,0.0,0.0,0.0,1.03,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.68
 FARINHA DE MANDIOCA,-4.03,0.0,0.0,0.45,0.0,1.07,-1.08,-0.53,-1.26,0.0,0.0,-4.54,0.0,-0.45,0.45,-0.95,-0.98
 MASSA SEMIPREPARADA,-0.28,0.07,-1.93,0.0,2.05,-1.67,0.0,0.0,0.0,0.68,0.59,0.46,0.57,0.0,0.0,0.33,0.47
" TUBÉRCULOS, RAÍZES E LEGUMES",-5.21,-11.96,-11.92,-10.94,-5.85,-10.11,-9.83,-8.77,-10.19,-11.58,-7.52,-3.11,4.03,-13.27,-16.06,-9.22,-8.67
 BATATA-INGLESA,-0.07,-18.53,-12.48,-5.85,-9.85,-6.89,-8.9,-3.07,-9.55,-8.99,-5.31,-3.95,3.26,-11.41,-6.9,-7.02,-9.06
 INHAME,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.32,1.23
 MANDIOCA (AIPIM),0.0,7.42,0.0,-1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,6.0,0.0,0.0,-1.33,2.12
 ABÓBORA,-0.36,0.0,-4.94,0.0,0.0,-7.11,0.0,0.0,0.0,0.0,1.31,0.0,0.0,0.0,0.0,0.0,-2.03
 PIMENTÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.75
 QUIABO,0.0,0.0,5.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.76
 TOMATE,13.03,10.74,2.36,-16.82,0.68,6.11,-0.7,3.17,-3.9,3.07,-1.06,8.68,18.54,-7.96,-9.97,-7.58,1.54
 CEBOLA,-26.41,-26.77,-27.23,-21.11,-11.22,-28.33,-18.43,-23.11,-19.22,-27.94,-25.21,-12.33,-19.24,-19.45,-25.65,-20.21,-20.84
 CENOURA,-15.03,0.0,-22.63,0.0,0.54,-19.93,0.0,-12.63,-9.14,-7.98,-10.66,-8.25,0.0,0.0,0.0,-9.59,-9.27
 MANDIOQUINHA (BATATA-BAROA),0.0,0.0,0.0,0.0,-4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.55
