"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - JULHO DE 2019",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.3,0.54,0.23,0.19,0.28,0.22,0.03,-0.15,-0.14,0.04,-0.22,0.04,-0.01,-0.21,-0.16,0.13,0.19
 ALIMENTAÇÃO E BEBIDAS,-0.11,0.82,-0.07,0.3,-0.1,0.41,-0.48,0.01,0.22,-0.01,-0.66,-0.41,-0.07,-0.22,0.22,0.39,0.01
 ALIMENTAÇÃO NO DOMICÍLIO,-0.08,1.06,-0.13,0.38,-0.29,0.21,-0.85,-0.18,0.5,-0.22,-0.77,-0.59,-0.35,-0.66,0.18,0.34,-0.06
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-0.55,2.48,0.09,0.27,-4.21,-0.72,-2.93,-0.25,-5.29,-1.02,-4.1,-1.37,-3.56,0.21,-1.56,-7.57,-2.0
 ARROZ,2.47,2.73,1.17,1.77,-0.29,-0.14,-0.95,-0.27,0.77,0.99,-0.94,0.37,0.17,1.15,-0.74,-0.83,0.48
 FEIJÃO-MULATINHO,0.0,0.0,0.0,1.97,0.0,0.0,0.0,-0.93,-3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.45
 FEIJÃO-PRETO,-4.92,1.77,0.0,0.0,0.0,0.0,-3.52,0.0,0.0,-4.35,0.0,-2.16,-18.52,0.0,-7.34,0.0,-3.48
 FEIJÃO-MACASSAR (FRADINHO),0.0,0.0,0.0,4.21,0.0,0.0,0.0,2.13,-0.62,0.0,0.0,0.0,0.0,0.0,-1.56,-6.27,1.39
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,-2.31,-10.11,-11.4,-1.55,-7.02,-11.67,-15.38,-5.32,-10.2,-8.27,-10.57,-1.58,-4.93,-13.05,-8.86
 FEIJÃO-BRANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.66,0.0,-5.66
