"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - MARÇO DE 2019",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.83,1.18,0.29,0.82,0.78,0.93,0.49,1.04,0.76,0.83,0.12,0.39,0.7,0.78,1.36,1.21,0.75
 ALIMENTAÇÃO E BEBIDAS,1.43,1.69,1.04,1.28,1.3,1.49,1,1.79,1.56,1.43,0.75,1.75,1.79,0.88,2.06,1.78,1.37
 ALIMENTAÇÃO NO DOMICÍLIO,2.58,2.5,1.5,1.76,1.95,2.33,1.43,2.46,2.27,1.99,1.28,2.47,3.07,0.8,3.38,2.77,2.07
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",6.7,5.74,1.51,9.87,5.4,7.09,4.23,4.24,8.03,7.12,2.96,4.1,3.2,4.8,4.59,4.75,5.19
 ARROZ,-0.05,3.96,-0.24,-1.05,-0.98,0.73,-3.59,0.72,0.05,-0.03,-1.97,-0.7,-2.07,-2.6,0.16,0.46,-0.41
 FEIJÃO-MULATINHO,       -,       -,       -,18.08,       -,       -,       -,16.74,15.42,       -,       -,       -,       -,       -,       -,       -,17.05
 FEIJÃO-PRETO,15.65,10.23,       -,       -,       -,       -,7.97,       -,       -,9.44,       -,8.25,8.64,       -,19.26,       -,12.55
 FEIJÃO-MACASSAR (FRADINHO),       -,       -,       -,12.58,       -,       -,       -,7.25,13.51,       -,       -,       -,       -,       -,8.43,0.84,9.45
 FEIJÃO-CARIOCA (RAJADO),       -,       -,4.27,15.91,14.9,13.72,14.67,11.62,13.84,25.87,10.27,14.12,11.06,14.69,22.47,7.98,12.93
 FEIJÃO-BRANCO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,29.25,       -,29.25
" FARINHAS, FÉCULAS E MASSAS",1.2,2.53,0.11,0.54,1.39,-1.48,-1.82,0.26,6.53,0.2,0.3,1.16,0.75,-2.08,3.57,2.06,1.26
 FARINHA DE ARROZ,       -,       -,       -,       -,       -,       -,       -,-0.71,-7.94,       -,       -,       -,       -,       -,-1.35,-2.53,-4.73
 MACARRÃO,1.37,3.48,-0.91,1.22,2.53,-3.35,-0.95,1.39,1.91,-0.85,-1,1.57,1.77,-0.56,4.38,2.19,1.13
 FUBÁ DE MILHO,       -,       -,1.81,-0.32,       -,       -,       -,       -,-0.2,       -,4.08,       -,       -,       -,1.78,3.61,1.02
 AMIDO DE MILHO,       -,       -,       -,       -,       -,       -,       -,0.06,       -,       -,       -,       -,       -,       -,       -,       -,0.06
 FLOCOS DE MILHO,       -,       -,       -,0.16,       -,2.69,       -,       -,       -,       -,       -,       -,       -,       -,       -,5.59,1.4
 FARINHA DE TRIGO,4.35,2.25,-0.86,       -,-1.02,       -,-0.56,       -,       -,1.89,1.84,0.82,-2.13,       -,       -,       -,0.7
 FARINHA VITAMINADA,       -,       -,       -,5.71,       -,       -,       -,1.53,       -,       -,       -,       -,       -,       -,       -,-0.75,3.3
 FARINHA DE MANDIOCA,0.49,       -,       -,-1.82,       -,-1.09,-2.21,-1.57,12.95,       -,       -,-0.91,       -,-2.86,4.36,2.27,2.57
 MASSA SEMIPREPARADA,-0.79,1.49,2.04,       -,0.73,-0.04,       -,       -,       -,0.02,0.57,2.72,2.21,       -,       -,0.71,0.89
" TUBÉRCULOS, RAÍZES E LEGUMES",23.56,23.1,17.23,15.8,16.01,11.4,14.16,19.24,18.8,22.82,11.97,23.56,40.23,12.9,17.77,19.11,18.7
 BATATA-INGLESA,31.03,21.84,23.73,20.88,21.47,10.57,11.79,18.31,15.42,12.13,9.95,25.8,41.36,28.75,10.85,15.96,21.11
 INHAME,       -,       -,       -,4.2,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.48,3.81
