"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - ABRIL DE 2019",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.46,0.83,0.42,0.59,0.49,0.77,0.62,0.91,0.83,0.57,0.62,0.32,0.52,0.05,0.87,0.8,0.57
 ALIMENTAÇÃO E BEBIDAS,0.03,0.63,0.16,0.49,0.71,0.28,1.12,0.16,1.56,0.81,1.36,0.82,-0.64,-0.12,0.7,1.32,0.63
 ALIMENTAÇÃO NO DOMICÍLIO,0.15,1.03,0.01,0.62,0.05,0.47,1.23,0.27,2.16,0.86,1.73,1.44,-0.15,0.78,1.24,1.65,0.62
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",1.21,0.0,-3.0,-6.47,-5.23,-3.79,-8.95,1.37,-3.7,-3.78,-1.27,-3.44,-5.26,-6.2,-0.59,-4.17,-3.36
 ARROZ,3.44,0.96,0.27,1.42,-2.58,-0.56,-1.37,1.23,0.88,-0.38,0.55,-0.47,1.44,-0.47,-0.58,-0.73,-0.16
 FEIJÃO-MULATINHO,0.0,0.0,0.0,-10.31,0.0,0.0,0.0,-7.08,-3.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.81
 FEIJÃO-PRETO,-1.33,-2.31,0.0,0.0,0.0,0.0,-8.35,0.0,0.0,-9.78,0.0,-9.16,-6.81,0.0,-5.58,0.0,-3.86
 FEIJÃO-MACASSAR (FRADINHO),0.0,0.0,0.0,-7.04,0.0,0.0,0.0,6.46,-4.58,0.0,0.0,0.0,0.0,0.0,-0.59,0.34,0.71
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,-7.92,-12.65,-8.63,-6.76,-18.61,-6.55,-8.24,-7.95,-3.67,-2.13,-14.92,-12.7,0.41,-6.74,-9.09
 FEIJÃO-BRANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.0,1.57
" FARINHAS, FÉCULAS E MASSAS",-0.61,0.56,-0.89,0.68,0.89,0.23,-1.57,-1.09,4.65,2.42,-0.09,-0.51,-0.74,0.49,-2.8,0.65,0.48
 FARINHA DE ARROZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.02,5.57,0.0,0.0,0.0,0.0,0.0,2.92,-0.84,2.66
 MACARRÃO,-0.56,0.68,-0.3,1.23,0.42,1.39,-2.62,-1.63,4.38,1.39,0.27,0.17,-0.49,0.62,-0.9,3.31,0.34
 FUBÁ DE MILHO,0.0,0.0,0.16,1.23,0.0,0.0,0.0,0.0,2.74,0.0,-1.73,0.0,0.0,0.0,-0.13,-2.94,0.62
 AMIDO DE MILHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.42
 FLOCOS DE MILHO,0.0,0.0,0.0,-4.37,0.0,-4.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,-3.58
 FARINHA DE TRIGO,-0.24,1.05,1.2,0.0,1.49,0.0,0.14,0.0,0.0,3.45,-2.05,0.1,-1.6,0.0,0.0,0.0,1.34
