"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - NOVEMBRO DE 2019",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.17,0.47,0.46,0.14,0.7,0.38,0.93,0.22,0.23,0.61,0.7,0.39,0.65,0.72,1.05,0.14,0.51
 ALIMENTAÇÃO E BEBIDAS,-0.16,0.04,1.09,-0.08,1.05,1.12,1.48,0.24,0.32,0.72,2.08,0.39,1.83,1.37,0.92,-0.03,0.72
 ALIMENTAÇÃO NO DOMICÍLIO,-0.18,-0.1,1.33,-0.11,1.72,1.46,1.85,0.61,0.27,0.8,3.11,0.48,2.38,1.46,1.08,-0.02,1.01
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-1.74,0.56,2.43,-2.61,3.21,3.7,2.88,2.16,-0.14,1.25,3.43,0.17,2.11,3.35,2.21,0.65,1.65
 ARROZ,-1.08,2.26,-1.29,0.23,1.56,1.39,0.6,0.46,0.67,1.23,0.81,-0.95,1.09,0.83,2.23,0.77,0.69
 FEIJÃO-MULATINHO,0.0,0.0,0.0,-9.52,0.0,0.0,0.0,-7.79,-6.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.15
 FEIJÃO-PRETO,-2.78,-4.51,0.0,0.0,0.0,0.0,4.4,0.0,0.0,-0.25,0.0,3.19,1.5,0.0,-0.1,0.0,-1.71
 FEIJÃO-MACASSAR (FRADINHO),0.0,0.0,0.0,0.18,0.0,0.0,0.0,8.41,-0.29,0.0,0.0,0.0,0.0,0.0,2.21,2.78,4.53
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,11.83,0.45,6.95,7.23,7.94,3.02,0.9,2.44,9.03,-0.01,5.21,8.91,0.39,0.24,6.66
 FEIJÃO-BRANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.02,0.0,5.02
" FARINHAS, FÉCULAS E MASSAS",0.62,-0.35,-1.48,0.18,-1.38,0.47,0.32,0.39,1.59,-0.31,0.46,0.96,0.85,0.66,-1.29,-0.82,-0.19
 FARINHA DE ARROZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.64,-0.55,0.0,0.0,0.0,0.0,0.0,-0.52,0.19,-0.52
 MACARRÃO,0.42,-0.16,-2.56,2.72,-2.46,1.71,0.34,-0.25,3.91,0.13,0.93,1.57,1.9,1.08,1.19,-1.15,-0.3
 FUBÁ DE MILHO,0.0,0.0,-1.09,-0.89,0.0,0.0,0.0,0.0,-0.09,0.0,0.86,0.0,0.0,0.0,-0.56,-3.63,-0.86
 AMIDO DE MILHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.31
 FLOCOS DE MILHO,0.0,0.0,0.0,-1.19,0.0,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08,-0.59
 FARINHA DE TRIGO,4.15,-0.02,1.92,0.0,1.55,0.0,0.75,0.0,0.0,-0.18,0.04,1.19,0.56,0.0,0.0,0.0,0.99
 FARINHA VITAMINADA,0.0,0.0,0.0,-2.71,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,-1.08
 FARINHA DE MANDIOCA,0.5,0.0,0.0,-1.01,0.0,-3.57,0.28,2.96,0.72,0.0,0.0,-0.31,0.0,0.42,-2.41,0.61,0.23
 MASSA SEMIPREPARADA,-1.07,-0.93,-1.26,0.0,-1.07,0.53,0.0,0.0,0.0,-1.7,-0.87,0.39,-0.97,0.0,0.0,-3.34,-1.06
" TUBÉRCULOS, RAÍZES E LEGUMES",-21.49,-11.86,-13.6,-11.06,-6.69,-13.18,-15.73,-13.94,-14.45,-17.04,-6.9,-14.05,-7.27,-4.92,-6.17,-10.32,-12.15
