"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - MAIO DE 2019",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,-0.05,0.12,0.21,0.33,0.13,-0.05,0.05,0.21,0.11,-0.03,0.48,0.09,0.42,0.67,0.25,0.34,0.13
 ALIMENTAÇÃO E BEBIDAS,-0.54,-0.93,-0.59,-0.49,-0.27,-0.5,-0.69,-0.39,-1.09,-0.6,-1.3,-0.52,-1.24,0.44,-0.08,-0.29,-0.56
 ALIMENTAÇÃO NO DOMICÍLIO,-0.92,-1.26,-0.93,-0.96,-0.2,-1.38,-1.03,-0.54,-1.81,-1.12,-2.13,-0.61,-1.91,0,-0.63,-0.56,-0.89
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-5.91,-3.93,-5.77,-3.79,-4.17,-6.81,-7.58,-4.02,-3.03,-3.58,-7.99,-4.46,-9.93,-3.7,-1.86,-5.71,-4.97
 ARROZ,-2.38,-1.25,-1.8,1.11,0.37,0.37,0.12,-0.98,-0.59,0.78,-0.07,0.97,-0.46,3.66,0.41,0.87,-0.4
 FEIJÃO-MULATINHO,       -,       -,       -,-2.42,       -,       -,       -,-3.04,-3.66,       -,       -,       -,       -,       -,       -,       -,-2.91
 FEIJÃO-PRETO,-10.15,-10.57,       -,       -,       -,       -,-2.19,       -,       -,-3.48,       -,-9.94,-11.2,       -,-11.6,       -,-8.76
 FEIJÃO-MACASSAR (FRADINHO),       -,       -,       -,-1.29,       -,       -,       -,-8.56,-5.89,       -,       -,       -,       -,       -,-1.86,-7.29,-5.96
 FEIJÃO-CARIOCA (RAJADO),       -,       -,-12.28,-16.66,-10.39,-13.86,-21.07,-14.25,-4.93,-14.28,-18.91,-13.07,-26.43,-13.23,-11.48,-9.73,-13.04
 FEIJÃO-BRANCO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-8.27,       -,-8.27
" FARINHAS, FÉCULAS E MASSAS",-0.59,0.09,1,0.31,-0.36,-2.02,-2.09,-1.07,-8.63,-0.15,-0.82,-0.08,0.38,-0.67,-3.83,0.35,-1.51
 FARINHA DE ARROZ,       -,       -,       -,       -,       -,       -,       -,1.33,-3.61,       -,       -,       -,       -,       -,-4.55,-1.7,-2.33
 MACARRÃO,-0.45,0.37,0.72,1.71,1.06,-0.25,-1.76,1.39,-0.85,-0.33,-1.13,-0.03,-0.48,-1.3,-0.18,-1.32,0.22
 FUBÁ DE MILHO,       -,       -,0.65,0.11,       -,       -,       -,       -,-10.97,       -,2.07,       -,       -,       -,-1.47,3.34,-1.64
 AMIDO DE MILHO,       -,       -,       -,       -,       -,       -,       -,-0.11,       -,       -,       -,       -,       -,       -,       -,       -,-0.11
 FLOCOS DE MILHO,       -,       -,       -,2.87,       -,-0.07,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.26,2.3
 FARINHA DE TRIGO,3.12,-0.18,0.45,       -,-2.89,       -,0.3,       -,       -,-0.21,-1.56,0.04,2.21,       -,       -,       -,-0.63
 FARINHA VITAMINADA,       -,       -,       -,-0.3,       -,       -,       -,0.14,       -,       -,       -,       -,       -,       -,       -,0.93,-0.01
 FARINHA DE MANDIOCA,-2.36,       -,       -,-2.67,       -,-7.5,-2.38,-6.61,-13.29,       -,       -,-2.7,       -,-0.33,-5.35,0.25,-6.12
 MASSA SEMIPREPARADA,-2.26,-0.04,2.18,       -,-1.56,-2.16,       -,       -,       -,0.46,-1.06,2.42,0.01,       -,       -,-2.64,-0.52
" TUBÉRCULOS, RAÍZES E LEGUMES",-6.31,-0.47,-10.78,-7.72,-7.71,-3.42,-3.35,-7.19,-11.21,-8.67,-12.12,-6.77,-13.31,3.7,-0.87,-2.46,-7.27
 BATATA-INGLESA,-3.74,12.77,-4.32,-18.32,-1.82,-7.7,0.36,-11.49,-21.1,-7.46,-6.85,-0.63,-9.98,3.46,-1.6,-13.79,-4.15
 INHAME,       -,       -,       -,-12.79,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-3.76,-11.62
 MANDIOCA (AIPIM),       -,-10.82,       -,-5.04,       -,       -,       -,       -,       -,       -,       -,0.73,2.35,       -,       -,2.82,-4.65
 ABÓBORA,12.07,       -,-20.26,       -,       -,-0.38,       -,       -,       -,       -,0.75,       -,       -,       -,       -,       -,-2.82
 PIMENTÃO,       -,       -,       -,       -,       -,       -,       -,       -,1.04,       -,       -,       -,       -,       -,       -,       -,1.04
