"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - JANEIRO DE 2019",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.49,0.08,0.7,0.27,0.37,0.05,0.3,0.16,0.37,0.02,-0.17,0.28,0.2,-0.09,0.09,0.29,0.32
 ALIMENTAÇÃO E BEBIDAS,0.68,0.29,2,1.77,0.81,1.04,1.21,0.73,0.66,0.74,0.64,1.15,0.48,0.94,0.39,1.33,0.9
 ALIMENTAÇÃO NO DOMICÍLIO,1.41,-0.13,2.19,2.06,0.69,1.71,1.11,0.89,0.66,0.64,0.77,1.27,0.31,1.14,0.51,1.44,0.97
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",1.16,1.4,5.47,8.18,3.37,8.85,9.41,2.83,7.46,1.15,7.74,2.96,4.19,4.64,1.46,7.72,4.39
 ARROZ,0.98,-0.75,0.95,1.21,0.4,1.05,0.76,-0.16,-0.61,-0.36,-0.9,-0.76,-0.92,0.19,-0.51,0.2,0.19
 FEIJÃO-MULATINHO,       -,       -,       -,16.96,       -,       -,       -,14.33,11.76,       -,       -,       -,       -,       -,       -,       -,14.93
 FEIJÃO-PRETO,1.46,8.33,       -,       -,       -,       -,6.24,       -,       -,0.86,       -,5.85,7.68,       -,2.08,       -,3.59
 FEIJÃO-MACASSAR (FRADINHO),       -,       -,       -,-0.02,       -,       -,       -,4.72,-1.95,       -,       -,       -,       -,       -,-0.85,-5.83,1.54
 FEIJÃO-CARIOCA (RAJADO),       -,       -,18.83,24.06,11.11,24.31,37.54,28.63,24.13,8.77,31.55,20.3,22.9,16.39,24.64,20.82,19.76
 FEIJÃO-BRANCO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,22.52,       -,22.52
" FARINHAS, FÉCULAS E MASSAS",-0.93,2.46,1.13,0.45,0.87,1.34,-0.98,1.87,-3.78,0.42,0.18,0.82,-0.24,-0.12,-3.49,-0.94,-0.1
 FARINHA DE ARROZ,       -,       -,       -,       -,       -,       -,       -,0.81,4.66,       -,       -,       -,       -,       -,-2.3,2.04,2.4
 MACARRÃO,-1.84,4.06,2.23,3.17,0.01,1.49,1.75,2.31,-2.23,-0.64,-0.14,1.12,0.21,1.78,-2.84,0.83,0.59
 FUBÁ DE MILHO,       -,       -,0.14,-1.83,       -,       -,       -,       -,1.5,       -,-0.54,       -,       -,       -,-2.78,-4.98,-0.87
 AMIDO DE MILHO,       -,       -,       -,       -,       -,       -,       -,0.84,       -,       -,       -,       -,       -,       -,       -,       -,0.84
 FLOCOS DE MILHO,       -,       -,       -,-1.17,       -,0.14,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.9,-1.08
 FARINHA DE TRIGO,0.45,1.06,-0.58,       -,1.93,       -,0.43,       -,       -,0.24,1.2,1.32,-1.98,       -,       -,       -,0.83
 FARINHA VITAMINADA,       -,       -,       -,-1.68,       -,       -,       -,0.01,       -,       -,       -,       -,       -,       -,       -,1.13,-0.69
