"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - FEVEREIRO DE 2019",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.48,0.15,0.51,0.59,0.44,-0.18,0.93,0.69,0.18,0.18,0.87,0.58,0.52,1.12,0.43,0.54,0.43
 ALIMENTAÇÃO E BEBIDAS,0.74,0.2,1.36,1.01,0.61,0.96,1.4,0.47,-0.04,1.12,1.61,0.71,1.98,1.06,0.62,1.09,0.78
 ALIMENTAÇÃO NO DOMICÍLIO,1.12,0.56,1.88,1.24,1.42,1.59,1.56,0.28,0.09,1.52,2.12,1.24,2.52,1.74,0.61,1.72,1.24
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",8.29,-0.56,15.82,14.28,16.82,18.1,15.57,6.68,11.53,10.21,12.41,12.38,21.67,21.08,4.95,36.4,12.6
 ARROZ,-1.22,-4.49,-1.06,-1.27,-0.5,-2.43,-1.88,-1.45,-0.74,-1.79,-0.51,0.17,-0.53,-0.22,-0.46,-0.56,-1.23
 FEIJÃO-MULATINHO,0.0,0.0,0.0,20.81,0.0,0.0,0.0,22.76,24.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.3
 FEIJÃO-PRETO,24.13,11.02,0.0,0.0,0.0,0.0,32.2,0.0,0.0,21.25,0.0,28.76,59.81,0.0,21.31,0.0,22.62
 FEIJÃO-MACASSAR (FRADINHO),0.0,0.0,0.0,6.16,0.0,0.0,0.0,17.79,10.49,0.0,0.0,0.0,0.0,0.0,18.36,42.04,14.47
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,58.26,54.05,57.7,51.2,49.02,46.31,25.96,54.38,39.28,42.07,82.09,69.46,43.82,78.46,51.58
 FEIJÃO-BRANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.73,0.0,21.73
" FARINHAS, FÉCULAS E MASSAS",1.11,-0.99,1.06,-0.08,0.71,-1.53,-1.45,0.02,-4.43,0.27,0.57,-1.49,1.1,0.6,-1.14,-0.19,-0.49
 FARINHA DE ARROZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.26,0.0,0.0,0.0,0.0,0.0,-0.4,1.65,0.37
